Freq.	V(out)
1.00000000000000e+01	(-6.25914790242057e+01dB,1.00732962931082e-02°)
1.12201845430196e+01	(-6.25914789818127e+01dB,1.13024243051955e-02°)
1.25892541179417e+01	(-6.25914789282493e+01dB,1.26815285855886e-02°)
1.41253754462275e+01	(-6.25914788608285e+01dB,1.42289090413024e-02°)
1.58489319246111e+01	(-6.25914787761727e+01dB,1.59650984153015e-02°)
1.77827941003892e+01	(-6.25914786692707e+01dB,1.79131348898526e-02°)
1.99526231496888e+01	(-6.25914785346533e+01dB,2.00988676797172e-02°)
2.23872113856834e+01	(-6.25914783654402e+01dB,2.25513001084589e-02°)
2.51188643150958e+01	(-6.25914781524749e+01dB,2.53029744997337e-02°)
2.81838293126445e+01	(-6.25914778839540e+01dB,2.83904036682790e-02°)
3.16227766016838e+01	(-6.25914775464158e+01dB,3.18545559244142e-02°)
3.54813389233575e+01	(-6.25914771211779e+01dB,3.57413983730102e-02°)
3.98107170553497e+01	(-6.25914765858526e+01dB,4.01025067158675e-02°)
4.46683592150963e+01	(-6.25914759118775e+01dB,4.49957501005406e-02°)
5.01187233627272e+01	(-6.25914750635150e+01dB,5.04860584405433e-02°)
5.62341325190348e+01	(-6.25914739954314e+01dB,5.66462840935282e-02°)
6.30957344480192e+01	(-6.25914726510139e+01dB,6.35581690862254e-02°)
7.07945784384137e+01	(-6.25914709581510e+01dB,7.13134285971908e-02°)
7.94328234724280e+01	(-6.25914688270574e+01dB,8.00149686580649e-02°)
8.91250938133744e+01	(-6.25914661441013e+01dB,8.97782512939947e-02°)
9.99999999999998e+01	(-6.25914627666430e+01dB,1.00732826432091e-01°)
1.12201845430196e+02	(-6.25914585146358e+01dB,1.13024050201346e-01°)
1.25892541179416e+02	(-6.25914531616918e+01dB,1.26815013406389e-01°)
1.41253754462275e+02	(-6.25914464226256e+01dB,1.42288705450684e-01°)
1.58489319246111e+02	(-6.25914379387121e+01dB,1.59650440428872e-01°)
1.77827941003892e+02	(-6.25914272582392e+01dB,1.79130580845586e-01°)
1.99526231496888e+02	(-6.25914138122927e+01dB,2.00987592234940e-01°)
2.23872113856833e+02	(-6.25913968848658e+01dB,2.25511469175888e-01°)
2.51188643150957e+02	(-6.25913755745540e+01dB,2.53027580291501e-01°)
2.81838293126445e+02	(-6.25913487466417e+01dB,2.83900979282201e-01°)
3.16227766016837e+02	(-6.25913149725411e+01dB,3.18541241314439e-01°)
3.54813389233575e+02	(-6.25912724538917e+01dB,3.57407884036312e-01°)
3.98107170553496e+02	(-6.25912189265879e+01dB,4.01016451630953e-01°)
4.46683592150962e+02	(-6.25911515406265e+01dB,4.49945331109376e-01°)
5.01187233627271e+02	(-6.25910667081674e+01dB,5.04843392849289e-01°)
5.62341325190348e+02	(-6.25909599126681e+01dB,5.66438558996577e-01°)
6.30957344480192e+02	(-6.25908254688753e+01dB,6.35547391807473e-01°)
7.07945784384136e+02	(-6.25906562198411e+01dB,7.13085838511379e-01°)
7.94328234724279e+02	(-6.25904431570749e+01dB,8.00081255312300e-01°)
8.91250938133743e+02	(-6.25901749413973e+01dB,8.97685855299186e-01°)
9.99999999999997e+02	(-6.25898373008298e+01dB,1.00719173754586e+00°)
1.12201845430196e+03	(-6.25894122728145e+01dB,1.13004766301072e+00°)
1.25892541179416e+03	(-6.25888772519022e+01dB,1.26787776270829e+00°)
1.41253754462275e+03	(-6.25882037916620e+01dB,1.42250235429785e+00°)
1.58489319246111e+03	(-6.25873561000238e+01dB,1.59596106398194e+00°)
1.77827941003892e+03	(-6.25862891484678e+01dB,1.79053843218997e+00°)
1.99526231496887e+03	(-6.25849462988231e+01dB,2.00879217318782e+00°)
2.23872113856833e+03	(-6.25832563258832e+01dB,2.25358421208713e+00°)
2.51188643150957e+03	(-6.25811296859570e+01dB,2.52811457642663e+00°)
2.81838293126444e+03	(-6.25784538456894e+01dB,2.83595810289341e+00°)
3.16227766016837e+03	(-6.25750874430525e+01dB,3.18110377539034e+00°)
3.54813389233574e+03	(-6.25708530022124e+01dB,3.56799627022728e+00°)
3.98107170553496e+03	(-6.25655278656895e+01dB,4.00157894738652e+00°)
4.46683592150961e+03	(-6.25588329413739e+01dB,4.48733703244666e+00°)
5.01187233627270e+03	(-6.25504187910887e+01dB,5.03133903864864e+00°)
5.62341325190347e+03	(-6.25398485164066e+01dB,5.64027351400766e+00°)
6.30957344480190e+03	(-6.25265768357336e+01dB,6.32147687484338e+00°)
7.07945784384135e+03	(-6.25099247100000e+01dB,7.08294631010949e+00°)
7.94328234724278e+03	(-6.24890488899964e+01dB,7.93332942022850e+00°)
8.91250938133741e+03	(-6.24629058658235e+01dB,8.88187928706963e+00°)
9.99999999999995e+03	(-6.24302099584988e+01dB,9.93836006852921e+00°)
1.12201845430196e+04	(-6.23893857872109e+01dB,1.11128840574984e+01°)
1.25892541179416e+04	(-6.23385161795317e+01dB,1.24156568386014e+01°)
1.41253754462275e+04	(-6.22752878839495e+01dB,1.38566034998655e+01°)
1.58489319246111e+04	(-6.21969393039566e+01dB,1.54448472615886e+01°)
1.77827941003891e+04	(-6.21002169369924e+01dB,1.71880146529918e+01°)
1.99526231496887e+04	(-6.19813501404246e+01dB,1.90913516744456e+01°)
2.23872113856833e+04	(-6.18360568230495e+01dB,2.11566569293638e+01°)
2.51188643150957e+04	(-6.16595947787410e+01dB,2.33810735689625e+01°)
2.81838293126444e+04	(-6.14468732170618e+01dB,2.57558322794993e+01°)
3.16227766016836e+04	(-6.11926348377777e+01dB,2.82650966026375e+01°)
3.54813389233573e+04	(-6.08917090426216e+01dB,3.08851147468526e+01°)
3.98107170553495e+04	(-6.05393214450128e+01dB,3.35839048188592e+01°)
4.46683592150960e+04	(-6.01314261717217e+01dB,3.63216663015298e+01°)
5.01187233627269e+04	(-5.96650110090103e+01dB,3.90520033039456e+01°)
5.62341325190346e+04	(-5.91383185193652e+01dB,4.17238755084470e+01°)
6.30957344480189e+04	(-5.85509341442851e+01dB,4.42840031619121e+01°)
7.07945784384133e+04	(-5.79037155668509e+01dB,4.66793093697569e+01°)
7.94328234724276e+04	(-5.71985691936924e+01dB,4.88589382720975e+01°)
8.91250938133740e+04	(-5.64381089884731e+01dB,5.07754551887649e+01°)
9.99999999999993e+04	(-5.56252506082802e+01dB,5.23849770217936e+01°)
1.12201845430196e+05	(-5.47627963689254e+01dB,5.36461279635921e+01°)
1.25892541179416e+05	(-5.38530581840382e+01dB,5.45178043219112e+01°)
1.41253754462274e+05	(-5.28975546831924e+01dB,5.49557188355335e+01°)
1.58489319246110e+05	(-5.18968165300840e+01dB,5.49075703639838e+01°)
1.77827941003891e+05	(-5.08503533934510e+01dB,5.43064502799223e+01°)
1.99526231496886e+05	(-4.97568974201058e+01dB,5.30617722514506e+01°)
2.23872113856832e+05	(-4.86151801075102e+01dB,5.10466636046451e+01°)
2.51188643150956e+05	(-4.74258005225550e+01dB,4.80806887798939e+01°)
2.81838293126443e+05	(-4.61953388910854e+01dB,4.39080926985973e+01°)
3.16227766016835e+05	(-4.49448815833825e+01dB,3.81779975898549e+01°)
3.54813389233573e+05	(-4.37260381645008e+01dB,3.04533173049959e+01°)
3.98107170553494e+05	(-4.26446753917877e+01dB,2.03226401137698e+01°)
4.46683592150960e+05	(-4.18749822367383e+01dB,7.73253262373199e+00°)
5.01187233627268e+05	(-4.16124978150502e+01dB,-6.52220872717075e+00°)
5.62341325190344e+05	(-4.19441994109416e+01dB,-2.07769893568999e+01°)
6.30957344480188e+05	(-4.27701758374873e+01dB,-3.34155243466217e+01°)
7.07945784384132e+05	(-4.38936282374028e+01dB,-4.37287577947274e+01°)
7.94328234724275e+05	(-4.51467659161805e+01dB,-5.18222327507655e+01°)
8.91250938133738e+05	(-4.64305480331857e+01dB,-5.81234452701209e+01°)
9.99999999999991e+05	(-4.76983638411811e+01dB,-6.30706285309501e+01°)
1.12201845430195e+06	(-4.89327331977442e+01dB,-6.70135025730634e+01°)
1.25892541179416e+06	(-5.01300730630157e+01dB,-7.02083469539931e+01°)
1.41253754462274e+06	(-5.12927072399007e+01dB,-7.28380686255641e+01°)
1.58489319246110e+06	(-5.24250547342063e+01dB,-7.50330443681597e+01°)
1.77827941003891e+06	(-5.35319191189562e+01dB,-7.68871602391854e+01°)
1.99526231496886e+06	(-5.46177778443305e+01dB,-7.84690786730106e+01°)
2.23872113856832e+06	(-5.56865332671603e+01dB,-7.98299142998317e+01°)
2.51188643150956e+06	(-5.67414697417598e+01dB,-8.10084288031659e+01°)
2.81838293126443e+06	(-5.77852967677033e+01dB,-8.20345612774586e+01°)
3.16227766016835e+06	(-5.88202225466241e+01dB,-8.29318493049393e+01°)
3.54813389233572e+06	(-5.98480328137065e+01dB,-8.37191083171949e+01°)
3.98107170553494e+06	(-6.08701642776822e+01dB,-8.44116110742449e+01°)
4.46683592150959e+06	(-6.18877688146254e+01dB,-8.50219268672883e+01°)
5.01187233627268e+06	(-6.29017676923319e+01dB,-8.55605266194764e+01°)
5.62341325190344e+06	(-6.39128964594436e+01dB,-8.60362251666938e+01°)
6.30957344480187e+06	(-6.49217416402890e+01dB,-8.64565090316257e+01°)
7.07945784384131e+06	(-6.59287704843102e+01dB,-8.68277827940211e+01°)
7.94328234724274e+06	(-6.69343549497944e+01dB,-8.71555569132472e+01°)
8.91250938133737e+06	(-6.79387909636265e+01dB,-8.74445929505432e+01°)
9.99999999999990e+06	(-6.89423138438329e+01dB,-8.76990174029210e+01°)
1.12201845430195e+07	(-6.99451106233765e+01dB,-8.79224120933554e+01°)
1.25892541179415e+07	(-7.09473298815858e+01dB,-8.81178868034839e+01°)
1.41253754462274e+07	(-7.19490895764629e+01dB,-8.82881382397593e+01°)
1.58489319246110e+07	(-7.29504832764298e+01dB,-8.84354983112477e+01°)
1.77827941003890e+07	(-7.39515851119637e+01dB,-8.85619738964759e+01°)
1.99526231496886e+07	(-7.49524537037611e+01dB,-8.86692797086532e+01°)
2.23872113856832e+07	(-7.59531352722485e+01dB,-8.87588654607989e+01°)
2.51188643150955e+07	(-7.69536660912959e+01dB,-8.88319382225503e+01°)
2.81838293126442e+07	(-7.79540744151190e+01dB,-8.88894806519291e+01°)
3.16227766016834e+07	(-7.89543819799104e+01dB,-8.89322656060472e+01°)
3.54813389233572e+07	(-7.99546051595187e+01dB,-8.89608675196715e+01°)
3.98107170553493e+07	(-8.09547558363106e+01dB,-8.89756708363388e+01°)
4.46683592150958e+07	(-8.19548420333511e+01dB,-8.89768757021421e+01°)
5.01187233627267e+07	(-8.29548683414399e+01dB,-8.89645010695981e+01°)
5.62341325190343e+07	(-8.39548361636896e+01dB,-8.89383853058955e+01°)
6.30957344480186e+07	(-8.49547437907068e+01dB,-8.88981843585840e+01°)
7.07945784384130e+07	(-8.59545863104588e+01dB,-8.88433674892532e+01°)
7.94328234724272e+07	(-8.69543553482318e+01dB,-8.87732105561466e+01°)
8.91250938133735e+07	(-8.79540386231648e+01dB,-8.86867867957214e+01°)
9.99999999999989e+07	(-8.89536192982705e+01dB,-8.85829550263366e+01°)
1.12201845430195e+08	(-8.99530750902021e+01dB,-8.84603451785974e+01°)
1.25892541179415e+08	(-9.09523770927186e+01dB,-8.83173410400338e+01°)
1.41253754462274e+08	(-9.19514882533492e+01dB,-8.81520600947440e+01°)
1.58489319246109e+08	(-9.29503614255352e+01dB,-8.79623303427105e+01°)
