Freq.	V(out)
1.00000000000000e+01	(6.19002845126534e+01dB,1.78758997978342e+02°)
1.12201845430196e+01	(6.18997582128404e+01dB,1.78607628757449e+02°)
1.25892541179417e+01	(6.18990957313068e+01dB,1.78437812893946e+02°)
1.41253754462275e+01	(6.18982618601363e+01dB,1.78247309101145e+02°)
1.58489319246111e+01	(6.18972123061372e+01dB,1.78033606545069e+02°)
1.77827941003892e+01	(6.18958913564930e+01dB,1.77793893570115e+02°)
1.99526231496888e+01	(6.18942289505082e+01dB,1.77525023270358e+02°)
2.23872113856834e+01	(6.18921370097800e+01dB,1.77223475790899e+02°)
2.51188643150958e+01	(6.18895048444277e+01dB,1.76885317337795e+02°)
2.81838293126445e+01	(6.18861934113315e+01dB,1.76506156023233e+02°)
3.16227766016838e+01	(6.18820281510498e+01dB,1.76081094897119e+02°)
3.54813389233575e+01	(6.18767900729485e+01dB,1.75604682847626e+02°)
3.98107170553497e+01	(6.18702046938209e+01dB,1.75070864532220e+02°)
4.46683592150963e+01	(6.18619283661793e+01dB,1.74472931180592e+02°)
5.01187233627272e+01	(6.18515314635241e+01dB,1.73803475059684e+02°)
5.62341325190348e+01	(6.18384778306590e+01dB,1.73054351691827e+02°)
6.30957344480192e+01	(6.18220998737530e+01dB,1.72216655665558e+02°)
7.07945784384137e+01	(6.18015686836638e+01dB,1.71280718173745e+02°)
7.94328234724280e+01	(6.17758586976219e+01dB,1.70236137335307e+02°)
8.91250938133744e+01	(6.17437066682926e+01dB,1.69071855924412e+02°)
9.99999999999998e+01	(6.17035652078254e+01dB,1.67776305228109e+02°)
1.12201845430196e+02	(6.16535520134988e+01dB,1.66337638009476e+02°)
1.25892541179416e+02	(6.15913971811379e+01dB,1.64744077170986e+02°)
1.41253754462275e+02	(6.15143928810948e+01dB,1.62984408253905e+02°)
1.58489319246111e+02	(6.14193521495251e+01dB,1.61048641092520e+02°)
1.77827941003892e+02	(6.13025865093440e+01dB,1.58928855590750e+02°)
1.99526231496888e+02	(6.11599151493259e+01dB,1.56620224989356e+02°)
2.23872113856833e+02	(6.09867205689724e+01dB,1.54122174024500e+02°)
2.51188643150957e+02	(6.07780655282734e+01dB,1.51439578740250e+02°)
2.81838293126445e+02	(6.05288820619921e+01dB,1.48583855111011e+02°)
3.16227766016837e+02	(6.02342337218079e+01dB,1.45573729720179e+02°)
3.54813389233575e+02	(5.98896369368855e+01dB,1.42435461242653e+02°)
3.98107170553496e+02	(5.94914088408554e+01dB,1.39202313062667e+02°)
4.46683592150962e+02	(5.90369925482619e+01dB,1.35913181239349e+02°)
5.01187233627271e+02	(5.85252038518274e+01dB,1.32610448013603e+02°)
5.62341325190348e+02	(5.79563512470957e+01dB,1.29337315324289e+02°)
