Freq.	V(out)
1.00000000000000e+01	(-2.47084933130932e-01dB,-1.23032335507193e+00°)
1.12201845430196e+01	(-2.47611193899342e-01dB,-1.38038958239073e+00°)
1.25892541179417e+01	(-2.48273626246333e-01dB,-1.54874346298754e+00°)
1.41253754462275e+01	(-2.49107435515138e-01dB,-1.73760688393287e+00°)
1.58489319246111e+01	(-2.50156911577290e-01dB,-1.94946891247729e+00°)
1.77827941003892e+01	(-2.51477763105590e-01dB,-2.18711678155721e+00°)
1.99526231496888e+01	(-2.53140045592867e-01dB,-2.45366999441808e+00°)
2.23872113856834e+01	(-2.55231830821716e-01dB,-2.75261765965514e+00°)
2.51188643150958e+01	(-2.57863800415716e-01dB,-3.08785907330027e+00°)
2.81838293126445e+01	(-2.61174987070356e-01dB,-3.46374741588543e+00°)
3.16227766016838e+01	(-2.65339937101510e-01dB,-3.88513620724145e+00°)
3.54813389233575e+01	(-2.70577624611435e-01dB,-4.35742782966797e+00°)
3.98107170553497e+01	(-2.77162512013041e-01dB,-4.88662295030725e+00°)
4.46683592150963e+01	(-2.85438220619415e-01dB,-5.47936899272695e+00°)
5.01187233627272e+01	(-2.95834343958900e-01dB,-6.14300485788866e+00°)
5.62341325190348e+01	(-3.08886995719771e-01dB,-6.88559779269199e+00°)
6.30957344480192e+01	(-3.25263717467515e-01dB,-7.71596655440734e+00°)
7.07945784384137e+01	(-3.45793352616129e-01dB,-8.64368272279261e+00°)
7.94328234724280e+01	(-3.71501381100155e-01dB,-9.67903908833315e+00°)
8.91250938133744e+01	(-4.03650946007383e-01dB,-1.08329704756532e+01°)
9.99999999999998e+01	(-4.43789303945317e-01dB,-1.21169082619171e+01°)
1.12201845430196e+02	(-4.93798592416703e-01dB,-1.35425455916583e+01°)
1.25892541179416e+02	(-5.55948507613057e-01dB,-1.51214866691636e+01°)
1.41253754462275e+02	(-6.32946617313839e-01dB,-1.68647519655451e+01°)
1.58489319246111e+02	(-7.27979555737955e-01dB,-1.87821139913452e+01°)
1.77827941003892e+02	(-8.44735384927889e-01dB,-2.08812486330901e+01°)
1.99526231496888e+02	(-9.87394393664958e-01dB,-2.31667086474216e+01°)
2.23872113856833e+02	(-1.16057342475687e+00dB,-2.56387618693144e+01°)
2.51188643150957e+02	(-1.36920889014888e+00dB,-2.82921873238818e+01°)
2.81838293126445e+02	(-1.61836771272232e+00dB,-3.11151820321518e+01°)
3.16227766016837e+02	(-1.91298502849672e+00dB,-3.40885852044933e+01°)
3.54813389233575e+02	(-2.25754275632286e+00dB,-3.71856510068877e+01°)
3.98107170553496e+02	(-2.65572168288394e+00dB,-4.03725694935380e+01°)
4.46683592150962e+02	(-3.11007607557233e+00dB,-4.36098314095936e+01°)
5.01187233627271e+02	(-3.62178684589894e+00dB,-4.68543665769616e+01°)
5.62341325190348e+02	(-4.19054134948582e+00dB,-5.00622012911473e+01°)
6.30957344480192e+02	(-4.81456479613446e+00dB,-5.31912425832029e+01°)
7.07945784384136e+02	(-5.49079657937399e+00dB,-5.62037618496693e+01°)
7.94328234724279e+02	(-6.21517549561820e+00dB,-5.90682322481048e+01°)
8.91250938133743e+02	(-6.98298050921316e+00dB,-6.17603390308244e+01°)
9.99999999999997e+02	(-7.78917231261353e+00dB,-6.42631659542382e+01°)
1.12201845430196e+03	(-8.62869263213611e+00dB,-6.65667048282152e+01°)
