time	V(out)
0.000000000000000e+00	1.004484e+00
5.714285679557311e-09	1.004484e+00
1.142857135911462e-08	1.004483e+00
1.714285703867193e-08	1.004483e+00
2.285714271822924e-08	1.004481e+00
2.857142839778655e-08	1.004480e+00
3.428571407734386e-08	1.004478e+00
3.999999975690116e-08	1.004476e+00
7.999999951380232e-08	1.004453e+00
1.599999990276046e-07	1.004362e+00
3.199999980552093e-07	1.004031e+00
6.399999961104186e-07	1.003015e+00
1.000000000000000e-06	1.001582e+00
1.108000001166874e-06	1.001148e+00
1.252000002722707e-06	1.000704e+00
1.510844462055518e-06	1.000155e+00
1.791440739057153e-06	9.998096e-01
2.121145140813720e-06	9.996149e-01
2.480736883820598e-06	9.995258e-01
2.938895573665588e-06	9.994867e-01
3.522032592047371e-06	9.994732e-01
4.446583567727759e-06	9.994695e-01
5.423146067727759e-06	9.994692e-01
6.399708567727759e-06	9.994693e-01
7.376271067727759e-06	9.994693e-01
8.352833567727759e-06	9.994693e-01
1.010000000000000e-04	9.994693e-01
1.010976562500000e-04	9.995550e-01
1.012929687500000e-04	9.998505e-01
1.016093750000000e-04	1.000619e+00
1.020000000000000e-04	1.001834e+00
1.020390625000000e-04	1.001966e+00
1.021171875000000e-04	1.002208e+00
1.022734375000000e-04	1.002599e+00
1.025859375000000e-04	1.003155e+00
1.030497022181592e-04	1.003678e+00
1.035711813616735e-04	1.004011e+00
1.042741085394033e-04	1.004238e+00
1.052506710394033e-04	1.004385e+00
1.062272335394033e-04	1.004447e+00
1.072037960394033e-04	1.004470e+00
1.081803585394033e-04	1.004479e+00
1.091569210394033e-04	1.004482e+00
1.101334835394033e-04	1.004483e+00
1.111100460394033e-04	1.004484e+00
1.120866085394033e-04	1.004484e+00
1.130631710394033e-04	1.004484e+00
1.140397335394033e-04	1.004484e+00
1.150162960394033e-04	1.004484e+00
1.159928585394033e-04	1.004484e+00
1.179459835394033e-04	1.004484e+00
1.198991085394033e-04	1.004484e+00
1.218522335394033e-04	1.004484e+00
1.238053585394033e-04	1.004484e+00
1.257584835394033e-04	1.004484e+00
1.277116085394033e-04	1.004484e+00
1.296647335394033e-04	1.004484e+00
2.000000000000000e-04	1.004484e+00
2.000364263369546e-04	1.004470e+00
2.001092790108637e-04	1.004413e+00
2.002549843586821e-04	1.004169e+00
2.005463950543188e-04	1.003326e+00
2.010000000000000e-04	1.001599e+00
2.011360814837043e-04	1.001069e+00
2.013175234619768e-04	1.000548e+00
2.015746596718800e-04	1.000058e+00
2.018492155729539e-04	9.997689e-01
2.022296799275750e-04	9.995819e-01
2.025761404079266e-04	9.995127e-01
2.031017042849436e-04	9.994810e-01
2.036939149668693e-04	9.994714e-01
2.046704774668693e-04	9.994694e-01
2.056470399668693e-04	9.994692e-01
2.066236024668693e-04	9.994693e-01
2.076001649668693e-04	9.994693e-01
3.009999999999999e-04	9.994693e-01
3.010976562499999e-04	9.995550e-01
3.012929687499999e-04	9.998505e-01
3.016093750000000e-04	1.000619e+00
3.020000000000000e-04	1.001834e+00
3.020390625000000e-04	1.001966e+00
3.021171875000000e-04	1.002208e+00
3.022734375000000e-04	1.002599e+00
3.025859375000000e-04	1.003155e+00
3.030497022169111e-04	1.003678e+00
3.035711813594736e-04	1.004011e+00
3.042741085356316e-04	1.004238e+00
3.052506710356316e-04	1.004385e+00
3.062272335356316e-04	1.004447e+00
3.072037960356317e-04	1.004470e+00
3.081803585356317e-04	1.004479e+00
3.091569210356317e-04	1.004482e+00
3.101334835356317e-04	1.004483e+00
3.111100460356317e-04	1.004484e+00
3.120866085356317e-04	1.004484e+00
3.130631710356317e-04	1.004484e+00
3.140397335356317e-04	1.004484e+00
3.150162960356317e-04	1.004484e+00
3.159928585356317e-04	1.004484e+00
3.179459835356317e-04	1.004484e+00
3.198991085356317e-04	1.004484e+00
3.218522335356317e-04	1.004484e+00
3.238053585356317e-04	1.004484e+00
3.257584835356317e-04	1.004484e+00
3.277116085356317e-04	1.004484e+00
3.296647335356317e-04	1.004484e+00
4.000000000000000e-04	1.004484e+00
4.000364263429891e-04	1.004470e+00
4.001092790289675e-04	1.004413e+00
4.002549844009242e-04	1.004169e+00
4.005463951448375e-04	1.003326e+00
4.010000000000000e-04	1.001599e+00
4.011360814565487e-04	1.001069e+00
4.013175233986137e-04	1.000548e+00
4.015746596091957e-04	1.000058e+00
4.018492155146593e-04	9.997689e-01
4.022296798797687e-04	9.995819e-01
4.025761403454916e-04	9.995127e-01
4.031017041993764e-04	9.994810e-01
4.036939148370882e-04	9.994714e-01
4.046704773370882e-04	9.994694e-01
4.056470398370882e-04	9.994692e-01
4.066236023370882e-04	9.994693e-01
4.076001648370882e-04	9.994693e-01
5.009999999999999e-04	9.994693e-01
5.010976562499999e-04	9.995550e-01
5.012929687499999e-04	9.998505e-01
5.016093750000000e-04	1.000619e+00
5.020000000000001e-04	1.001834e+00
5.020390625000001e-04	1.001966e+00
5.021171875000001e-04	1.002208e+00
5.022734375000000e-04	1.002599e+00
5.025859375000000e-04	1.003155e+00
5.030497022183759e-04	1.003678e+00
5.035711813620183e-04	1.004011e+00
5.042741085401204e-04	1.004238e+00
5.052506710401204e-04	1.004385e+00
5.062272335401204e-04	1.004447e+00
5.072037960401204e-04	1.004470e+00
5.081803585401204e-04	1.004479e+00
5.091569210401204e-04	1.004482e+00
5.101334835401204e-04	1.004483e+00
5.111100460401205e-04	1.004484e+00
5.120866085401205e-04	1.004484e+00
5.130631710401205e-04	1.004484e+00
5.140397335401205e-04	1.004484e+00
5.150162960401205e-04	1.004484e+00
5.159928585401205e-04	1.004484e+00
5.179459835401205e-04	1.004484e+00
5.198991085401205e-04	1.004484e+00
5.218522335401205e-04	1.004484e+00
5.238053585401205e-04	1.004484e+00
5.257584835401205e-04	1.004484e+00
5.277116085401205e-04	1.004484e+00
5.296647335401205e-04	1.004484e+00
