v1	V(out)
0.000000000000000e+00	-7.848904e-01
1.000000000000000e-03	-7.848904e-01
2.000000000000000e-03	-7.848904e-01
3.000000000000000e-03	-7.848904e-01
4.000000000000000e-03	-7.848904e-01
5.000000000000000e-03	-7.848904e-01
6.000000000000000e-03	-7.848904e-01
7.000000000000000e-03	-7.848904e-01
8.000000000000000e-03	-7.848904e-01
9.000000000000001e-03	-7.848904e-01
1.000000000000000e-02	-7.848904e-01
1.100000000000000e-02	-7.848904e-01
1.200000000000000e-02	-7.848904e-01
1.300000000000000e-02	-7.848904e-01
1.400000000000001e-02	-7.848904e-01
1.500000000000001e-02	-7.848904e-01
1.600000000000001e-02	-7.848904e-01
1.700000000000001e-02	-7.848904e-01
1.800000000000001e-02	-7.848904e-01
1.900000000000001e-02	-7.848904e-01
2.000000000000001e-02	-7.848904e-01
2.100000000000001e-02	-7.848904e-01
2.200000000000001e-02	-7.848904e-01
2.300000000000001e-02	-7.848904e-01
2.400000000000001e-02	-7.848904e-01
2.500000000000002e-02	-7.848904e-01
2.600000000000002e-02	-7.848904e-01
2.700000000000002e-02	-7.848904e-01
2.800000000000002e-02	-7.848904e-01
2.900000000000002e-02	-7.848904e-01
3.000000000000002e-02	-7.848904e-01
3.100000000000002e-02	-7.848904e-01
3.200000000000002e-02	-7.848904e-01
3.300000000000002e-02	-7.848904e-01
3.400000000000002e-02	-7.848904e-01
3.500000000000002e-02	-7.848904e-01
3.600000000000003e-02	-7.848904e-01
3.700000000000003e-02	-7.848903e-01
3.800000000000003e-02	-7.848903e-01
3.900000000000003e-02	-7.848903e-01
4.000000000000003e-02	-7.848903e-01
4.100000000000003e-02	-7.848903e-01
4.200000000000003e-02	-7.848903e-01
4.300000000000003e-02	-7.848903e-01
4.400000000000003e-02	-7.848903e-01
4.500000000000003e-02	-7.848903e-01
4.600000000000003e-02	-7.848903e-01
4.700000000000003e-02	-7.848903e-01
4.800000000000004e-02	-7.848903e-01
4.900000000000004e-02	-7.848903e-01
5.000000000000004e-02	-7.848903e-01
5.100000000000004e-02	-7.848903e-01
5.200000000000004e-02	-7.848902e-01
5.300000000000004e-02	-7.848902e-01
5.400000000000004e-02	-7.848902e-01
5.500000000000004e-02	-7.848902e-01
5.600000000000004e-02	-7.848902e-01
5.700000000000004e-02	-7.848902e-01
5.800000000000004e-02	-7.848902e-01
5.900000000000005e-02	-7.848902e-01
6.000000000000005e-02	-7.848902e-01
6.100000000000005e-02	-7.848902e-01
6.200000000000005e-02	-7.848902e-01
6.300000000000004e-02	-7.848902e-01
6.400000000000004e-02	-7.848902e-01
6.500000000000004e-02	-7.848902e-01
6.600000000000004e-02	-7.848902e-01
6.700000000000005e-02	-7.848902e-01
6.800000000000005e-02	-7.848902e-01
6.900000000000005e-02	-7.848902e-01
7.000000000000005e-02	-7.848902e-01
7.100000000000005e-02	-7.848901e-01
7.200000000000005e-02	-7.848901e-01
7.300000000000005e-02	-7.848901e-01
7.400000000000005e-02	-7.848901e-01
7.500000000000005e-02	-7.848901e-01
7.600000000000005e-02	-7.848901e-01
7.700000000000005e-02	-7.848901e-01
7.800000000000006e-02	-7.848901e-01
7.900000000000006e-02	-7.848901e-01
8.000000000000006e-02	-7.848901e-01
8.100000000000006e-02	-7.848901e-01
8.200000000000006e-02	-7.848901e-01
8.300000000000006e-02	-7.848900e-01
8.400000000000006e-02	-7.848900e-01
8.500000000000006e-02	-7.848900e-01
8.600000000000006e-02	-7.848900e-01
8.700000000000006e-02	-7.848900e-01
8.800000000000006e-02	-7.848899e-01
8.900000000000007e-02	-7.848899e-01
9.000000000000007e-02	-7.848899e-01
9.100000000000007e-02	-7.848899e-01
9.200000000000007e-02	-7.848899e-01
9.300000000000007e-02	-7.848899e-01
9.400000000000007e-02	-7.848899e-01
9.500000000000007e-02	-7.848899e-01
9.600000000000007e-02	-7.848898e-01
9.700000000000007e-02	-7.848898e-01
9.800000000000007e-02	-7.848898e-01
9.900000000000007e-02	-7.848898e-01
1.000000000000001e-01	-7.848898e-01
1.010000000000001e-01	-7.848898e-01
1.020000000000001e-01	-7.848897e-01
1.030000000000001e-01	-7.848897e-01
1.040000000000001e-01	-7.848897e-01
1.050000000000001e-01	-7.848896e-01
1.060000000000001e-01	-7.848896e-01
1.070000000000001e-01	-7.848896e-01
1.080000000000001e-01	-7.848896e-01
1.090000000000001e-01	-7.848896e-01
1.100000000000001e-01	-7.848895e-01
1.110000000000001e-01	-7.848895e-01
1.120000000000001e-01	-7.848895e-01
1.130000000000001e-01	-7.848895e-01
1.140000000000001e-01	-7.848895e-01
1.150000000000001e-01	-7.848894e-01
1.160000000000001e-01	-7.848894e-01
1.170000000000001e-01	-7.848893e-01
1.180000000000001e-01	-7.848893e-01
1.190000000000001e-01	-7.848893e-01
1.200000000000001e-01	-7.848893e-01
1.210000000000001e-01	-7.848892e-01
1.220000000000001e-01	-7.848892e-01
1.230000000000001e-01	-7.848892e-01
1.240000000000001e-01	-7.848891e-01
1.250000000000001e-01	-7.848891e-01
1.260000000000001e-01	-7.848890e-01
1.270000000000001e-01	-7.848890e-01
1.280000000000001e-01	-7.848890e-01
1.290000000000001e-01	-7.848889e-01
1.300000000000001e-01	-7.848889e-01
1.310000000000001e-01	-7.848888e-01
1.320000000000001e-01	-7.848888e-01
1.330000000000001e-01	-7.848887e-01
1.340000000000001e-01	-7.848887e-01
1.350000000000001e-01	-7.848886e-01
1.360000000000001e-01	-7.848886e-01
1.370000000000001e-01	-7.848885e-01
1.380000000000001e-01	-7.848884e-01
1.390000000000001e-01	-7.848884e-01
1.400000000000001e-01	-7.848883e-01
1.410000000000001e-01	-7.848883e-01
1.420000000000001e-01	-7.848882e-01
1.430000000000001e-01	-7.848881e-01
1.440000000000001e-01	-7.848881e-01
1.450000000000001e-01	-7.848880e-01
1.460000000000001e-01	-7.848880e-01
1.470000000000001e-01	-7.848879e-01
1.480000000000001e-01	-7.848879e-01
1.490000000000001e-01	-7.848877e-01
1.500000000000001e-01	-7.848877e-01
1.510000000000001e-01	-7.848876e-01
1.520000000000001e-01	-7.848875e-01
1.530000000000001e-01	-7.848874e-01
1.540000000000001e-01	-7.848874e-01
1.550000000000001e-01	-7.848873e-01
1.560000000000001e-01	-7.848872e-01
1.570000000000001e-01	-7.848871e-01
1.580000000000001e-01	-7.848870e-01
1.590000000000001e-01	-7.848869e-01
1.600000000000001e-01	-7.848868e-01
1.610000000000001e-01	-7.848867e-01
1.620000000000001e-01	-7.848865e-01
1.630000000000001e-01	-7.848865e-01
1.640000000000001e-01	-7.848864e-01
1.650000000000001e-01	-7.848862e-01
1.660000000000001e-01	-7.848861e-01
1.670000000000001e-01	-7.848860e-01
1.680000000000001e-01	-7.848859e-01
1.690000000000001e-01	-7.848857e-01
1.700000000000001e-01	-7.848856e-01
1.710000000000001e-01	-7.848855e-01
1.720000000000001e-01	-7.848853e-01
1.730000000000001e-01	-7.848852e-01
1.740000000000001e-01	-7.848850e-01
1.750000000000001e-01	-7.848849e-01
1.760000000000001e-01	-7.848847e-01
1.770000000000001e-01	-7.848845e-01
1.780000000000001e-01	-7.848844e-01
1.790000000000001e-01	-7.848842e-01
1.800000000000001e-01	-7.848840e-01
1.810000000000001e-01	-7.848839e-01
1.820000000000001e-01	-7.848836e-01
1.830000000000001e-01	-7.848834e-01
1.840000000000001e-01	-7.848833e-01
1.850000000000001e-01	-7.848830e-01
1.860000000000001e-01	-7.848828e-01
1.870000000000001e-01	-7.848826e-01
1.880000000000001e-01	-7.848824e-01
1.890000000000001e-01	-7.848822e-01
1.900000000000001e-01	-7.848819e-01
1.910000000000001e-01	-7.848817e-01
1.920000000000001e-01	-7.848815e-01
1.930000000000001e-01	-7.848812e-01
1.940000000000001e-01	-7.848809e-01
1.950000000000001e-01	-7.848806e-01
1.960000000000001e-01	-7.848804e-01
1.970000000000001e-01	-7.848801e-01
1.980000000000001e-01	-7.848798e-01
1.990000000000001e-01	-7.848795e-01
2.000000000000001e-01	-7.848792e-01
2.010000000000002e-01	-7.848789e-01
2.020000000000002e-01	-7.848786e-01
2.030000000000002e-01	-7.848782e-01
2.040000000000002e-01	-7.848779e-01
2.050000000000002e-01	-7.848775e-01
2.060000000000002e-01	-7.848771e-01
2.070000000000002e-01	-7.848768e-01
2.080000000000002e-01	-7.848764e-01
2.090000000000002e-01	-7.848760e-01
2.100000000000002e-01	-7.848756e-01
2.110000000000002e-01	-7.848752e-01
2.120000000000002e-01	-7.848747e-01
2.130000000000002e-01	-7.848743e-01
2.140000000000002e-01	-7.848738e-01
2.150000000000002e-01	-7.848734e-01
2.160000000000002e-01	-7.848729e-01
2.170000000000002e-01	-7.848724e-01
2.180000000000002e-01	-7.848719e-01
2.190000000000002e-01	-7.848713e-01
2.200000000000002e-01	-7.848708e-01
2.210000000000002e-01	-7.848703e-01
2.220000000000002e-01	-7.848697e-01
2.230000000000002e-01	-7.848691e-01
2.240000000000002e-01	-7.848685e-01
2.250000000000002e-01	-7.848679e-01
2.260000000000002e-01	-7.848673e-01
2.270000000000002e-01	-7.848666e-01
2.280000000000002e-01	-7.848660e-01
2.290000000000002e-01	-7.848653e-01
2.300000000000002e-01	-7.848645e-01
2.310000000000002e-01	-7.848638e-01
2.320000000000002e-01	-7.848631e-01
2.330000000000002e-01	-7.848623e-01
2.340000000000002e-01	-7.848616e-01
2.350000000000002e-01	-7.848607e-01
2.360000000000002e-01	-7.848599e-01
2.370000000000002e-01	-7.848591e-01
2.380000000000002e-01	-7.848582e-01
2.390000000000002e-01	-7.848573e-01
2.400000000000002e-01	-7.848564e-01
2.410000000000002e-01	-7.848554e-01
2.420000000000002e-01	-7.848544e-01
2.430000000000002e-01	-7.848535e-01
2.440000000000002e-01	-7.848524e-01
2.450000000000002e-01	-7.848514e-01
2.460000000000002e-01	-7.848502e-01
2.470000000000002e-01	-7.848492e-01
2.480000000000002e-01	-7.848480e-01
2.490000000000002e-01	-7.848468e-01
2.500000000000002e-01	-7.848456e-01
2.510000000000002e-01	-7.848443e-01
2.520000000000002e-01	-7.848431e-01
2.530000000000002e-01	-7.848418e-01
2.540000000000002e-01	-7.848404e-01
2.550000000000002e-01	-7.848390e-01
2.560000000000002e-01	-7.848376e-01
2.570000000000002e-01	-7.848362e-01
2.580000000000002e-01	-7.848347e-01
