Freq.	V(out)
1.00000000000000e+01	(-5.73159154049932e+01dB,-9.01167476324300e-05°)
1.12201845430196e+01	(-5.73159154048159e+01dB,-1.01112640669767e-04°)
1.25892541179417e+01	(-5.73159154048110e+01dB,-1.13450242695674e-04°)
1.41253754462275e+01	(-5.73159154045818e+01dB,-1.27293292729412e-04°)
1.58489319246111e+01	(-5.73159154042613e+01dB,-1.42825397534034e-04°)
1.77827941003892e+01	(-5.73159154039420e+01dB,-1.60252748890786e-04°)
1.99526231496888e+01	(-5.73159154035970e+01dB,-1.79806542162860e-04°)
2.23872113856834e+01	(-5.73159154030345e+01dB,-2.01746262890684e-04°)
2.51188643150958e+01	(-5.73159154023834e+01dB,-2.26363036977296e-04°)
2.81838293126445e+01	(-5.73159154014959e+01dB,-2.53983547037252e-04°)
3.16227766016838e+01	(-5.73159154005874e+01dB,-2.84974166817694e-04°)
3.54813389233575e+01	(-5.73159153992792e+01dB,-3.19746337412113e-04°)
3.98107170553497e+01	(-5.73159153976689e+01dB,-3.58761256202432e-04°)
4.46683592150963e+01	(-5.73159153957042e+01dB,-4.02536654838232e-04°)
5.01187233627272e+01	(-5.73159153931643e+01dB,-4.51653602065982e-04°)
5.62341325190348e+01	(-5.73159153898762e+01dB,-5.06763767369926e-04°)
6.30957344480192e+01	(-5.73159153858807e+01dB,-5.68598213083848e-04°)
7.07945784384137e+01	(-5.73159153808785e+01dB,-6.37977676850273e-04°)
7.94328234724280e+01	(-5.73159153744332e+01dB,-7.15822790258989e-04°)
8.91250938133744e+01	(-5.73159153664412e+01dB,-8.03166339609434e-04°)
9.99999999999998e+01	(-5.73159153562391e+01dB,-9.01167510605964e-04°)
1.12201845430196e+02	(-5.73159153435650e+01dB,-1.01112661263071e-03°)
1.25892541179416e+02	(-5.73159153275006e+01dB,-1.13450283527897e-03°)
1.41253754462275e+02	(-5.73159153073398e+01dB,-1.27293310976017e-03°)
1.58489319246111e+02	(-5.73159152819064e+01dB,-1.42825442926492e-03°)
1.77827941003892e+02	(-5.73159152499407e+01dB,-1.60252802676421e-03°)
1.99526231496888e+02	(-5.73159152095495e+01dB,-1.79806613256170e-03°)
2.23872113856833e+02	(-5.73159151588959e+01dB,-2.01746365893974e-03°)
2.51188643150957e+02	(-5.73159150950521e+01dB,-2.26363175696781e-03°)
2.81838293126445e+02	(-5.73159150146321e+01dB,-2.53983699098675e-03°)
