Freq.	V(out)
1.00000000000000e+01	(-5.13074904633537e+01dB,1.79995179766285e+02°)
1.12201845430196e+01	(-5.13074904684762e+01dB,1.79994591608826e+02°)
1.25892541179417e+01	(-5.13074904748463e+01dB,1.79993931685233e+02°)
1.41253754462275e+01	(-5.13074904830243e+01dB,1.79993191238921e+02°)
1.58489319246111e+01	(-5.13074904932193e+01dB,1.79992360444460e+02°)
1.77827941003892e+01	(-5.13074905060052e+01dB,1.79991428277624e+02°)
1.99526231496888e+01	(-5.13074905222051e+01dB,1.79990382369397e+02°)
2.23872113856834e+01	(-5.13074905425205e+01dB,1.79989208840935e+02°)
2.51188643150958e+01	(-5.13074905681670e+01dB,1.79987892120418e+02°)
2.81838293126445e+01	(-5.13074906004409e+01dB,1.79986414735738e+02°)
3.16227766016838e+01	(-5.13074906410031e+01dB,1.79984757082830e+02°)
3.54813389233575e+01	(-5.13074906921227e+01dB,1.79982897165630e+02°)
3.98107170553497e+01	(-5.13074907564786e+01dB,1.79980810304363e+02°)
4.46683592150963e+01	(-5.13074908374916e+01dB,1.79978468807508e+02°)
5.01187233627272e+01	(-5.13074909394597e+01dB,1.79975841604811e+02°)
5.62341325190348e+01	(-5.13074910678694e+01dB,1.79972893835055e+02°)
6.30957344480192e+01	(-5.13074912294427e+01dB,1.79969586382785e+02°)
7.07945784384137e+01	(-5.13074914329500e+01dB,1.79965875360772e+02°)
7.94328234724280e+01	(-5.13074916890946e+01dB,1.79961711525733e+02°)
8.91250938133744e+01	(-5.13074920115878e+01dB,1.79957039626182e+02°)
9.99999999999998e+01	(-5.13074924175903e+01dB,1.79951797669045e+02°)
1.12201845430196e+02	(-5.13074929286881e+01dB,1.79945916097056e+02°)
1.25892541179416e+02	(-5.13074935721394e+01dB,1.79939316865169e+02°)
1.41253754462275e+02	(-5.13074943822001e+01dB,1.79931912406285e+02°)
1.58489319246111e+02	(-5.13074954019925e+01dB,1.79923604468517e+02°)
1.77827941003892e+02	(-5.13074966858625e+01dB,1.79914282811038e+02°)
1.99526231496888e+02	(-5.13074983021157e+01dB,1.79903823742170e+02°)
2.23872113856833e+02	(-5.13075003368847e+01dB,1.79892088478202e+02°)
2.51188643150957e+02	(-5.13075028984995e+01dB,1.79878921301124e+02°)
2.81838293126445e+02	(-5.13075061233765e+01dB,1.79864147494007e+02°)
3.16227766016837e+02	(-5.13075101832556e+01dB,1.79847571021245e+02°)
3.54813389233575e+02	(-5.13075152943361e+01dB,1.79828971929566e+02°)
3.98107170553496e+02	(-5.13075217287851e+01dB,1.79808103428835e+02°)
4.46683592150962e+02	(-5.13075298292775e+01dB,1.79784688619066e+02°)
5.01187233627271e+02	(-5.13075400271647e+01dB,1.79758416817060e+02°)
5.62341325190348e+02	(-5.13075528655046e+01dB,1.79728939436280e+02°)
6.30957344480192e+02	(-5.13075690279612e+01dB,1.79695865364225e+02°)
7.07945784384136e+02	(-5.13075893751998e+01dB,1.79658755776653e+02°)
7.94328234724279e+02	(-5.13076149907106e+01dB,1.79617118320375e+02°)
8.91250938133743e+02	(-5.13076472384963e+01dB,1.79570400588605e+02°)
9.99999999999997e+02	(-5.13076878356931e+01dB,1.79517982802241e+02°)
1.12201845430196e+03	(-5.13077389439612e+01dB,1.79459169602369e+02°)
1.25892541179416e+03	(-5.13078032845470e+01dB,1.79393180846717e+02°)
1.41253754462275e+03	(-5.13078842831099e+01dB,1.79319141290135e+02°)
1.58489319246111e+03	(-5.13079862519692e+01dB,1.79236069017486e+02°)
1.77827941003892e+03	(-5.13081146195329e+01dB,1.79142862479543e+02°)
1.99526231496887e+03	(-5.13082762189823e+01dB,1.79038285968905e+02°)
2.23872113856833e+03	(-5.13084796515421e+01dB,1.78920953353689e+02°)
2.51188643150957e+03	(-5.13087357435393e+01dB,1.78789309869138e+02°)
2.81838293126444e+03	(-5.13090581214162e+01dB,1.78641611747741e+02°)
3.16227766016837e+03	(-5.13094639349120e+01dB,1.78475903448809e+02°)
3.54813389233574e+03	(-5.13099747664756e+01dB,1.78289992229603e+02°)
3.98107170553496e+03	(-5.13106177744081e+01dB,1.78081419782875e+02°)
4.46683592150961e+03	(-5.13114271294160e+01dB,1.77847430652349e+02°)
5.01187233627270e+03	(-5.13124458188416e+01dB,1.77584937130721e+02°)
5.62341325190347e+03	(-5.13137279114005e+01dB,1.77290480348748e+02°)
6.30957344480190e+03	(-5.13153413978176e+01dB,1.76960187283898e+02°)
7.07945784384135e+03	(-5.13173717502510e+01dB,1.76589723462678e+02°)
7.94328234724278e+03	(-5.13199263770322e+01dB,1.76174241211920e+02°)
8.91250938133741e+03	(-5.13231401893315e+01dB,1.75708323449026e+02°)
9.99999999999995e+03	(-5.13271825435726e+01dB,1.75185923210869e+02°)
1.12201845430196e+04	(-5.13322658783644e+01dB,1.74600299436653e+02°)
1.25892541179416e+04	(-5.13386564254826e+01dB,1.73943949982284e+02°)
1.41253754462275e+04	(-5.13466874399647e+01dB,1.73208543506548e+02°)
1.58489319246111e+04	(-5.13567754579144e+01dB,1.72384852800757e+02°)
1.77827941003891e+04	(-5.13694401437182e+01dB,1.71462693417561e+02°)
1.99526231496887e+04	(-5.13853283135169e+01dB,1.70430873187963e+02°)
2.23872113856833e+04	(-5.14052426928487e+01dB,1.69277160498209e+02°)
2.51188643150957e+04	(-5.14301758416243e+01dB,1.67988282112519e+02°)
2.81838293126444e+04	(-5.14613493993868e+01dB,1.66549964894425e+02°)
3.16227766016836e+04	(-5.15002582843702e+01dB,1.64947039886481e+02°)
3.54813389233573e+04	(-5.15487186153308e+01dB,1.63163631487549e+02°)
3.98107170553495e+04	(-5.16089167934330e+01dB,1.61183458127107e+02°)
4.46683592150960e+04	(-5.16834552751988e+01dB,1.58990272445350e+02°)
5.01187233627269e+04	(-5.17753880447862e+01dB,1.56568466275531e+02°)
5.62341325190346e+04	(-5.18882357833012e+01dB,1.53903855532877e+02°)
6.30957344480189e+04	(-5.20259676673299e+01dB,1.50984638760862e+02°)
7.07945784384133e+04	(-5.21929345025615e+01dB,1.47802487505606e+02°)
7.94328234724276e+04	(-5.23937379293003e+01dB,1.44353676671854e+02°)
8.91250938133740e+04	(-5.26330244970780e+01dB,1.40640104392700e+02°)
9.99999999999993e+04	(-5.29152030049757e+01dB,1.36669998550684e+02°)
1.12201845430196e+05	(-5.32440988077741e+01dB,1.32458084789049e+02°)
1.25892541179416e+05	(-5.36225773930889e+01dB,1.28025025402982e+02°)
1.41253754462274e+05	(-5.40521860199809e+01dB,1.23396046046039e+02°)
1.58489319246110e+05	(-5.45328694604617e+01dB,1.18598837287351e+02°)
1.77827941003891e+05	(-5.50628084259319e+01dB,1.13661006513476e+02°)
1.99526231496886e+05	(-5.56384070245868e+01dB,1.08607496991141e+02°)
2.23872113856832e+05	(-5.62544253767840e+01dB,1.03458428894571e+02°)
2.51188643150956e+05	(-5.69042263036120e+01dB,9.82277355417377e+01°)
2.81838293126443e+05	(-5.75800904803472e+01dB,9.29227992343330e+01°)
3.16227766016835e+05	(-5.82735562580775e+01dB,8.75450954589544e+01°)
3.54813389233573e+05	(-5.89757551315048e+01dB,8.20916872107269e+01°)
3.98107170553494e+05	(-5.96777338102349e+01dB,7.65573001931644e+01°)
4.46683592150960e+05	(-6.03707707422192e+01dB,7.09366529419578e+01°)
5.01187233627268e+05	(-6.10467027223953e+01dB,6.52266985128940e+01°)
5.62341325190344e+05	(-6.16982733261651e+01dB,5.94284464925419e+01°)
6.30957344480188e+05	(-6.23195004609044e+01dB,5.35480806355757e+01°)
7.07945784384132e+05	(-6.29060400480293e+01dB,4.75971832913475e+01°)
7.94328234724275e+05	(-6.34555043025550e+01dB,4.15920313633618e+01°)
8.91250938133738e+05	(-6.39676845199786e+01dB,3.55521230516363e+01°)
9.99999999999991e+05	(-6.44446349392857e+01dB,2.94982819565190e+01°)
1.12201845430195e+06	(-6.48905952352152e+01dB,2.34507996007981e+01°)
1.25892541179416e+06	(-6.53117566194658e+01dB,1.74280708988332e+01°)
1.41253754462274e+06	(-6.57158999328182e+01dB,1.14460428362603e+01°)
1.58489319246110e+06	(-6.61119455710752e+01dB,5.51857732009694e+00°)
1.77827941003891e+06	(-6.65094537482164e+01dB,-3.41408131279665e-01°)
1.99526231496886e+06	(-6.69181051597848e+01dB,-6.12035139945696e+00°)
2.23872113856832e+06	(-6.73471847305547e+01dB,-1.18024461073300e+01°)
2.51188643150956e+06	(-6.78050908106561e+01dB,-1.73684763919430e+01°)
2.81838293126443e+06	(-6.82988990022045e+01dB,-2.27954350713119e+01°)
3.16227766016835e+06	(-6.88340184216028e+01dB,-2.80570926051128e+01°)
3.54813389233572e+06	(-6.94139801859394e+01dB,-3.31254529696330e+01°)
3.98107170553494e+06	(-7.00403871278167e+01dB,-3.79728136867636e+01°)
4.46683592150959e+06	(-7.07130302298667e+01dB,-4.25740071751958e+01°)
5.01187233627268e+06	(-7.14301482241907e+01dB,-4.69083849227023e+01°)
5.62341325190344e+06	(-7.21887827277594e+01dB,-5.09612107999177e+01°)
6.30957344480187e+06	(-7.29851704277389e+01dB,-5.47243072231735e+01°)
7.07945784384131e+06	(-7.38151181025110e+01dB,-5.81959788699996e+01°)
7.94328234724274e+06	(-7.46743214963332e+01dB,-6.13803688883124e+01°)
8.91250938133737e+06	(-7.55586082706384e+01dB,-6.42864601752772e+01°)
9.99999999999990e+06	(-7.64641023164420e+01dB,-6.69269285550161e+01°)
1.12201845430195e+07	(-7.73873183416031e+01dB,-6.93170101829129e+01°)
1.25892541179415e+07	(-7.83252013916029e+01dB,-7.14734882583510e+01°)
1.41253754462274e+07	(-7.92751270827339e+01dB,-7.34138514512298e+01°)
1.58489319246110e+07	(-8.02348766341636e+01dB,-7.51556373292913e+01°)
1.77827941003890e+07	(-8.12025978497428e+01dB,-7.67159491294310e+01°)
1.99526231496886e+07	(-8.21767600929639e+01dB,-7.81111215809876e+01°)
2.23872113856832e+07	(-8.31561085807924e+01dB,-7.93565071776027e+01°)
2.51188643150955e+07	(-8.41396212044785e+01dB,-8.04663551468346e+01°)
2.81838293126442e+07	(-8.51264695673363e+01dB,-8.14537587655358e+01°)
3.16227766016834e+07	(-8.61159849163145e+01dB,-8.23306509695821e+01°)
3.54813389233572e+07	(-8.71076290154614e+01dB,-8.31078325429248e+01°)
3.98107170553493e+07	(-8.81009696518008e+01dB,-8.37950209532329e+01°)
4.46683592150958e+07	(-8.90956602875809e+01dB,-8.44009110663981e+01°)
5.01187233627267e+07	(-9.00914233097149e+01dB,-8.49332414507969e+01°)
5.62341325190343e+07	(-9.10880363309488e+01dB,-8.53988618940453e+01°)
6.30957344480186e+07	(-9.20853210366520e+01dB,-8.58037991574462e+01°)
7.07945784384130e+07	(-9.30831341266984e+01dB,-8.61533190228990e+01°)
7.94328234724272e+07	(-9.40813599618155e+01dB,-8.64519834201239e+01°)
8.91250938133735e+07	(-9.50799045812955e+01dB,-8.67037019185726e+01°)
9.99999999999989e+07	(-9.60786908107811e+01dB,-8.69117772206773e+01°)
1.12201845430195e+08	(-9.70776542233139e+01dB,-8.70789445113308e+01°)
1.25892541179415e+08	(-9.80767397536778e+01dB,-8.72074046588297e+01°)
1.41253754462274e+08	(-9.90758987954097e+01dB,-8.72988513389664e+01°)
1.58489319246109e+08	(-1.00075086632231e+02dB,-8.73544922021621e+01°)
1.77827941003890e+08	(-1.01074260071351e+02dB,-8.73750642027649e+01°)
1.99526231496886e+08	(-1.02073375155767e+02dB,-8.73608432142241e+01°)
2.23872113856831e+08	(-1.03072384836401e+02dB,-8.73116480368958e+01°)
2.51188643150955e+08	(-1.04071236482916e+02dB,-8.72268388937238e+01°)
2.81838293126442e+08	(-1.05069869104170e+02dB,-8.71053105015019e+01°)
3.16227766016834e+08	(-1.06068210135248e+02dB,-8.69454798093584e+01°)
3.54813389233571e+08	(-1.07066171627487e+02dB,-8.67452685282574e+01°)
3.98107170553492e+08	(-1.08063645650228e+02dB,-8.65020806370258e+01°)
4.46683592150958e+08	(-1.09060498677591e+02dB,-8.62127751622382e+01°)
5.01187233627266e+08	(-1.10056564689940e+02dB,-8.58736347163032e+01°)
5.62341325190342e+08	(-1.11051636667542e+02dB,-8.54803305571733e+01°)
6.30957344480185e+08	(-1.12045456093917e+02dB,-8.50278853558522e+01°)
7.07945784384129e+08	(-1.13037700020251e+02dB,-8.45106354618254e+01°)
7.94328234724271e+08	(-1.14027965174380e+02dB,-8.39221953126544e+01°)
8.91250938133734e+08	(-1.15015748536263e+02dB,-8.32554278188102e+01°)
1.00000000000000e+09	(-1.16000423760690e+02dB,-8.25024261615596e+01°)
