Freq.	V(out)
1.00000000000000e+01	(5.85268380079369e+01dB,1.78620215042574e+02°)
1.12201845430196e+01	(5.85261862391814e+01dB,1.78451933076747e+02°)
1.25892541179417e+01	(5.85253658499909e+01dB,1.78263149549386e+02°)
1.41253754462275e+01	(5.85243332615001e+01dB,1.78051376042298e+02°)
1.58489319246111e+01	(5.85230336586056e+01dB,1.77813825917143e+02°)
1.77827941003892e+01	(5.85213981082819e+01dB,1.77547380149493e+02°)
1.99526231496888e+01	(5.85193399478517e+01dB,1.77248549902776e+02°)
2.23872113856834e+01	(5.85167502635169e+01dB,1.76913435812939e+02°)
2.51188643150958e+01	(5.85134922383068e+01dB,1.76537684098355e+02°)
2.81838293126445e+01	(5.85093940998564e+01dB,1.76116439827792e+02°)
3.16227766016838e+01	(5.85042403418530e+01dB,1.75644298001921e+02°)
3.54813389233575e+01	(5.84977608291757e+01dB,1.75115253570871e+02°)
3.98107170553497e+01	(5.84896173278782e+01dB,1.74522652174026e+02°)
4.46683592150963e+01	(5.84793869320310e+01dB,1.73859144315556e+02°)
5.01187233627272e+01	(5.84665417990706e+01dB,1.73116646962126e+02°)
5.62341325190348e+01	(5.84504245693861e+01dB,1.72286318262923e+02°)
6.30957344480192e+01	(5.84302188598452e+01dB,1.71358553345565e+02°)
7.07945784384137e+01	(5.84049143242725e+01dB,1.70323012017290e+02°)
7.94328234724280e+01	(5.83732660245698e+01dB,1.69168692724445e+02°)
8.91250938133744e+01	(5.83337483349371e+01dB,1.67884071191543e+02°)
9.99999999999998e+01	(5.82845044126425e+01dB,1.66457326426253e+02°)
1.12201845430196e+02	(5.82232935317851e+01dB,1.64876680478420e+02°)
1.25892541179416e+02	(5.81474404022368e+01dB,1.63130880094018e+02°)
1.41253754462275e+02	(5.80537930321908e+01dB,1.61209845991749e+02°)
1.58489319246111e+02	(5.79386986298463e+01dB,1.59105505792949e+02°)
1.77827941003892e+02	(5.77980100732370e+01dB,1.56812805952943e+02°)
1.99526231496888e+02	(5.76271377560329e+01dB,1.54330863152423e+02°)
2.23872113856833e+02	(5.74211617640622e+01dB,1.51664165911656e+02°)
2.51188643150957e+02	(5.71750155996956e+01dB,1.48823677853433e+02°)
2.81838293126445e+02	(5.68837434942497e+01dB,1.45827639037284e+02°)
3.16227766016837e+02	(5.65428184345935e+01dB,1.42701834302414e+02°)
3.54813389233575e+02	(5.61484895733885e+01dB,1.39479124417038e+02°)
3.98107170553496e+02	(5.56981109425019e+01dB,1.36198134540387e+02°)
4.46683592150962e+02	(5.51903954888496e+01dB,1.32901157150408e+02°)
5.01187233627271e+02	(5.46255452406671e+01dB,1.29631511604642e+02°)
5.62341325190348e+02	(5.40052305899838e+01dB,1.26430745516933e+02°)
6.30957344480192e+02	(5.33324230692129e+01dB,1.23336106807084e+02°)
7.07945784384136e+02	(5.26111158657752e+01dB,1.20378641076141e+02°)
7.94328234724279e+02	(5.18459846933506e+01dB,1.17582108105503e+02°)
8.91250938133743e+02	(5.10420441436387e+01dB,1.14962726475871e+02°)
9.99999999999997e+02	(5.02043436670904e+01dB,1.12529607119666e+02°)
1.12201845430196e+03	(4.93377294577909e+01dB,1.10285657734523e+02°)
1.25892541179416e+03	(4.84466806197895e+01dB,1.08228730109632e+02°)
1.41253754462275e+03	(4.75352145255970e+01dB,1.06352819944794e+02°)
1.58489319246111e+03	(4.66068486647677e+01dB,1.04649186841357e+02°)
1.77827941003892e+03	(4.56646037616191e+01dB,1.03107319858054e+02°)
1.99526231496887e+03	(4.47110338229042e+01dB,1.01715719951465e+02°)
2.23872113856833e+03	(4.37482713710728e+01dB,1.00462501478810e+02°)
2.51188643150957e+03	(4.27780791888942e+01dB,9.93358323089353e+01°)
2.81838293126444e+03	(4.18019027285429e+01dB,9.83242394776306e+01°)
3.16227766016837e+03	(4.08209196127128e+01dB,9.74168083472260e+01°)
3.54813389233574e+03	(3.98360843213839e+01dB,9.66033007729726e+01°)
3.98107170553496e+03	(3.88481672875843e+01dB,9.58742138182081e+01°)
4.46683592150961e+03	(3.78577883359291e+01dB,9.52207962922525e+01°)
5.01187233627270e+03	(3.68654448059118e+01dB,9.46350364394993e+01°)
5.62341325190347e+03	(3.58715349060774e+01dB,9.41096307530220e+01°)
6.30957344480190e+03	(3.48763769196319e+01dB,9.36379411805934e+01°)
7.07945784384135e+03	(3.38802248793242e+01dB,9.32139458889462e+01°)
