Freq.	V(out)
1.00000000000000e+01	(6.24767534140105e+01dB,1.74515502770470e+02°)
1.12201845430196e+01	(6.24664940525554e+01dB,1.73851142885328e+02°)
1.25892541179417e+01	(6.24536126475687e+01dB,1.73107697899288e+02°)
1.41253754462275e+01	(6.24374500580475e+01dB,1.72276317612499e+02°)
1.58489319246111e+01	(6.24171877201369e+01dB,1.71347389066014e+02°)
1.77827941003892e+01	(6.23918126378740e+01dB,1.70310564738081e+02°)
1.99526231496888e+01	(6.23600766838347e+01dB,1.69154837203548e+02°)
2.23872113856834e+01	(6.23204504399246e+01dB,1.67868678730679e+02°)
2.51188643150958e+01	(6.22710726244091e+01dB,1.66440268553530e+02°)
2.81838293126445e+01	(6.22096974206443e+01dB,1.64857834245669e+02°)
3.16227766016838e+01	(6.21336438561895e+01dB,1.63110135337590e+02°)
3.54813389233575e+01	(6.20397538245694e+01dB,1.61187114837595e+02°)
3.98107170553497e+01	(6.19243682835130e+01dB,1.59080734505724e+02°)
4.46683592150963e+01	(6.17833341938589e+01dB,1.56785988888641e+02°)
5.01187233627272e+01	(6.16120570252328e+01dB,1.54302058045439e+02°)
5.62341325190348e+01	(6.14056137644194e+01dB,1.51633509031855e+02°)
6.30957344480192e+01	(6.11589375654735e+01dB,1.48791396821320e+02°)
7.07945784384137e+01	(6.08670759303409e+01dB,1.45794060520960e+02°)
7.94328234724280e+01	(6.05255093311237e+01dB,1.42667383768721e+02°)
8.91250938133744e+01	(6.01304987114090e+01dB,1.39444315878819e+02°)
9.99999999999998e+01	(5.96794136188729e+01dB,1.36163549920296e+02°)
1.12201845430196e+02	(5.91709849745351e+01dB,1.32867417160255e+02°)
1.25892541179416e+02	(5.86054334732770e+01dB,1.29599242212994e+02°)
1.41253754462275e+02	(5.79844469537790e+01dB,1.26400545318504e+02°)
1.58489319246111e+02	(5.73110115195419e+01dB,1.23308520395502e+02°)
1.77827941003892e+02	(5.65891309694726e+01dB,1.20354141948744e+02°)
1.99526231496888e+02	(5.58234872865248e+01dB,1.17561092343450e+02°)
2.23872113856833e+02	(5.50190972437794e+01dB,1.14945516279671e+02°)
2.51188643150957e+02	(5.41810090815102e+01dB,1.12516461848947e+02°)
2.81838293126445e+02	(5.33140652961405e+01dB,1.10276789588359e+02°)
3.16227766016837e+02	(5.24227397182744e+01dB,1.08224321818785e+02°)
3.54813389233575e+02	(5.15110436600693e+01dB,1.06353042498384e+02°)
3.98107170553496e+02	(5.05824883704652e+01dB,1.04654216026921e+02°)
4.46683592150962e+02	(4.96400885712382e+01dB,1.03117351054925e+02°)
5.01187233627271e+02	(4.86863927595157e+01dB,1.01730981098597e+02°)
5.62341325190348e+02	(4.77235285696236e+01dB,1.00483264436388e+02°)
6.30957344480192e+02	(4.67532545576353e+01dB,9.93624229852181e+01°)
7.07945784384136e+02	(4.57770125937088e+01dB,9.83570471453220e+01°)
7.94328234724279e+02	(4.47959773142059e+01dB,9.74562945685139e+01°)
8.91250938133743e+02	(4.38111007443825e+01dB,9.66500083193704e+01°)
9.99999999999997e+02	(4.28231513262645e+01dB,9.59287759298143e+01°)
1.12201845430196e+03	(4.18327472923270e+01dB,9.52839465819923e+01°)
1.25892541179416e+03	(4.08403847307647e+01dB,9.47076197166602e+01°)
1.41253754462275e+03	(3.98464608903286e+01dB,9.41926150188766e+01°)
1.58489319246111e+03	(3.88512933459408e+01dB,9.37324310372455e+01°)
1.77827941003892e+03	(3.78551356429828e+01dB,9.33211976000193e+01°)
1.99526231496887e+03	(3.68581899932665e+01dB,9.29536256108387e+01°)
