Freq.	V(out)
1.00000000000000e+01	(2.01397378508186e+00dB,-1.37837384652258e+00°)
1.12201845430196e+01	(2.01332201700484e+00dB,-1.54648363130657e+00°)
1.25892541179417e+01	(2.01250162867753e+00dB,-1.73507396830268e+00°)
1.41253754462275e+01	(2.01146904126861e+00dB,-1.94663071218445e+00°)
1.58489319246111e+01	(2.01016943973932e+00dB,-2.18393762497709e+00°)
1.77827941003892e+01	(2.00853389112618e+00dB,-2.45011050382751e+00°)
1.99526231496888e+01	(2.00647573284972e+00dB,-2.74863456423844e+00°)
2.23872113856834e+01	(2.00388605123064e+00dB,-3.08340510735795e+00°)
2.51188643150958e+01	(2.00062802943729e+00dB,-3.45877135615654e+00°)
2.81838293126445e+01	(1.99652989529171e+00dB,-3.87958312696980e+00°)
3.16227766016838e+01	(1.99137614271000e+00dB,-4.35123968011710e+00°)
3.54813389233575e+01	(1.98489663684789e+00dB,-4.87973962619621e+00°)
3.98107170553497e+01	(1.97675314413743e+00dB,-5.47173010083870e+00°)
4.46683592150963e+01	(1.96652275910153e+00dB,-6.13455249330938e+00°)
5.01187233627272e+01	(1.95367763974665e+00dB,-6.87628074122548e+00°)
5.62341325190348e+01	(1.93756042719201e+00dB,-7.70574648983936e+00°)
6.30957344480192e+01	(1.91735473921737e+00dB,-8.63254316070296e+00°)
7.07945784384137e+01	(1.89205023079636e+00dB,-9.66699809853948e+00°)
7.94328234724280e+01	(1.86040196527058e+00dB,-1.08200984412635e+01°)
8.91250938133744e+01	(1.82088431867848e+00dB,-1.21033522896387e+01°)
9.99999999999998e+01	(1.77164045055869e+00dB,-1.35285624876603e+01°)
1.12201845430196e+02	(1.71042963789838e+00dB,-1.51074866227166e+01°)
1.25892541179416e+02	(1.63457659421717e+00dB,-1.68513551014360e+01°)
1.41253754462275e+02	(1.54092933224894e+00dB,-1.87702215699203e+01°)
1.58489319246111e+02	(1.42583506599174e+00dB,-2.08721296436754e+01°)
1.77827941003892e+02	(1.28514668069191e+00dB,-2.31621005945909e+01°)
1.99526231496888e+02	(1.11427457916515e+00dB,-2.56409815313239e+01°)
2.23872113856833e+02	(9.08298858700735e-01dB,-2.83042433046056e+01°)
2.51188643150957e+02	(6.62153036145305e-01dB,-3.11408767051804e+01°)
2.81838293126445e+02	(3.70881361026896e-01dB,-3.41325905246931e+01°)
3.16227766016837e+02	(2.99568431075702e-02dB,-3.72535425340634e+01°)
3.54813389233575e+02	(-3.64371336086463e-01dB,-4.04708075726377e+01°)
3.98107170553496e+02	(-8.14749108372665e-01dB,-4.37456882317761e+01°)
4.46683592150962e+02	(-1.32246348111556e+00dB,-4.70358109684894e+01°)
5.01187233627271e+02	(-1.88731236851219e+00dB,-5.02977654689491e+01°)
5.62341325190348e+02	(-2.50762530606303e+00dB,-5.34899020649382e+01°)
6.30957344480192e+02	(-3.18043067012673e+00dB,-5.65748583301288e+01°)
7.07945784384136e+02	(-3.90173515843733e+00dB,-5.95214601855614e+01°)
7.94328234724279e+02	(-4.66686291272634e+00dB,-6.23058036959782e+01°)
8.91250938133743e+02	(-5.47079915926129e+00dB,-6.49115085384240e+01°)
9.99999999999997e+02	(-6.30849421843046e+00dB,-6.73292823041446e+01°)
1.12201845430196e+03	(-7.17510160767091e+00dB,-6.95560136777749e+01°)
1.25892541179416e+03	(-8.06614185974717e+00dB,-7.15936224101899e+01°)
1.41253754462275e+03	(-8.97759714490847e+00dB,-7.34478564694459e+01°)
1.58489319246111e+03	(-9.90594939802594e+00dB,-7.51271686506160e+01°)
1.77827941003892e+03	(-1.08481771701283e+01dB,-7.66417472066651e+01°)
1.99526231496887e+03	(-1.18017255422408e+01dB,-7.80027291303903e+01°)
2.23872113856833e+03	(-1.27644608434793e+01dB,-7.92215938534871e+01°)
2.51188643150957e+03	(-1.37346188453242e+01dB,-8.03097177539409e+01°)
2.81838293126444e+03	(-1.47107522755811e+01dB,-8.12780624652064e+01°)
3.16227766016837e+03	(-1.56916812203105e+01dB,-8.21369689486222e+01°)
3.54813389233574e+03	(-1.66764483152444e+01dB,-8.28960317387692e+01°)
3.98107170553496e+03	(-1.76642794963873e+01dB,-8.35640317220129e+01°)
