Freq.	V(out)
1.00000000000000e+01	(1.08661438887633e+01dB,1.74514756099983e+02°)
1.12201845430196e+01	(1.08558845275027e+01dB,1.73850305107578e+02°)
1.25892541179417e+01	(1.08430031227578e+01dB,1.73106757897473e+02°)
1.41253754462275e+01	(1.08268405335370e+01dB,1.72275262913366e+02°)
1.58489319246111e+01	(1.08065781960096e+01dB,1.71346205674346e+02°)
1.77827941003892e+01	(1.07812031142255e+01dB,1.70309236950991e+02°)
1.99526231496888e+01	(1.07494671607871e+01dB,1.69153347402107e+02°)
2.23872113856834e+01	(1.07098409176377e+01dB,1.67867007146126e+02°)
2.51188643150958e+01	(1.06604631030827e+01dB,1.66438393004956e+02°)
2.81838293126445e+01	(1.05990879005209e+01dB,1.64855729845683e+02°)
3.16227766016838e+01	(1.05230343375844e+01dB,1.63107774162082e+02°)
3.54813389233575e+01	(1.04291443078734e+01dB,1.61184465555201e+02°)
3.98107170553497e+01	(1.03137587692240e+01dB,1.59077761962077e+02°)
4.46683592150963e+01	(1.01727246826009e+01dB,1.56782653639894e+02°)
5.01187233627272e+01	(1.00014475177839e+01dB,1.54298315834866e+02°)
5.62341325190348e+01	(9.79500426177273e+00dB,1.51629310202597e+02°)
6.30957344480192e+01	(9.54832806886467e+00dB,1.48786685657464e+02°)
7.07945784384137e+01	(9.25646644133832e+00dB,1.45788774508225e+02°)
7.94328234724280e+01	(8.91489985169335e+00dB,1.42661452764933e+02°)
8.91250938133744e+01	(8.51988924403732e+00dB,1.39437661183162e+02°)
9.99999999999998e+01	(8.06880416667027e+00dB,1.36156083229005e+02°)
1.12201845430196e+02	(7.56037554143615e+00dB,1.32859039394878e+02°)
1.25892541179416e+02	(6.99482406423144e+00dB,1.29589842205680e+02°)
1.41253754462275e+02	(6.37383757500612e+00dB,1.26389998336877e+02°)
1.58489319246111e+02	(5.70040217888477e+00dB,1.23296686487536e+02°)
1.77827941003892e+02	(4.97852167680013e+00dB,1.20340864085689e+02°)
1.99526231496888e+02	(4.21287805426872e+00dB,1.17546194336155e+02°)
2.23872113856833e+02	(3.40848808757306e+00dB,1.14928800440667e+02°)
2.51188643150957e+02	(2.57040002104698e+00dB,1.12497706369258e+02°)
2.81838293126445e+02	(1.70345635621059e+00dB,1.10255745594235e+02°)
3.16227766016837e+02	(8.12130930085762e-01dB,1.08200710069312e+02°)
3.54813389233575e+02	(-9.95649370809735e-02dB,1.06326549680136e+02°)
3.98107170553496e+02	(-1.02811998619296e+00dB,1.04624490596498e+02°)
4.46683592150962e+02	(-1.97051948264675e+00dB,1.03083998574212e+02°)
5.01187233627271e+02	(-2.92421491320728e+00dB,1.01693559000841e+02°)
5.62341325190348e+02	(-3.88707862324752e+00dB,1.00441276153661e+02°)
6.30957344480192e+02	(-4.85735203113134e+00dB,9.93153113593235e+01°)
7.07945784384136e+02	(-5.83359323453230e+00dB,9.83041870347472e+01°)
7.94328234724279e+02	(-6.81462755659918e+00dB,9.73969845533161e+01°)
8.91250938133743e+02	(-7.79950292108485e+00dB,9.65834613939550e+01°)
9.99999999999997e+02	(-8.78745082177273e+00dB,9.58541090601224e+01°)
1.12201845430196e+03	(-9.77785294537084e+00dB,9.52001689885620e+01°)
1.25892541179416e+03	(-1.07702131019677e+01dB,9.46136197281312e+01°)
1.41253754462275e+03	(-1.17641339147320e+01dB,9.40871453215588e+01°)
1.58489319246111e+03	(-1.27592976475061e+01dB,9.36140921251133e+01°)
1.77827941003892e+03	(-1.37554505519278e+01dB,9.31884192056575e+01°)
1.99526231496887e+03	(-1.47523901606600e+01dB,9.28046458711215e+01°)
2.23872113856833e+03	(-1.57499550171564e+01dB,9.24577987196384e+01°)
2.51188643150957e+03	(-1.67480164021374e+01dB,9.21433597424512e+01°)
2.81838293126444e+03	(-1.77464716844987e+01dB,9.18572164082904e+01°)
3.16227766016837e+03	(-1.87452389859233e+01dB,9.15956142295158e+01°)
3.54813389233574e+03	(-1.97442529029664e+01dB,9.13551120142002e+01°)
3.98107170553496e+03	(-2.07434610760938e+01dB,9.11325398066146e+01°)
4.46683592150961e+03	(-2.17428214342560e+01dB,9.09249593837374e+01°)
5.01187233627270e+03	(-2.27422999752982e+01dB,9.07296270873003e+01°)
5.62341325190347e+03	(-2.37418689683121e+01dB,9.05439587148577e+01°)
6.30957344480190e+03	(-2.47415054852645e+01dB,9.03654961588539e+01°)
7.07945784384135e+03	(-2.57411901852747e+01dB,9.01918754622037e+01°)
