Freq.	V(out)
1.00000000000000e+01	(-5.16713401128237e+01dB,1.79935365777052e+02°)
1.12201845430196e+01	(-5.16713386895726e+01dB,1.79927479216974e+02°)
1.25892541179417e+01	(-5.16713368977424e+01dB,1.79918630354284e+02°)
1.41253754462275e+01	(-5.16713346420103e+01dB,1.79908701771651e+02°)
1.58489319246111e+01	(-5.16713318022018e+01dB,1.79897561725214e+02°)
1.77827941003892e+01	(-5.16713282272106e+01dB,1.79885062396716e+02°)
1.99526231496888e+01	(-5.16713237264088e+01dB,1.79871037932451e+02°)
2.23872113856834e+01	(-5.16713180602773e+01dB,1.79855302243062e+02°)
2.51188643150958e+01	(-5.16713109270670e+01dB,1.79837646535065e+02°)
2.81838293126445e+01	(-5.16713019469294e+01dB,1.79817836541439e+02°)
3.16227766016838e+01	(-5.16712906416373e+01dB,1.79795609414665e+02°)
3.54813389233575e+01	(-5.16712764090954e+01dB,1.79770670241206e+02°)
3.98107170553497e+01	(-5.16712584914833e+01dB,1.79742688131414e+02°)
4.46683592150963e+01	(-5.16712359346659e+01dB,1.79711291833420e+02°)
5.01187233627272e+01	(-5.16712075374461e+01dB,1.79676064813314e+02°)
5.62341325190348e+01	(-5.16711717877823e+01dB,1.79636539737130e+02°)
6.30957344480192e+01	(-5.16711267820070e+01dB,1.79592192282537e+02°)
7.07945784384137e+01	(-5.16710701237856e+01dB,1.79542434199619e+02°)
7.94328234724280e+01	(-5.16709987963652e+01dB,1.79486605530932e+02°)
8.91250938133744e+01	(-5.16709090020109e+01dB,1.79423965890655e+02°)
9.99999999999998e+01	(-5.16707959603656e+01dB,1.79353684691483e+02°)
1.12201845430196e+02	(-5.16706536535664e+01dB,1.79274830195848e+02°)
1.25892541179416e+02	(-5.16704745065034e+01dB,1.79186357254808e+02°)
1.41253754462275e+02	(-5.16702489842276e+01dB,1.79087093584289e+02°)
1.58489319246111e+02	(-5.16699650851379e+01dB,1.78975724413988e+02°)
1.77827941003892e+02	(-5.16696077037364e+01dB,1.78850775329750e+02°)
1.99526231496888e+02	(-5.16691578290697e+01dB,1.78710593116421e+02°)
2.23872113856833e+02	(-5.16685915366439e+01dB,1.78553324395859e+02°)
2.51188643150957e+02	(-5.16678787217205e+01dB,1.78376891845467e+02°)
2.81838293126445e+02	(-5.16669815071737e+01dB,1.78178967778904e+02°)
3.16227766016837e+02	(-5.16658522445548e+01dB,1.77956944875056e+02°)
3.54813389233575e+02	(-5.16644310044408e+01dB,1.77707903859526e+02°)
3.98107170553496e+02	(-5.16626424302415e+01dB,1.77428577980180e+02°)
4.46683592150962e+02	(-5.16603917955894e+01dB,1.77115314185861e+02°)
5.01187233627271e+02	(-5.16575600718466e+01dB,1.76764031025937e+02°)
5.62341325190348e+02	(-5.16539977662023e+01dB,1.76370173458252e+02°)
6.30957344480192e+02	(-5.16495172396952e+01dB,1.75928665007690e+02°)
7.07945784384136e+02	(-5.16438831558699e+01dB,1.75433858090232e+02°)
7.94328234724279e+02	(-5.16368006413521e+01dB,1.74879483855153e+02°)
8.91250938133743e+02	(-5.16279006755063e+01dB,1.74258603652863e+02°)
9.99999999999997e+02	(-5.16167221534988e+01dB,1.73563565288890e+02°)
1.12201845430196e+03	(-5.16026900167517e+01dB,1.72785968656166e+02°)
1.25892541179416e+03	(-5.15850888254001e+01dB,1.71916647248487e+02°)
1.41253754462275e+03	(-5.15630311881967e+01dB,1.70945674546698e+02°)
1.58489319246111e+03	(-5.15354206189497e+01dB,1.69862407398276e+02°)
1.77827941003892e+03	(-5.15009087177166e+01dB,1.68655582267662e+02°)
1.99526231496887e+03	(-5.14578471685552e+01dB,1.67313484439518e+02°)
2.23872113856833e+03	(-5.14042360177787e+01dB,1.65824214421912e+02°)
2.51188643150957e+03	(-5.13376711685622e+01dB,1.64176078945026e+02°)
2.81838293126444e+03	(-5.12552960894194e+01dB,1.62358134397323e+02°)
3.16227766016837e+03	(-5.11537653937660e+01dB,1.60360905706539e+02°)
3.54813389233574e+03	(-5.10292309884829e+01dB,1.58177290151532e+02°)
3.98107170553496e+03	(-5.08773643620415e+01dB,1.55803629675158e+02°)
4.46683592150961e+03	(-5.06934302218226e+01dB,1.53240894449023e+02°)
5.01187233627270e+03	(-5.04724255419496e+01dB,1.50495865948691e+02°)
5.62341325190347e+03	(-5.02092923721928e+01dB,1.47582147937470e+02°)
6.30957344480190e+03	(-4.98992012737164e+01dB,1.44520786297012e+02°)
7.07945784384135e+03	(-4.95378855231868e+01dB,1.41340269271656e+02°)
7.94328234724278e+03	(-4.91219876599300e+01dB,1.38075733475138e+02°)
8.91250938133741e+03	(-4.86493657735233e+01dB,1.34767327382824e+02°)
9.99999999999995e+03	(-4.81193042615992e+01dB,1.31457862031911e+02°)
1.12201845430196e+04	(-4.75325868539910e+01dB,1.28190055398252e+02°)
1.25892541179416e+04	(-4.68914165467941e+01dB,1.25003786521603e+02°)
1.41253754462275e+04	(-4.61991992506305e+01dB,1.21933772650852e+02°)
1.58489319246111e+04	(-4.54602343079200e+01dB,1.19007968638085e+02°)
1.77827941003891e+04	(-4.46793673607460e+01dB,1.16246809534935e+02°)
1.99526231496887e+04	(-4.38616577104092e+01dB,1.13663240753262e+02°)
2.23872113856833e+04	(-4.30120977697040e+01dB,1.11263356962671e+02°)
2.51188643150957e+04	(-4.21354036030434e+01dB,1.09047420424408e+02°)
2.81838293126444e+04	(-4.12358790186651e+01dB,1.07011041206426e+02°)
3.16227766016836e+04	(-4.03173444654490e+01dB,1.05146350270013e+02°)
3.54813389233573e+04	(-3.93831165220199e+01dB,1.03443056329464e+02°)
3.98107170553495e+04	(-3.84360227831590e+01dB,1.01889331345066e+02°)
4.46683592150960e+04	(-3.74784386752873e+01dB,1.00472509594283e+02°)
5.01187233627269e+04	(-3.65123356252484e+01dB,9.91796105061064e+01°)
5.62341325190346e+04	(-3.55393330369802e+01dB,9.79977084487210e+01°)
6.30957344480189e+04	(-3.45607491560589e+01dB,9.69141771350779e+01°)
7.07945784384133e+04	(-3.35776479293878e+01dB,9.59168356424479e+01°)
