Freq.	V(out)
1.00000000000000e+01	(-5.59359296145963e+01dB,1.05095117493259e-01°)
1.12201845430196e+01	(-5.59359258189451e+01dB,1.17918626875821e-01°)
1.25892541179417e+01	(-5.59359210405199e+01dB,1.32306826857366e-01°)
1.41253754462275e+01	(-5.59359150247776e+01dB,1.48450632709040e-01°)
1.58489319246111e+01	(-5.59359074515329e+01dB,1.66564252476926e-01°)
1.77827941003892e+01	(-5.59358979173163e+01dB,1.86888028123167e-01°)
1.99526231496888e+01	(-5.59358859144661e+01dB,2.09691622948942e-01°)
2.23872113856834e+01	(-5.59358708037508e+01dB,2.35277597343786e-01°)
2.51188643150958e+01	(-5.59358517807174e+01dB,2.63985420038992e-01°)
2.81838293126445e+01	(-5.59358278321716e+01dB,2.96195967620061e-01°)
3.16227766016838e+01	(-5.59357976830331e+01dB,3.32336571469773e-01°)
3.54813389233575e+01	(-5.59357597276687e+01dB,3.72886678169326e-01°)
3.98107170553497e+01	(-5.59357119452110e+01dB,4.18384197365149e-01°)
4.46683592150963e+01	(-5.59356517914067e+01dB,4.69432619529417e-01°)
5.01187233627272e+01	(-5.59355760635649e+01dB,5.26708995747283e-01°)
5.62341325190348e+01	(-5.59354807296161e+01dB,5.90972881941363e-01°)
6.30957344480192e+01	(-5.59353607142529e+01dB,6.63076361539799e-01°)
7.07945784384137e+01	(-5.59352096285892e+01dB,7.43975272692737e-01°)
7.94328234724280e+01	(-5.59350194304240e+01dB,8.34741779538463e-01°)
8.91250938133744e+01	(-5.59347799970358e+01dB,9.36578440863336e-01°)
9.99999999999998e+01	(-5.59344785869915e+01dB,1.05083394371595e+00°)
1.12201845430196e+02	(-5.59340991640413e+01dB,1.17902068403369e+00°)
1.25892541179416e+02	(-5.59336215459364e+01dB,1.32283438951759e+00°)
1.41253754462275e+02	(-5.59330203350317e+01dB,1.48417599186350e+00°)
1.58489319246111e+02	(-5.59322635736546e+01dB,1.66517596311478e+00°)
1.77827941003892e+02	(-5.59313110550589e+01dB,1.86822133299126e+00°)
1.99526231496888e+02	(-5.59301122020802e+01dB,2.09598559608042e+00°)
2.23872113856833e+02	(-5.59286034060585e+01dB,2.35146169563301e+00°)
2.51188643150957e+02	(-5.59267046894629e+01dB,2.63799822558915e+00°)
2.81838293126445e+02	(-5.59243155266088e+01dB,2.95933891633815e+00°)
3.16227766016837e+02	(-5.59213096163956e+01dB,3.31966534616730e+00°)
3.54813389233575e+02	(-5.59175283556432e+01dB,3.72364263125048e+00°)
3.98107170553496e+02	(-5.59127727067769e+01dB,4.17646756436049e+00°)
4.46683592150962e+02	(-5.59067930948300e+01dB,4.68391826236168e+00°)
5.01187233627271e+02	(-5.58992768970634e+01dB,5.25240379274001e+00°)
5.62341325190348e+02	(-5.58898330235756e+01dB,5.88901142520093e+00°)
6.30957344480192e+02	(-5.58779730175669e+01dB,6.60154801038737e+00°)
7.07945784384136e+02	(-5.58630880603832e+01dB,7.39857044119062e+00°)
7.94328234724279e+02	(-5.58444212603933e+01dB,8.28939810031325e+00°)
