Freq.	V(out)
1.00000000000000e+01	(6.25075576046918e+01dB,1.79764228937835e+02°)
1.12201845430196e+01	(6.25075385950826e+01dB,1.79735460622041e+02°)
1.25892541179417e+01	(6.25075146635206e+01dB,1.79703182230461e+02°)
1.41253754462275e+01	(6.25074845356569e+01dB,1.79666965531379e+02°)
1.58489319246111e+01	(6.25074466072211e+01dB,1.79626330068344e+02°)
1.77827941003892e+01	(6.25073988586198e+01dB,1.79580736798913e+02°)
1.99526231496888e+01	(6.25073387474390e+01dB,1.79529580961815e+02°)
2.23872113856834e+01	(6.25072630731289e+01dB,1.79472184080292e+02°)
2.51188643150958e+01	(6.25071678066920e+01dB,1.79407784998878e+02°)
2.81838293126445e+01	(6.25070478763247e+01dB,1.79335529839491e+02°)
3.16227766016838e+01	(6.25068968976469e+01dB,1.79254460750293e+02°)
3.54813389233575e+01	(6.25067068342158e+01dB,1.79163503307581e+02°)
3.98107170553497e+01	(6.25064675703590e+01dB,1.79061452417003e+02°)
4.46683592150963e+01	(6.25061663737513e+01dB,1.78946956546018e+02°)
5.01187233627272e+01	(6.25057872193877e+01dB,1.78818500105223e+02°)
5.62341325190348e+01	(6.25053099393865e+01dB,1.78674383782582e+02°)
6.30957344480192e+01	(6.25047091540370e+01dB,1.78512702623002e+02°)
7.07945784384137e+01	(6.25039529282494e+01dB,1.78331321637637e+02°)
7.94328234724280e+01	(6.25030010835866e+01dB,1.78127848725313e+02°)
8.91250938133744e+01	(6.25018030787089e+01dB,1.77899604696105e+02°)
9.99999999999998e+01	(6.25002953496715e+01dB,1.77643590209439e+02°)
1.12201845430196e+02	(6.24983979752446e+01dB,1.77356449483381e+02°)
1.25892541179416e+02	(6.24960105004316e+01dB,1.77034430708297e+02°)
1.41253754462275e+02	(6.24930067127454e+01dB,1.76673343220873e+02°)
1.58489319246111e+02	(6.24892281198032e+01dB,1.76268511683381e+02°)
1.77827941003892e+02	(6.24844758229931e+01dB,1.75814727794735e+02°)
1.99526231496888e+02	(6.24785004205494e+01dB,1.75306200470460e+02°)
2.23872113856833e+02	(6.24709895059233e+01dB,1.74736506015824e+02°)
2.51188643150957e+02	(6.24615522575042e+01dB,1.74098540641713e+02°)
2.81838293126445e+02	(6.24497005509031e+01dB,1.73384478812981e+02°)
3.16227766016837e+02	(6.24348259780880e+01dB,1.72585742465255e+02°)
3.54813389233575e+02	(6.24161721503144e+01dB,1.71692988177477e+02°)
3.98107170553496e+02	(6.23928017278605e+01dB,1.70696122035869e+02°)
4.46683592150962e+02	(6.23635578101525e+01dB,1.69584355222389e+02°)
5.01187233627271e+02	(6.23270197070986e+01dB,1.68346317260159e+02°)
5.62341325190348e+02	(6.22814537926746e+01dB,1.66970248105069e+02°)
6.30957344480192e+02	(6.22247612308820e+01dB,1.65444294295029e+02°)
7.07945784384136e+02	(6.21544259804606e+01dB,1.63756937017715e+02°)
7.94328234724279e+02	(6.20674687067853e+01dB,1.61897579330314e+02°)
8.91250938133743e+02	(6.19604150169206e+01dB,1.59857313052150e+02°)
9.99999999999997e+02	(6.18292895044386e+01dB,1.57629869483561e+02°)
1.12201845430196e+03	(6.16696497669414e+01dB,1.55212728505869e+02°)
1.25892541179416e+03	(6.14766756489431e+01dB,1.52608315942616e+02°)
1.41253754462275e+03	(6.12453268060927e+01dB,1.49825162043817e+02°)
1.58489319246111e+03	(6.09705745610694e+01dB,1.46878835196960e+02°)
1.77827941003892e+03	(6.06477010394494e+01dB,1.43792424658135e+02°)
1.99526231496887e+03	(6.02726409252485e+01dB,1.40596350890781e+02°)
2.23872113856833e+03	(5.98423230532347e+01dB,1.37327354655402e+02°)
2.51188643150957e+03	(5.93549572017859e+01dB,1.34026659028309e+02°)
2.81838293126444e+03	(5.88102126232783e+01dB,1.30737482292071e+02°)
3.16227766016837e+03	(5.82092519363741e+01dB,1.27502245202456e+02°)
3.54813389233574e+03	(5.75546132230898e+01dB,1.24359899621663e+02°)
3.98107170553496e+03	(5.68499648847243e+01dB,1.21343771910959e+02°)
4.46683592150961e+03	(5.60997811111591e+01dB,1.18480178081648e+02°)
5.01187233627270e+03	(5.53089939921504e+01dB,1.15787883622110e+02°)
5.62341325190347e+03	(5.44826714762476e+01dB,1.13278314267552e+02°)
6.30957344480190e+03	(5.36257541027994e+01dB,1.10956319023559e+02°)
7.07945784384135e+03	(5.27428648754940e+01dB,1.08821254172256e+02°)
7.94328234724278e+03	(5.18381912997668e+01dB,1.06868180845347e+02°)
8.91250938133741e+03	(5.09154289225580e+01dB,1.05089022410789e+02°)
9.99999999999995e+03	(4.99777715610779e+01dB,1.03473587568845e+02°)
1.12201845430196e+04	(4.90279332925472e+01dB,1.02010415879207e+02°)
1.25892541179416e+04	(4.80681894341904e+01dB,1.00687438627653e+02°)
1.41253754462275e+04	(4.71004267519098e+01dB,9.94924697270195e+01°)
1.58489319246111e+04	(4.61261961021912e+01dB,9.84135518306062e+01°)
1.77827941003891e+04	(4.51467631978318e+01dB,9.74391857320971e+01°)
1.99526231496887e+04	(4.41631550650170e+01dB,9.65584696227172e+01°)
2.23872113856833e+04	(4.31762010657406e+01dB,9.57611711685021e+01°)
2.51188643150957e+04	(4.21865682034373e+01dB,9.50377511075272e+01°)
2.81838293126444e+04	(4.11947909312559e+01dB,9.43793529537429e+01°)
3.16227766016836e+04	(4.02012959475106e+01dB,9.37777698063087e+01°)
3.54813389233573e+04	(3.92064225742108e+01dB,9.32253963199410e+01°)
3.98107170553495e+04	(3.82104393319036e+01dB,9.27151715750178e+01°)
4.46683592150960e+04	(3.72135572881023e+01dB,9.22405168164721e+01°)
5.01187233627269e+04	(3.62159406936257e+01dB,9.17952707093604e+01°)
5.62341325190346e+04	(3.52177153474032e+01dB,9.13736237909156e+01°)
6.30957344480189e+04	(3.42189750549635e+01dB,9.09700531010601e+01°)
7.07945784384133e+04	(3.32197864737120e+01dB,9.05792574784136e+01°)
7.94328234724276e+04	(3.22201925711689e+01dB,9.01960936645457e+01°)
8.91250938133740e+04	(3.12202148608660e+01dB,8.98155131265748e+01°)
9.99999999999993e+04	(3.02198545238199e+01dB,8.94324993593969e+01°)
1.12201845430196e+05	(2.92190924701380e+01dB,8.90420053452878e+01°)
1.25892541179416e+05	(2.82178883437630e+01dB,8.86388908196681e+01°)
1.41253754462274e+05	(2.72161784219128e+01dB,8.82178590137280e+01°)
1.58489319246110e+05	(2.62138723077114e+01dB,8.77733926203189e+01°)
1.77827941003891e+05	(2.52108482582024e+01dB,8.72996888688299e+01°)
1.99526231496886e+05	(2.42069469290679e+01dB,8.67905938152546e+01°)
2.23872113856832e+05	(2.32019632510970e+01dB,8.62395362819300e+01°)
2.51188643150956e+05	(2.21956360818887e+01dB,8.56394623550739e+01°)
2.81838293126443e+05	(2.11876352011383e+01dB,8.49827720178357e+01°)
3.16227766016835e+05	(2.01775451435428e+01dB,8.42612604275975e+01°)
3.54813389233573e+05	(1.91648452984796e+01dB,8.34660676197837e+01°)
3.98107170553494e+05	(1.81488856653776e+01dB,8.25876421307746e+01°)
4.46683592150960e+05	(1.71288576630326e+01dB,8.16157262786218e+01°)
5.01187233627268e+05	(1.61037594888110e+01dB,8.05393737055972e+01°)
5.62341325190344e+05	(1.50723557670269e+01dB,7.93470132992837e+01°)
6.30957344480188e+05	(1.40331316946272e+01dB,7.80265776712094e+01°)
7.07945784384132e+05	(1.29842426900797e+01dB,7.65657186462379e+01°)
7.94328234724275e+05	(1.19234617975345e+01dB,7.49521359578572e+01°)
8.91250938133738e+05	(1.08481289045217e+01dB,7.31740471917635e+01°)
9.99999999999991e+05	(9.75510824855010e+00dB,7.12208247841135e+01°)
1.12201845430195e+06	(8.64076361329998e+00dB,6.90838164700948e+01°)
1.25892541179416e+06	(7.50096365559383e+00dB,6.67573452985051e+01°)
1.41253754462274e+06	(6.33113212520951e+00dB,6.42398509156702e+01°)
1.58489319246110e+06	(5.12635797941225e+00dB,6.15350845513876e+01°)
1.77827941003891e+06	(3.88157680592460e+00dB,5.86532109422383e+01°)
1.99526231496886e+06	(2.59182597728548e+00dB,5.56116149720716e+01°)
2.23872113856832e+06	(1.25256120875977e+00dB,5.24351820363486e+01°)
2.51188643150956e+06	(-1.39996217162068e-01dB,4.91558459209246e+01°)
2.81838293126443e+06	(-1.58852920520306e+00dB,4.58112943748843e+01°)
3.16227766016835e+06	(-3.09436751034614e+00dB,4.24428836430134e+01°)
3.54813389233572e+06	(-4.65735295790055e+00dB,3.90929984478373e+01°)
3.98107170553494e+06	(-6.27585511446156e+00dB,3.58022392416716e+01°)
4.46683592150959e+06	(-7.94693404794727e+00dB,3.26068658852896e+01°)
5.01187233627268e+06	(-9.66661672699008e+00dB,2.95368561692007e+01°)
5.62341325190344e+06	(-1.14302347664275e+01dB,2.66147785785401e+01°)
6.30957344480187e+06	(-1.32327682213557e+01dB,2.38554936183277e+01°)
7.07945784384131e+06	(-1.50691507664535e+01dB,2.12665479833319e+01°)
7.94328234724274e+06	(-1.69345093596124e+01dB,1.88490446225460e+01°)
8.91250938133737e+06	(-1.88243294626301e+01dB,1.65987599459808e+01°)
9.99999999999990e+06	(-2.07345505243430e+01dB,1.45073158645073e+01°)
1.12201845430195e+07	(-2.26616042131522e+01dB,1.25632721673946e+01°)
1.25892541179415e+07	(-2.46024105264029e+01dB,1.07530626971986e+01°)
1.41253754462274e+07	(-2.65543460836794e+01dB,9.06174518462384e+00°)
1.58489319246110e+07	(-2.85151963254421e+01dB,7.47356597468332e+00°)
1.77827941003890e+07	(-3.04831002428820e+01dB,5.97235869609212e+00°)
1.99526231496886e+07	(-3.24564933898091e+01dB,4.54180369873913e+00°)
2.23872113856832e+07	(-3.44340525952700e+01dB,3.16557645537212e+00°)
2.51188643150955e+07	(-3.64146440650801e+01dB,1.82741103553288e+00°)
2.81838293126442e+07	(-3.83972753646901e+01dB,5.11101256701427e-01°)
3.16227766016834e+07	(-4.03810509990504e+01dB,-7.99541531660438e-01°)
