Freq.	V(out)
1.00000000000000e+01	(5.84405145036441e+01dB,1.79856470428853e+02°)
1.12201845430196e+01	(5.84405074542261e+01dB,1.79838957083665e+02°)
1.25892541179417e+01	(5.84404985795507e+01dB,1.79819306842221e+02°)
1.41253754462275e+01	(5.84404874070224e+01dB,1.79797258976482e+02°)
1.58489319246111e+01	(5.84404733416832e+01dB,1.79772520951121e+02°)
1.77827941003892e+01	(5.84404556345352e+01dB,1.79744764544938e+02°)
1.99526231496888e+01	(5.84404333426592e+01dB,1.79713621500069e+02°)
2.23872113856834e+01	(5.84404052790129e+01dB,1.79678678641787e+02°)
2.51188643150958e+01	(5.84403699492330e+01dB,1.79639472404902e+02°)
2.81838293126445e+01	(5.84403254720835e+01dB,1.79595482695226e+02°)
3.16227766016838e+01	(5.84402694793181e+01dB,1.79546126006148e+02°)
3.54813389233575e+01	(5.84401989896293e+01dB,1.79490747701176e+02°)
3.98107170553497e+01	(5.84401102499955e+01dB,1.79428613363043e+02°)
4.46683592150963e+01	(5.84399985359937e+01dB,1.79358899098933e+02°)
5.01187233627272e+01	(5.84398579004835e+01dB,1.79280680679217e+02°)
5.62341325190348e+01	(5.84396808573413e+01dB,1.79192921374190e+02°)
6.30957344480192e+01	(5.84394579834928e+01dB,1.79094458339501e+02°)
7.07945784384137e+01	(5.84391774182036e+01dB,1.78983987386713e+02°)
7.94328234724280e+01	(5.84388242332018e+01dB,1.78860045961050e+02°)
8.91250938133744e+01	(5.84383796404641e+01dB,1.78720994134475e+02°)
9.99999999999998e+01	(5.84378199960770e+01dB,1.78564993409916e+02°)
1.12201845430196e+02	(5.84371155480659e+01dB,1.78389983123081e+02°)
1.25892541179416e+02	(5.84362288630066e+01dB,1.78193654224145e+02°)
1.41253754462275e+02	(5.84351128500023e+01dB,1.77973420225799e+02°)
1.58489319246111e+02	(5.84337082805288e+01dB,1.77726385121311e+02°)
1.77827941003892e+02	(5.84319406779935e+01dB,1.77449308112904e+02°)
1.99526231496888e+02	(5.84297164207107e+01dB,1.77138565055972e+02°)
2.23872113856833e+02	(5.84269178655081e+01dB,1.76790106631489e+02°)
2.51188643150957e+02	(5.84233972555305e+01dB,1.76399413424975e+02°)
2.81838293126445e+02	(5.84189691244151e+01dB,1.75961448340104e+02°)
3.16227766016837e+02	(5.84134008498623e+01dB,1.75470607141446e+02°)
3.54813389233575e+02	(5.84064009437537e+01dB,1.74920668447645e+02°)
3.98107170553496e+02	(5.83976045963064e+01dB,1.74304745240842e+02°)
4.46683592150962e+02	(5.83865559242815e+01dB,1.73615240992177e+02°)
5.01187233627271e+02	(5.83726863190101e+01dB,1.72843814913948e+02°)
5.62341325190348e+02	(5.83552882674579e+01dB,1.71981362734053e+02°)
6.30957344480192e+02	(5.83334840584874e+01dB,1.71018021844513e+02°)
7.07945784384136e+02	(5.83061889319817e+01dB,1.69943212772126e+02°)
7.94328234724279e+02	(5.82720685460083e+01dB,1.68745732647692e+02°)
8.91250938133743e+02	(5.82294912154579e+01dB,1.67413920540310e+02°)
9.99999999999997e+02	(5.81764763255961e+01dB,1.65935918709522e+02°)
1.12201845430196e+03	(5.81106417663308e+01dB,1.64300057064057e+02°)
1.25892541179416e+03	(5.80291552650498e+01dB,1.62495388755265e+02°)
1.41253754462275e+03	(5.79286971251015e+01dB,1.60512400349566e+02°)
1.58489319246111e+03	(5.78054449111590e+01dB,1.58343907037773e+02°)
1.77827941003892e+03	(5.76550935224778e+01dB,1.55986118142975e+02°)
1.99526231496887e+03	(5.74729258329543e+01dB,1.53439818148835e+02°)
2.23872113856833e+03	(5.72539481146557e+01dB,1.50711554551967e+02°)
2.51188643150957e+03	(5.69930990238456e+01dB,1.47814663910740e+02°)
2.81838293126444e+03	(5.66855297464272e+01dB,1.44769918790549e+02°)
3.16227766016837e+03	(5.63269363903977e+01dB,1.41605566308888e+02°)
3.54813389233574e+03	(5.59139071057637e+01dB,1.38356579107280e+02°)
3.98107170553496e+03	(5.54442318354127e+01dB,1.35063062423841e+02°)
4.46683592150961e+03	(5.49171191931553e+01dB,1.31767937373804e+02°)
5.01187233627270e+03	(5.43332772162397e+01dB,1.28514198961536e+02°)
5.62341325190347e+03	(5.36948410369505e+01dB,1.25342161828064e+02°)
6.30957344480190e+03	(5.30051626804963e+01dB,1.22287110117010e+02°)
7.07945784384135e+03	(5.22685050896693e+01dB,1.19377658678575e+02°)
7.94328234724278e+03	(5.14896956247019e+01dB,1.16634956266277e+02°)
8.91250938133741e+03	(5.06737916827773e+01dB,1.14072683213027e+02°)
9.99999999999995e+03	(4.98257969479037e+01dB,1.11697669389422e+02°)
1.12201845430196e+04	(4.89504482163559e+01dB,1.09510904105292e+02°)
1.25892541179416e+04	(4.80520760008389e+01dB,1.07508718739273e+02°)
1.41253754462275e+04	(4.71345306027656e+01dB,1.05683970219468e+02°)
1.58489319246111e+04	(4.62011596061148e+01dB,1.04027113324693e+02°)
1.77827941003891e+04	(4.52548215797484e+01dB,1.02527104316350e+02°)
1.99526231496887e+04	(4.42979224064264e+01dB,1.01172119299905e+02°)
2.23872113856833e+04	(4.33324635234743e+01dB,9.99500966899834e+01°)
2.51188643150957e+04	(4.23600944048338e+01dB,9.88491267237648e+01°)
2.81838293126444e+04	(4.13821642735648e+01dB,9.78577158273714e+01°)
3.16227766016836e+04	(4.03997701002419e+01dB,9.69649532076159e+01°)
3.54813389233573e+04	(3.94137994157369e+01dB,9.61606038947040e+01°)
3.98107170553495e+04	(3.84249674409337e+01dB,9.54351482921925e+01°)
4.46683592150960e+04	(3.74338486314862e+01dB,9.47797840783916e+01°)
5.01187233627269e+04	(3.64409030647093e+01dB,9.41864025354788e+01°)
5.62341325190346e+04	(3.54464982482263e+01dB,9.36475482417841e+01°)
6.30957344480189e+04	(3.44509269726433e+01dB,9.31563685633717e+01°)
7.07945784384133e+04	(3.34544218094305e+01dB,9.27065574568177e+01°)
7.94328234724276e+04	(3.24571668007289e+01dB,9.22922966499236e+01°)
8.91250938133740e+04	(3.14593068189902e+01dB,9.19081962028584e+01°)
9.99999999999993e+04	(3.04609550024114e+01dB,9.15492356811221e+01°)
1.12201845430196e+05	(2.94621986031902e+01dB,9.12107066209124e+01°)
1.25892541179416e+05	(2.84631035225916e+01dB,9.08881565792207e+01°)
1.41253754462274e+05	(2.74637177506380e+01dB,9.05773347909495e+01°)
1.58489319246110e+05	(2.64640738787122e+01dB,9.02741392704554e+01°)
1.77827941003891e+05	(2.54641908096773e+01dB,8.99745650710003e+01°)
1.99526231496886e+05	(2.44640747511250e+01dB,8.96746533355434e+01°)
2.23872113856832e+05	(2.34637195417711e+01dB,8.93704407245484e+01°)
2.51188643150956e+05	(2.24631063275057e+01dB,8.90579087838807e+01°)
2.81838293126443e+05	(2.14622025706796e+01dB,8.87329328150227e+01°)
3.16227766016835e+05	(2.04609603428072e+01dB,8.83912298307306e+01°)
3.54813389233573e+05	(1.94593138151568e+01dB,8.80283052252495e+01°)
3.98107170553494e+05	(1.84571758227988e+01dB,8.76393978664082e+01°)
4.46683592150960e+05	(1.74544333339922e+01dB,8.72194234388566e+01°)
5.01187233627268e+05	(1.64509416072940e+01dB,8.67629160504485e+01°)
5.62341325190344e+05	(1.54465167626206e+01dB,8.62639683814090e+01°)
6.30957344480188e+05	(1.44409264294830e+01dB,8.57161710415116e+01°)
7.07945784384132e+05	(1.34338780666969e+01dB,8.51125523482427e+01°)
7.94328234724275e+05	(1.24250044759221e+01dB,8.44455205065247e+01°)
8.91250938133738e+05	(1.14138459625674e+01dB,8.37068112307657e+01°)
9.99999999999991e+05	(1.03998285429780e+01dB,8.28874452904648e+01°)
1.12201845430195e+06	(9.38223757568071e+00dB,8.19777023794585e+01°)
1.25892541179416e+06	(8.36018623666511e+00dB,8.09671202021297e+01°)
1.41253754462274e+06	(7.33257841076183e+00dB,7.98445308040943e+01°)
1.58489319246110e+06	(6.29806589932660e+00dB,7.85981499359928e+01°)
1.77827941003891e+06	(5.25500043874013e+00dB,7.72157394449782e+01°)
1.99526231496886e+06	(4.20138199678499e+00dB,7.56848668536459e+01°)
2.23872113856832e+06	(3.13480628464811e+00dB,7.39932894330126e+01°)
2.51188643150956e+06	(2.05241648671819e+00dB,7.21294905158213e+01°)
2.81838293126443e+06	(9.50866867216528e-01dB,7.00833909543036e+01°)
3.16227766016835e+06	(-1.73691042757378e-01dB,6.78472450868884e+01°)
3.54813389233572e+06	(-1.32558610553561e+00dB,6.54167046461836e+01°)
3.98107170553494e+06	(-2.50955387348399e+00dB,6.27919931978311e+01°)
4.46683592150959e+06	(-3.73059746364969e+00dB,5.99790791884041e+01°)
5.01187233627268e+06	(-4.99377466802939e+00dB,5.69906758135635e+01°)
5.62341325190344e+06	(-6.30391444861943e+00dB,5.38468484730130e+01°)
6.30957344480187e+06	(-7.66528269331023e+00dB,5.05750012441281e+01°)
7.07945784384131e+06	(-9.08123567762553e+00dB,4.72090676604911e+01°)
7.94328234724274e+06	(-1.05539138415124e+01dB,4.37878574918519e+01°)
8.91250938133737e+06	(-1.20840311490766e+01dB,4.03526892600584e+01°)
9.99999999999990e+06	(-1.36708022108720e+01dB,3.69446149017757e+01°)
1.12201845430195e+07	(-1.53120224946488e+01dB,3.36016524938907e+01°)
1.25892541179415e+07	(-1.70042847868125e+01dB,3.03564400134449e+01°)
1.41253754462274e+07	(-1.87432887288495e+01dB,2.72346089598586e+01°)
1.58489319246110e+07	(-2.05241879418526e+01dB,2.42539983582668e+01°)
1.77827941003890e+07	(-2.23419226063534e+01dB,2.14246531063833e+01°)
1.99526231496886e+07	(-2.41914999127337e+01dB,1.87494275341142e+01°)
2.23872113856832e+07	(-2.60682034025093e+01dB,1.62249646871263e+01°)
2.51188643150955e+07	(-2.79677287459232e+01dB,1.38428337179463e+01°)
2.81838293126442e+07	(-2.98862547048248e+01dB,1.15906564658197e+01°)
3.16227766016834e+07	(-3.18204634861734e+01dB,9.45311441306263e+00°)
3.54813389233572e+07	(-3.37675256644319e+01dB,7.41278144100897e+00°)
3.98107170553493e+07	(-3.57250631155290e+01dB,5.45076831471599e+00°)
4.46683592150958e+07	(-3.76911004993116e+01dB,3.54719067042557e+00°)
5.01187233627267e+07	(-3.96640127785955e+01dB,1.68148615962725e+00°)
5.62341325190343e+07	(-4.16424736097422e+01dB,-1.67387883186942e-01°)
6.30957344480186e+07	(-4.36254073693776e+01dB,-2.02084383650041e+00°)
7.07945784384130e+07	(-4.56119460817189e+01dB,-3.90060878945528e+00°)
7.94328234724272e+07	(-4.76013914724005e+01dB,-5.82869481497872e+00°)
8.91250938133735e+07	(-4.95931816639419e+01dB,-7.82736440156615e+00°)
9.99999999999989e+07	(-5.15868615143054e+01dB,-9.91905961883771e+00°)
1.12201845430195e+08	(-5.35820551712823e+01dB,-1.21262605871044e+01°)
1.25892541179415e+08	(-5.55784389814503e+01dB,-1.44712343545533e+01°)
1.41253754462274e+08	(-5.75757123878147e+01dB,-1.69756301371864e+01°)
1.58489319246109e+08	(-5.95735638478553e+01dB,-1.96598726319112e+01°)
1.77827941003890e+08	(-6.15716281366804e+01dB,-2.25423045248852e+01°)
1.99526231496886e+08	(-6.35694308074308e+01dB,-2.56380366595975e+01°)
2.23872113856831e+08	(-6.55663153600805e+01dB,-2.89574854949190e+01°)
2.51188643150955e+08	(-6.75613493311440e+01dB,-3.25046193576501e+01°)
2.81838293126442e+08	(-6.95532077737959e+01dB,-3.62750034470620e+01°)
3.16227766016834e+08	(-7.15400372182832e+01dB,-4.02538294451171e+01°)
3.54813389233571e+08	(-7.35193106154990e+01dB,-4.44142289493614e+01°)
3.98107170553492e+08	(-7.54876934256524e+01dB,-4.87162742134565e+01°)
4.46683592150958e+08	(-7.74409507497753e+01dB,-5.31071205350077e+01°)
5.01187233627266e+08	(-7.93739313234731e+01dB,-5.75226893558602e+01°)
5.62341325190342e+08	(-8.12806617973492e+01dB,-6.18910915458250e+01°)
6.30957344480185e+08	(-8.31545712581629e+01dB,-6.61376530497496e+01°)
7.07945784384129e+08	(-8.49888427868196e+01dB,-7.01910014543908e+01°)
7.94328234724271e+08	(-8.67768619428929e+01dB,-7.39893273295080e+01°)
8.91250938133734e+08	(-8.85127093380824e+01dB,-7.74857806797584e+01°)
1.00000000000000e+09	(-9.01916319567144e+01dB,-8.06520779174360e+01°)
