Freq.	V(out)
1.00000000000000e+01	(-5.13998890893433e+01dB,1.79937328295630e+02°)
1.12201845430196e+01	(-5.13998877514273e+01dB,1.79929681198335e+02°)
1.25892541179417e+01	(-5.13998860670541e+01dB,1.79921101017020e+02°)
1.41253754462275e+01	(-5.13998839465738e+01dB,1.79911473899438e+02°)
1.58489319246111e+01	(-5.13998812771124e+01dB,1.79900672101776e+02°)
1.77827941003892e+01	(-5.13998779163969e+01dB,1.79888552293832e+02°)
1.99526231496888e+01	(-5.13998736855673e+01dB,1.79874953657482e+02°)
2.23872113856834e+01	(-5.13998683592291e+01dB,1.79859695753249e+02°)
2.51188643150958e+01	(-5.13998616537462e+01dB,1.79842576126722e+02°)
2.81838293126445e+01	(-5.13998532121191e+01dB,1.79823367623158e+02°)
3.16227766016838e+01	(-5.13998425846791e+01dB,1.79801815374760e+02°)
3.54813389233575e+01	(-5.13998292056112e+01dB,1.79777633420826e+02°)
3.98107170553497e+01	(-5.13998123623855e+01dB,1.79750500916187e+02°)
4.46683592150963e+01	(-5.13997911581914e+01dB,1.79720057877956e+02°)
5.01187233627272e+01	(-5.13997644638272e+01dB,1.79685900414678e+02°)
5.62341325190348e+01	(-5.13997308577989e+01dB,1.79647575375266e+02°)
6.30957344480192e+01	(-5.13996885506952e+01dB,1.79604574347730e+02°)
7.07945784384137e+01	(-5.13996352898110e+01dB,1.79556326929483e+02°)
7.94328234724280e+01	(-5.13995682392883e+01dB,1.79502193181923e+02°)
8.91250938133744e+01	(-5.13994838291081e+01dB,1.79441455172005e+02°)
9.99999999999998e+01	(-5.13993775653147e+01dB,1.79373307492534e+02°)
1.12201845430196e+02	(-5.13992437909345e+01dB,1.79296846641047e+02°)
1.25892541179416e+02	(-5.13990753846601e+01dB,1.79211059124341e+02°)
1.41253754462275e+02	(-5.13988633830689e+01dB,1.79114808141900e+02°)
1.58489319246111e+02	(-5.13985965036225e+01dB,1.79006818687595e+02°)
1.77827941003892e+02	(-5.13982605455970e+01dB,1.78885660894166e+02°)
1.99526231496888e+02	(-5.13978376364908e+01dB,1.78749731431132e+02°)
2.23872113856833e+02	(-5.13973052839018e+01dB,1.78597232753910e+02°)
2.51188643150957e+02	(-5.13966351845624e+01dB,1.78426149991450e+02°)
2.81838293126445e+02	(-5.13957917265265e+01dB,1.78234225254502e+02°)
3.16227766016837e+02	(-5.13947301085380e+01dB,1.78018929148193e+02°)
3.54813389233575e+02	(-5.13933939795578e+01dB,1.77777429286487e+02°)
3.98107170553496e+02	(-5.13917124771575e+01dB,1.77506555637974e+02°)
4.46683592150962e+02	(-5.13895965163309e+01dB,1.77202762590010e+02°)
5.01187233627271e+02	(-5.13869341444843e+01dB,1.76862087714758e+02°)
5.62341325190348e+02	(-5.13835847359533e+01dB,1.76480107371792e+02°)
6.30957344480192e+02	(-5.13793717500261e+01dB,1.76051889511005e+02°)
7.07945784384136e+02	(-5.13740737195191e+01dB,1.75571944376589e+02°)
7.94328234724279e+02	(-5.13674130710787e+01dB,1.75034174300949e+02°)
8.91250938133743e+02	(-5.13590423102454e+01dB,1.74431824468214e+02°)
9.99999999999997e+02	(-5.13485270357817e+01dB,1.73757437490979e+02°)
1.12201845430196e+03	(-5.13353251880758e+01dB,1.73002815964712e+02°)
1.25892541179416e+03	(-5.13187619060715e+01dB,1.72158998937435e+02°)
1.41253754462275e+03	(-5.12979993894630e+01dB,1.71216260555728e+02°)
1.58489319246111e+03	(-5.12720012796731e+01dB,1.70164142103105e+02°)
1.77827941003892e+03	(-5.12394913474788e+01dB,1.68991532243355e+02°)
1.99526231496887e+03	(-5.11989067869586e+01dB,1.67686814398752e+02°)
2.23872113856833e+03	(-5.11483472760707e+01dB,1.66238104438024e+02°)
2.51188643150957e+03	(-5.10855222869620e+01dB,1.64633605406858e+02°)
2.81838293126444e+03	(-5.10077010313338e+01dB,1.62862107414534e+02°)
3.16227766016837e+03	(-5.09116719300627e+01dB,1.60913657684287e+02°)
3.54813389233574e+03	(-5.07937214752016e+01dB,1.58780414951831e+02°)
3.98107170553496e+03	(-5.06496453508528e+01dB,1.56457680143025e+02°)
4.46683592150961e+03	(-5.04748067827510e+01dB,1.53945058539398e+02°)
5.01187233627270e+03	(-5.02642568635423e+01dB,1.51247657352565e+02°)
5.62341325190347e+03	(-5.00129272747145e+01dB,1.48377162881651e+02°)
6.30957344480190e+03	(-4.97158959371138e+01dB,1.45352588348763e+02°)
7.07945784384135e+03	(-4.93687106026748e+01dB,1.42200461191678e+02°)
7.94328234724278e+03	(-4.89677368154555e+01dB,1.38954253533544e+02°)
8.91250938133741e+03	(-4.85104805960949e+01dB,1.35652967029152e+02°)
9.99999999999995e+03	(-4.79958298328873e+01dB,1.32338951470302e+02°)
1.12201845430196e+04	(-4.74241671025128e+01dB,1.29055220084835e+02°)
1.25892541179416e+04	(-4.67973303868400e+01dB,1.25842658027448e+02°)
1.41253754462275e+04	(-4.61184299704201e+01dB,1.22737550002708e+02°)
1.58489319246111e+04	(-4.53915587340286e+01dB,1.19769765768504e+02°)
