Freq.	V(out)
1.00000000000000e+01	(2.17737471320198e+00dB,-1.36461144324557e+00°)
1.12201845430196e+01	(2.17673559298773e+00dB,-1.53104425205810e+00°)
1.25892541179417e+01	(2.17593112203377e+00dB,-1.71775391027667e+00°)
1.41253754462275e+01	(2.17491856495368e+00dB,-1.92720179816689e+00°)
1.58489319246111e+01	(2.17364416669502e+00dB,-2.16214437329471e+00°)
1.77827941003892e+01	(2.17204032589868e+00dB,-2.42566701698340e+00°)
1.99526231496888e+01	(2.17002205178682e+00dB,-2.72122112792321e+00°)
2.23872113856834e+01	(2.16748252817570e+00dB,-3.05266450094829e+00°)
2.51188643150958e+01	(2.16428756742881e+00dB,-3.42430489045846e+00°)
2.81838293126445e+01	(2.16026868938371e+00dB,-3.84094644698258e+00°)
3.16227766016838e+01	(2.15521450404677e+00dB,-4.30793840288143e+00°)
3.54813389233575e+01	(2.14886001384353e+00dB,-4.83122493019414e+00°)
3.98107170553497e+01	(2.14087338259486e+00dB,-5.41739444893677e+00°)
4.46683592150963e+01	(2.13083964875677e+00dB,-6.07372576216253e+00°)
5.01187233627272e+01	(2.11824079926844e+00dB,-6.80822715395130e+00°)
5.62341325190348e+01	(2.10243158111501e+00dB,-7.62966291405808e+00°)
6.30957344480192e+01	(2.08261043647879e+00dB,-8.54755954890651e+00°)
7.07945784384137e+01	(2.05778504065221e+00dB,-9.57218111774617e+00°)
7.94328234724280e+01	(2.02673215780579e+00dB,-1.07144596624741e+01°)
8.91250938133744e+01	(1.98795198482733e+00dB,-1.19858626683580e+01°)
9.99999999999998e+01	(1.93961793148003e+00dB,-1.33981752217546e+01°)
1.12201845430196e+02	(1.87952400575281e+00dB,-1.49631707372062e+01°)
1.25892541179416e+02	(1.80503374685767e+00dB,-1.66921421335692e+01°)
1.41253754462275e+02	(1.71303703421961e+00dB,-1.85952672874121e+01°)
1.58489319246111e+02	(1.59992400624498e+00dB,-2.06807915276670e+01°)
1.77827941003892e+02	(1.46158837286948e+00dB,-2.29540295385646e+01°)
1.99526231496888e+02	(1.29347479646330e+00dB,-2.54162226375957e+01°)
2.23872113856833e+02	(1.09068540854253e+00dB,-2.80633359259729e+01°)
2.51188643150957e+02	(8.48157192909337e-01dB,-3.08849387296121e+01°)
2.81838293126445e+02	(5.60913289828730e-01dB,-3.38633679100253e+01°)
3.16227766016837e+02	(2.24376806907789e-01dB,-3.69734045136065e+01°)
3.54813389233575e+02	(-1.65282595069748e-01dB,-4.01826729188643e+01°)
3.98107170553496e+02	(-6.10816237302725e-01dB,-4.34528791958156e+01°)
4.46683592150962e+02	(-1.11363390157177e+00dB,-4.67418470338805e+01°)
