Freq.	V(out)
1.00000000000000e+01	(6.02663678348588e+01dB,-1.37880967474581e+00°)
1.12201845430196e+01	(6.02657170253297e+01dB,-1.54697284839404e+00°)
1.25892541179417e+01	(6.02648978433255e+01dB,-1.73562315488212e+00°)
1.41253754462275e+01	(6.02638667739443e+01dB,-1.94724728129170e+00°)
1.58489319246111e+01	(6.02625690824696e+01dB,-2.18462993548530e+00°)
1.77827941003892e+01	(6.02609359368556e+01dB,-2.45088799259779e+00°)
1.99526231496888e+01	(6.02588808012030e+01dB,-2.74950790125657e+00°)
2.23872113856834e+01	(6.02562949207688e+01dB,-3.08438637943795e+00°)
2.51188643150958e+01	(6.02530416779464e+01dB,-3.45987428657686e+00°)
2.81838293126445e+01	(6.02489495499841e+01dB,-3.88082334083732e+00°)
3.16227766016838e+01	(6.02438033426452e+01dB,-4.35263502855452e+00°)
3.54813389233575e+01	(6.02373333102817e+01dB,-4.88131058692769e+00°)
3.98107170553497e+01	(6.02292017039023e+01dB,-5.47350027879401e+00°)
4.46683592150963e+01	(6.02189862196946e+01dB,-6.13654925297370e+00°)
5.01187233627272e+01	(6.02061597599672e+01dB,-6.87853601321182e+00°)
5.62341325190348e+01	(6.01900658823513e+01dB,-7.70829780821296e+00°)
6.30957344480192e+01	(6.01698893266438e+01dB,-8.63543500556882e+00°)
7.07945784384137e+01	(6.01446211112419e+01dB,-9.67028364073724e+00°)
7.94328234724280e+01	(6.01130179406355e+01dB,-1.08238418125905e+01°)
8.91250938133744e+01	(6.00735561424093e+01dB,-1.21076315315579e+01°)
9.99999999999998e+01	(6.00243811607140e+01dB,-1.35334733606660e+01°)
1.12201845430196e+02	(5.99632548928722e+01dB,-1.51131474808415e+01°)
1.25892541179416e+02	(5.98875049776693e+01dB,-1.68579130404949e+01°)
1.41253754462275e+02	(5.97939825763344e+01dB,-1.87778600269357e+01°)
1.58489319246111e+02	(5.96790381219960e+01dB,-2.08810775360970e+01°)
1.77827941003892e+02	(5.95385275484085e+01dB,-2.31726429176298e+01°)
1.99526231496888e+02	(5.93678637962564e+01dB,-2.56534710648588e+01°)
2.23872113856833e+02	(5.91621285612198e+01dB,-2.83191127285547e+01°)
2.51188643150957e+02	(5.89162555409363e+01dB,-3.11586500425673e+01°)
2.81838293126445e+02	(5.86252872987369e+01dB,-3.41538925457817e+01°)
3.16227766016837e+02	(5.82846929810558e+01dB,-3.72791047329494e+01°)
3.54813389233575e+02	(5.78907156777428e+01dB,-4.05014697289631e+01°)
3.98107170553496e+02	(5.74407014316644e+01dB,-4.37823954419542e+01°)
4.46683592150962e+02	(5.69333539249423e+01dB,-4.70796072158665e+01°)
5.01187233627271e+02	(5.63688655544988e+01dB,-5.03497859386611e+01°)
5.62341325190348e+02	(5.57488977014859e+01dB,-5.35513670694055e+01°)
6.30957344480192e+02	(5.50764143641082e+01dB,-5.66470716246927e+01°)
7.07945784384136e+02	(5.43554032347540e+01dB,-5.96058136651035e+01°)
7.94328234724279e+02	(5.35905367720324e+01dB,-6.24037893053009e+01°)
8.91250938133743e+02	(5.27868284240293e+01dB,-6.50247371327799e+01°)
9.99999999999997e+02	(5.19493282513834e+01dB,-6.74595084781257e+01°)
1.12201845430196e+03	(5.10828843462525e+01dB,-6.97051653397098e+01°)
1.25892541179416e+03	(5.01919785279768e+01dB,-7.17638340285046e+01°)
1.41253754462275e+03	(4.92806312938221e+01dB,-7.36415052868323e+01°)
1.58489319246111e+03	(4.83523633536843e+01dB,-7.53469135910488e+01°)
1.77827941003892e+03	(4.74101985311548e+01dB,-7.68905705855815e+01°)
1.99526231496887e+03	(4.64566936790420e+01dB,-7.82839815762961e+01°)
2.23872113856833e+03	(4.54939838458285e+01dB,-7.95390430585141e+01°)
2.51188643150957e+03	(4.45238339994039e+01dB,-8.06676018110471e+01°)
2.81838293126444e+03	(4.35476914446524e+01dB,-8.16811486456567e+01°)
3.16227766016837e+03	(4.25667353498337e+01dB,-8.25906188472364e+01°)
3.54813389233574e+03	(4.15819214664679e+01dB,-8.34062737826344e+01°)
3.98107170553496e+03	(4.05940212602797e+01dB,-8.41376421117919e+01°)
4.46683592150961e+03	(3.96036553834000e+01dB,-8.47935033037908e+01°)
5.01187233627270e+03	(3.86113218278605e+01dB,-8.53819001094917e+01°)
5.62341325190347e+03	(3.76174193055627e+01dB,-8.59101700021596e+01°)
6.30957344480190e+03	(3.66222664749234e+01dB,-8.63849883074750e+01°)
7.07945784384135e+03	(3.56261176320525e+01dB,-8.68124178505511e+01°)
