Freq.	V(out)
1.00000000000000e+01	(-5.57960007017767e+01dB,-1.16878999642057e-04°)
1.12201845430196e+01	(-5.57960007016186e+01dB,-1.31140379469680e-04°)
1.25892541179417e+01	(-5.57960007015591e+01dB,-1.47141921396208e-04°)
1.41253754462275e+01	(-5.57960007013010e+01dB,-1.65095961712454e-04°)
1.58489319246111e+01	(-5.57960007010908e+01dB,-1.85240718503563e-04°)
1.77827941003892e+01	(-5.57960007007876e+01dB,-2.07843497677541e-04°)
1.99526231496888e+01	(-5.57960007004088e+01dB,-2.33204228435528e-04°)
2.23872113856834e+01	(-5.57960006999648e+01dB,-2.61659468610936e-04°)
2.51188643150958e+01	(-5.57960006993726e+01dB,-2.93586722057496e-04°)
2.81838293126445e+01	(-5.57960006986590e+01dB,-3.29409725226885e-04°)
3.16227766016838e+01	(-5.57960006976972e+01dB,-3.69603830410765e-04°)
3.54813389233575e+01	(-5.57960006964364e+01dB,-4.14702274525916e-04°)
3.98107170553497e+01	(-5.57960006949198e+01dB,-4.65303689804061e-04°)
4.46683592150963e+01	(-5.57960006930857e+01dB,-5.22079266635768e-04°)
5.01187233627272e+01	(-5.57960006907217e+01dB,-5.85782555860407e-04°)
5.62341325190348e+01	(-5.57960006877055e+01dB,-6.57258873542312e-04°)
6.30957344480192e+01	(-5.57960006839162e+01dB,-7.37456615825721e-04°)
7.07945784384137e+01	(-5.57960006791826e+01dB,-8.27439934492907e-04°)
7.94328234724280e+01	(-5.57960006731517e+01dB,-9.28402864331874e-04°)
8.91250938133744e+01	(-5.57960006657454e+01dB,-1.04168503976632e-03°)
9.99999999999998e+01	(-5.57960006561627e+01dB,-1.16878998753168e-03°)
1.12201845430196e+02	(-5.57960006442980e+01dB,-1.31140382444619e-03°)
1.25892541179416e+02	(-5.57960006293518e+01dB,-1.47141935880459e-03°)
1.41253754462275e+02	(-5.57960006104303e+01dB,-1.65095990298430e-03°)
1.58489319246111e+02	(-5.57960005866026e+01dB,-1.85240756785187e-03°)
1.77827941003892e+02	(-5.57960005567161e+01dB,-2.07843538697007e-03°)
1.99526231496888e+02	(-5.57960005190120e+01dB,-2.33204306249406e-03°)
2.23872113856833e+02	(-5.57960004716135e+01dB,-2.61659553973996e-03°)
2.51188643150957e+02	(-5.57960004118885e+01dB,-2.93586861013328e-03°)
2.81838293126445e+02	(-5.57960003367166e+01dB,-3.29409927426973e-03°)
3.16227766016837e+02	(-5.57960002420536e+01dB,-3.69604053433045e-03°)
3.54813389233575e+02	(-5.57960001229171e+01dB,-4.14702622542429e-03°)
3.98107170553496e+02	(-5.57959999729254e+01dB,-4.65304117113402e-03°)
4.46683592150962e+02	(-5.57959997840885e+01dB,-5.22079920281827e-03°)
5.01187233627271e+02	(-5.57959995463640e+01dB,-5.85783505939180e-03°)
5.62341325190348e+02	(-5.57959992470470e+01dB,-6.57260160296483e-03°)
6.30957344480192e+02	(-5.57959988702809e+01dB,-7.37458402317687e-03°)
7.07945784384136e+02	(-5.57959983959434e+01dB,-8.27442489105901e-03°)
7.94328234724279e+02	(-5.57959977987794e+01dB,-9.28406479677248e-03°)
8.91250938133743e+02	(-5.57959970470011e+01dB,-1.04169028641307e-02°)
9.99999999999997e+02	(-5.57959961005509e+01dB,-1.16879723905557e-02°)
1.12201845430196e+03	(-5.57959949090739e+01dB,-1.31141419172616e-02°)
1.25892541179416e+03	(-5.57959934090979e+01dB,-1.47143392190945e-02°)
1.41253754462275e+03	(-5.57959915207395e+01dB,-1.65098025832549e-02°)
1.58489319246111e+03	(-5.57959891434260e+01dB,-1.85243633140689e-02°)
1.77827941003892e+03	(-5.57959861506194e+01dB,-2.07847620772146e-02°)
1.99526231496887e+03	(-5.57959823829023e+01dB,-2.33210062472804e-02°)
2.23872113856833e+03	(-5.57959776396945e+01dB,-2.61667682678388e-02°)
2.51188643150957e+03	(-5.57959716683988e+01dB,-2.93598355756099e-02°)
2.81838293126444e+03	(-5.57959641510896e+01dB,-3.29426144467473e-02°)
3.16227766016837e+03	(-5.57959546875252e+01dB,-3.69626974952013e-02°)
3.54813389233574e+03	(-5.57959427738883e+01dB,-4.14735012851798e-02°)
3.98107170553496e+03	(-5.57959277759253e+01dB,-4.65349838859461e-02°)
4.46683592150961e+03	(-5.57959088952909e+01dB,-5.22144526074777e-02°)
5.01187233627270e+03	(-5.57958851270711e+01dB,-5.85874748856101e-02°)
5.62341325190347e+03	(-5.57958552063397e+01dB,-6.57389053201526e-02°)
6.30957344480190e+03	(-5.57958175410846e+01dB,-7.37640465064791e-02°)
7.07945784384135e+03	(-5.57957701276241e+01dB,-8.27699626230913e-02°)
7.94328234724278e+03	(-5.57957104443932e+01dB,-9.28769694389511e-02°)
8.91250938133741e+03	(-5.57956353184224e+01dB,-1.04220328522421e-01°)
9.99999999999995e+03	(-5.57955407574905e+01dB,-1.16952180046879e-01°)
1.12201845430196e+04	(-5.57954217393383e+01dB,-1.31243756378257e-01°)
1.25892541179416e+04	(-5.57952719471671e+01dB,-1.47287929028363e-01°)
1.41253754462275e+04	(-5.57950834377920e+01dB,-1.65302155573120e-01°)
1.58489319246111e+04	(-5.57948462259946e+01dB,-1.85531911768957e-01°)
1.77827941003891e+04	(-5.57945477641693e+01dB,-2.08254719495774e-01°)
1.99526231496887e+04	(-5.57941722924705e+01dB,-2.33784914558977e-01°)
2.23872113856833e+04	(-5.57937000282714e+01dB,-2.62479345939974e-01°)
2.51188643150957e+04	(-5.57931061582343e+01dB,-2.94744260117569e-01°)
2.81838293126444e+04	(-5.57923595889081e+01dB,-3.31043711488152e-01°)
3.16227766016836e+04	(-5.57914214043909e+01dB,-3.71909956642672e-01°)
3.54813389233573e+04	(-5.57902429729598e+01dB,-4.17956450753864e-01°)
3.98107170553495e+04	(-5.57887636389373e+01dB,-4.69894279533511e-01°)
4.46683592150960e+04	(-5.57869079354710e+01dB,-5.28553149300436e-01°)
5.01187233627269e+04	(-5.57845822597642e+01dB,-5.94908440186029e-01°)
5.62341325190346e+04	(-5.57816709740106e+01dB,-6.70116324327572e-01°)
6.30957344480189e+04	(-5.57780319386534e+01dB,-7.55559582588417e-01°)
7.07945784384133e+04	(-5.57734915667676e+01dB,-8.52907526166759e-01°)
7.94328234724276e+04	(-5.57678396276616e+01dB,-9.64194326485598e-01°)
8.91250938133740e+04	(-5.57608242522751e+01dB,-1.09192100494419e+00°)
9.99999999999993e+04	(-5.57521479364891e+01dB,-1.23918716609311e+00°)
1.12201845430196e+05	(-5.57414658390930e+01dB,-1.40985894554015e+00°)
1.25892541179416e+05	(-5.57283883591111e+01dB,-1.60877902282402e+00°)
1.41253754462274e+05	(-5.57124908570214e+01dB,-1.84202203271567e+00°)
1.58489319246110e+05	(-5.56933343890877e+01dB,-2.11719307068401e+00°)
1.77827941003891e+05	(-5.56705022676837e+01dB,-2.44375677285019e+00°)
1.99526231496886e+05	(-5.56436577583816e+01dB,-2.83336843172895e+00°)
2.23872113856832e+05	(-5.56126276547885e+01dB,-3.30015672584181e+00°)
2.51188643150956e+05	(-5.55775140269076e+01dB,-3.86088251720525e+00°)
2.81838293126443e+05	(-5.55388313804219e+01dB,-4.53487679040319e+00°)
3.16227766016835e+05	(-5.54976586373766e+01dB,-5.34365532193842e+00°)
3.54813389233573e+05	(-5.54557861144919e+01dB,-6.31013219896902e+00°)
3.98107170553494e+05	(-5.54158298236861e+01dB,-7.45741992119940e+00°)
4.46683592150960e+05	(-5.53812838708268e+01dB,-8.80730303392077e+00°)
5.01187233627268e+05	(-5.53564897725340e+01dB,-1.03785773550436e+01°)
5.62341325190344e+05	(-5.53465193716981e+01dB,-1.21855093552051e+01°)
6.30957344480188e+05	(-5.53569898919285e+01dB,-1.42366477116175e+01°)
7.07945784384132e+05	(-5.53938453248757e+01dB,-1.65341088307594e+01°)
7.94328234724275e+05	(-5.54631399473733e+01dB,-1.90733022070434e+01°)
8.91250938133738e+05	(-5.55708453570512e+01dB,-2.18429424800257e+01°)
9.99999999999991e+05	(-5.57226803345765e+01dB,-2.48251695738606e+01°)
1.12201845430195e+06	(-5.59239445776818e+01dB,-2.79956814069220e+01°)
1.25892541179416e+06	(-5.61793330448332e+01dB,-3.13239260504001e+01°)
1.41253754462274e+06	(-5.64927197446606e+01dB,-3.47735270203519e+01°)
1.58489319246110e+06	(-5.68669229237076e+01dB,-3.83031605044288e+01°)
1.77827941003891e+06	(-5.73034874145500e+01dB,-4.18680334667166e+01°)
1.99526231496886e+06	(-5.78025329645959e+01dB,-4.54219500382894e+01°)
2.23872113856832e+06	(-5.83627128203661e+01dB,-4.89197596785393e+01°)
2.51188643150956e+06	(-5.89813050740475e+01dB,-5.23198373232139e+01°)
2.81838293126443e+06	(-5.96544286416709e+01dB,-5.55862103142081e+01°)
3.16227766016835e+06	(-6.03773480847715e+01dB,-5.86900303736491e+01°)
3.54813389233572e+06	(-6.11448163855105e+01dB,-6.16102507912444e+01°)
3.98107170553494e+06	(-6.19514053281689e+01dB,-6.43335416775925e+01°)
4.46683592150959e+06	(-6.27917857186124e+01dB,-6.68536048389791e+01°)
5.01187233627268e+06	(-6.36609374198915e+01dB,-6.91701082736300e+01°)
5.62341325190344e+06	(-6.45542856815891e+01dB,-7.12874554715419e+01°)
6.30957344480187e+06	(-6.54677718314281e+01dB,-7.32135601673912e+01°)
7.07945784384131e+06	(-6.63978723062261e+01dB,-7.49587385218076e+01°)
7.94328234724274e+06	(-6.73415813068443e+01dB,-7.65347762512671e+01°)
8.91250938133737e+06	(-6.82963707976239e+01dB,-7.79541872320349e+01°)
9.99999999999990e+06	(-6.92601387148037e+01dB,-7.92296534565324e+01°)
1.12201845430195e+07	(-7.02311531718159e+01dB,-8.03736226712421e+01°)
1.25892541179415e+07	(-7.12079977500614e+01dB,-8.13980347902047e+01°)
1.41253754462274e+07	(-7.21895208548807e+01dB,-8.23141487929963e+01°)
1.58489319246110e+07	(-7.31747906114503e+01dB,-8.31324449817902e+01°)
1.77827941003890e+07	(-7.41630557786208e+01dB,-8.38625817720374e+01°)
1.99526231496886e+07	(-7.51537125494784e+01dB,-8.45133905573864e+01°)
2.23872113856832e+07	(-7.61462767717856e+01dB,-8.50928960773170e+01°)
2.51188643150955e+07	(-7.71403609669356e+01dB,-8.56083529325341e+01°)
2.81838293126442e+07	(-7.81356554840394e+01dB,-8.60662915146290e+01°)
3.16227766016834e+07	(-7.91319131491287e+01dB,-8.64725685615730e+01°)
3.54813389233572e+07	(-8.01289368264276e+01dB,-8.68324190510571e+01°)
3.98107170553493e+07	(-8.11265693797882e+01dB,-8.71505072448748e+01°)
4.46683592150958e+07	(-8.21246855960053e+01dB,-8.74309754468418e+01°)
5.01187233627267e+07	(-8.31231857012937e+01dB,-8.76774896297098e+01°)
5.62341325190343e+07	(-8.41219901647569e+01dB,-8.78932814410292e+01°)
6.30957344480186e+07	(-8.51210355369377e+01dB,-8.80811863680606e+01°)
7.07945784384130e+07	(-8.61202711176023e+01dB,-8.82436780219801e+01°)
7.94328234724272e+07	(-8.71196562852795e+01dB,-8.83828985882090e+01°)
8.91250938133735e+07	(-8.81191583526748e+01dB,-8.85006855757643e+01°)
9.99999999999989e+07	(-8.91187508377475e+01dB,-8.85985950138927e+01°)
1.12201845430195e+08	(-9.01184120609264e+01dB,-8.86779212689821e+01°)
1.25892541179415e+08	(-9.11181239953470e+01dB,-8.87397136362912e+01°)
1.41253754462274e+08	(-9.21178713099309e+01dB,-8.87847898665687e+01°)
1.58489319246109e+08	(-9.31176405549876e+01dB,-8.88137467517843e+01°)
1.77827941003890e+08	(-9.41174194474212e+01dB,-8.88269678829412e+01°)
1.99526231496886e+08	(-9.51171962177855e+01dB,-8.88246286619205e+01°)
2.23872113856831e+08	(-9.61169589846669e+01dB,-8.88066986245472e+01°)
2.51188643150955e+08	(-9.71166951233265e+01dB,-8.87729411053049e+01°)
2.81838293126442e+08	(-9.81163905952715e+01dB,-8.87229102472387e+01°)
3.16227766016834e+08	(-9.91160292034592e+01dB,-8.86559453357702e+01°)
3.54813389233571e+08	(-1.00115591734058e+02dB,-8.85711624100917e+01°)
3.98107170553492e+08	(-1.01115054939976e+02dB,-8.84674430863367e+01°)
