Freq.	V(out)
1.00000000000000e+01	(4.75106225285575e+00dB,-1.37762343918004e+00°)
1.12201845430196e+01	(4.75041144381491e+00dB,-1.54564187066452e+00°)
1.25892541179417e+01	(4.74959226241170e+00dB,-1.73412977372306e+00°)
1.41253754462275e+01	(4.74856119378818e+00dB,-1.94557168044248e+00°)
1.58489319246111e+01	(4.74726350327130e+00dB,-2.18274988074076e+00°)
1.77827941003892e+01	(4.74563035886683e+00dB,-2.44877853677375e+00°)
1.99526231496888e+01	(4.74357522475488e+00dB,-2.74714105315600e+00°)
2.23872113856834e+01	(4.74098934623891e+00dB,-3.08173073242477e+00°)
2.51188643150958e+01	(4.73773610583205e+00dB,-3.45689460182882e+00°)
2.81838293126445e+01	(4.73364398089624e+00dB,-3.87748007974843e+00°)
3.16227766016838e+01	(4.72849777739814e+00dB,-4.34888382808178e+00°)
3.54813389233575e+01	(4.72202774984706e+00dB,-4.87710167092053e+00°)
3.98107170553497e+01	(4.71389614954133e+00dB,-5.46877779749505e+00°)
4.46683592150963e+01	(4.70368067297539e+00dB,-6.13125054192637e+00°)
5.01187233627272e+01	(4.69085422285839e+00dB,-6.87259076174143e+00°)
5.62341325190348e+01	(4.67476035734918e+00dB,-7.70162712644707e+00°)
6.30957344480192e+01	(4.65458381687740e+00dB,-8.62795037761646e+00°)
7.07945784384137e+01	(4.62931562066698e+00dB,-9.66188575013731e+00°)
7.94328234724280e+01	(4.59771247420720e+00dB,-1.08144192244434e+01°)
8.91250938133744e+01	(4.55825070638999e+00dB,-1.20970592138528e+01°)
9.99999999999998e+01	(4.50907576297539e+00dB,-1.35216110251837e+01°)
1.12201845430196e+02	(4.44794954332707e+00dB,-1.50998377216150e+01°)
1.25892541179416e+02	(4.37219968880271e+00dB,-1.68429792451315e+01°)
1.41253754462275e+02	(4.27867736384087e+00dB,-1.87611040330805e+01°)
1.58489319246111e+02	(4.16373300565539e+00dB,-2.08622770019431e+01°)
1.77827941003892e+02	(4.02322255313814e+00dB,-2.31515483715837e+01°)
1.99526231496888e+02	(3.85255895337276e+00dB,-2.56298025952130e+01°)
2.23872113856833e+02	(3.64682391019155e+00dB,-2.82925562692415e+01°)
2.51188643150957e+02	(3.40095113144669e+00dB,-3.11288532057103e+01°)
2.81838293126445e+02	(3.10998319332814e+00dB,-3.41204599457471e+01°)
3.16227766016837e+02	(2.76938925844962e+00dB,-3.72415927398540e+01°)
3.54813389233575e+02	(2.37541243705523e+00dB,-4.04593805820236e+01°)
3.98107170553496e+02	(1.92539879768727e+00dB,-4.37351706445744e+01°)
4.46683592150962e+02	(1.41805205476463e+00dB,-4.70266201248230e+01°)
5.01187233627271e+02	(8.53564645896817e-01dB,-5.02903334490686e+01°)
5.62341325190348e+02	(2.33598003429346e-01dB,-5.34846602851354e+01°)
6.30957344480192e+02	(-4.38883809974445e-01dB,-5.65722253904768e+01°)
7.07945784384136e+02	(-1.15989302074836e+00dB,-5.95218348214510e+01°)
7.94328234724279e+02	(-1.92475706811066e+00dB,-6.23095635104251e+01°)
8.91250938133743e+02	(-2.72846237538179e+00dB,-6.49190140767361e+01°)
9.99999999999997e+02	(-3.56595871996826e+00dB,-6.73408852930546e+01°)
