bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "w_pmos" ?resultsDir "/home/vlsiuser28/simulation/Trapper/p_tp_vd0.4/adexl/results/data/Interactive.0/psf/Trapper:p_tp_vd0.4:1" ?result "designParamVals"))) l_pmos 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "w_pmos" ?resultsDir "/home/vlsiuser28/simulation/Trapper/p_tp_vd0.4/adexl/results/data/Interactive.0/psf/Trapper:p_tp_vd0.4:1" ?result "designParamVals"))) l_pmos 9e-08 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "w_pmos" ?resultsDir "/home/vlsiuser28/simulation/Trapper/p_tp_vd0.4/adexl/results/data/Interactive.0/psf/Trapper:p_tp_vd0.4:1" ?result "designParamVals"))) l_pmos 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "w_pmos" ?resultsDir "/home/vlsiuser28/simulation/Trapper/p_tp_vd0.4/adexl/results/data/Interactive.0/psf/Trapper:p_tp_vd0.4:1" ?result "designParamVals"))) l_pmos 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "w_pmos" ?resultsDir "/home/vlsiuser28/simulation/Trapper/p_tp_vd0.4/adexl/results/data/Interactive.0/psf/Trapper:p_tp_vd0.4:1" ?result "designParamVals"))) l_pmos 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "w_pmos" ?resultsDir "/home/vlsiuser28/simulation/Trapper/p_tp_vd0.4/adexl/results/data/Interactive.0/psf/Trapper:p_tp_vd0.4:1" ?result "designParamVals"))) l_pmos 2.7e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "w_pmos" ?resultsDir "/home/vlsiuser28/simulation/Trapper/p_tp_vd0.4/adexl/results/data/Interactive.0/psf/Trapper:p_tp_vd0.4:1" ?result "designParamVals"))) l_pmos 3.15e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "w_pmos" ?resultsDir "/home/vlsiuser28/simulation/Trapper/p_tp_vd0.4/adexl/results/data/Interactive.0/psf/Trapper:p_tp_vd0.4:1" ?result "designParamVals"))) l_pmos 3.6e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "w_pmos" ?resultsDir "/home/vlsiuser28/simulation/Trapper/p_tp_vd0.4/adexl/results/data/Interactive.0/psf/Trapper:p_tp_vd0.4:1" ?result "designParamVals"))) l_pmos 4.05e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "w_pmos" ?resultsDir "/home/vlsiuser28/simulation/Trapper/p_tp_vd0.4/adexl/results/data/Interactive.0/psf/Trapper:p_tp_vd0.4:1" ?result "designParamVals"))) l_pmos 4.5e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "w_pmos" ?resultsDir "/home/vlsiuser28/simulation/Trapper/p_tp_vd0.4/adexl/results/data/Interactive.0/psf/Trapper:p_tp_vd0.4:1" ?result "designParamVals"))) l_pmos 4.95e-07 ,bsim4 ,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / pv("top-level" "w_pmos" ?resultsDir "/home/vlsiuser28/simulation/Trapper/p_tp_vd0.4/adexl/results/data/Interactive.0/psf/Trapper:p_tp_vd0.4:1" ?result "designParamVals"))) l_pmos 5.4e-07 
2.830,222.9,2.455,201.8,2.344,178.6,2.314,158.0,2.310,140.8,2.313,126.7,2.320,115.0,2.326,105.2,2.331,97.02,2.335,89.98,2.337,83.90,2.346,78.13
3.899,160.0,3.220,152.4,3.011,136.9,2.942,121.7,2.920,108.6,2.914,97.68,2.916,88.63,2.922,81.07,2.928,74.69,2.935,69.23,2.941,64.52,2.951,60.02
5.792,99.48,4.485,104.3,4.061,96.57,3.902,86.76,3.830,77.75,3.794,70.07,3.774,63.63,3.764,58.21,3.758,53.61,3.755,49.68,3.754,46.28,3.757,43.02
9.206,47.73,6.821,60.02,5.939,59.17,5.578,54.49,5.391,49.42,5.278,44.85,5.203,40.91,5.150,37.53,5.110,34.64,5.079,32.14,5.053,29.98,5.034,27.88
13.99,15.02,11.26,24.84,9.723,27.67,8.998,26.87,8.578,25.10,8.301,23.21,8.101,21.44,7.948,19.86,7.826,18.47,7.726,17.25,7.641,16.17,7.565,15.10
18.26,2.982,17.63,5.890,16.77,7.554,16.08,7.952,15.53,7.829,15.09,7.517,14.73,7.148,14.42,6.776,14.17,6.423,13.94,6.094,13.74,5.793,13.56,5.482
23.34,376.9E-3,23.94,738.6E-3,24.46,948.5E-3,24.66,1.018,24.64,1.032,24.54,1.021,24.41,998.2E-3,24.27,970.9E-3,24.12,942.1E-3,23.98,913.4E-3,23.84,885.6E-3,23.70,854.3E-3
27.90,28.49E-3,29.68,49.61E-3,30.29,60.16E-3,30.46,63.31E-3,30.47,64.17E-3,30.41,63.88E-3,30.33,63.03E-3,30.25,61.90E-3,30.16,60.65E-3,30.07,59.37E-3,29.99,58.10E-3,29.95,56.44E-3
29.98,1.551E-3,32.37,2.179E-3,33.05,2.477E-3,33.29,2.552E-3,33.41,2.570E-3,33.46,2.559E-3,33.49,2.532E-3,33.49,2.497E-3,33.49,2.458E-3,33.48,2.418E-3,33.46,2.378E-3,33.49,2.313E-3
30.86,73.67E-6,33.40,80.80E-6,34.08,85.76E-6,34.35,86.09E-6,34.51,85.49E-6,34.61,84.39E-6,34.68,83.06E-6,34.73,81.63E-6,34.77,80.20E-6,34.80,78.80E-6,34.82,77.44E-6,34.89,74.92E-6
31.16,3.293E-6,33.64,2.813E-6,34.37,2.779E-6,34.67,2.709E-6,34.85,2.644E-6,34.97,2.580E-6,35.06,2.519E-6,35.13,2.461E-6,35.18,2.407E-6,35.22,2.357E-6,35.25,2.310E-6,35.32,2.219E-6
