bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/pmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/pmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 6.75e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/pmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 9e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/pmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 1.125e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/pmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/pmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 1.575e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/pmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/pmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 2.025e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/pmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/pmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 2.475e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/pmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 2.7e-07 
2.217,692.9,3.167,301.0,3.455,195.7,3.595,145.2,3.679,115.4,3.734,95.68,3.774,81.72,3.804,71.31,3.827,63.25,3.845,56.82,3.861,51.57
2.236,687.1,3.198,297.5,3.489,193.3,3.630,143.3,3.714,113.9,3.770,94.42,3.810,80.64,3.840,70.36,3.863,62.40,3.882,56.06,3.897,50.88
2.256,681.4,3.230,294.0,3.524,190.8,3.666,141.4,3.750,112.3,3.806,93.16,3.846,79.56,3.876,69.41,3.900,61.56,3.918,55.30,3.934,50.19
2.277,675.6,3.263,290.5,3.559,188.4,3.702,139.6,3.787,110.8,3.844,91.90,3.884,78.47,3.914,68.46,3.937,60.71,3.956,54.53,3.971,49.50
2.298,669.8,3.297,286.9,3.595,185.9,3.740,137.7,3.825,109.3,3.882,90.64,3.922,77.39,3.952,67.51,3.976,59.87,3.995,53.77,4.010,48.80
2.319,663.9,3.331,283.4,3.632,183.5,3.778,135.8,3.864,107.8,3.921,89.37,3.961,76.30,3.991,66.56,4.015,59.02,4.034,53.01,4.049,48.11
2.341,658.0,3.366,279.8,3.670,181.0,3.817,134.0,3.903,106.3,3.960,88.11,4.001,75.22,4.031,65.61,4.055,58.17,4.074,52.25,4.090,47.41
2.363,652.1,3.402,276.3,3.709,178.5,3.856,132.1,3.943,104.8,4.001,86.84,4.042,74.13,4.072,64.66,4.096,57.33,4.115,51.48,4.131,46.72
2.386,646.1,3.438,272.7,3.748,176.1,3.897,130.2,3.985,103.3,4.042,85.58,4.083,73.04,4.114,63.70,4.138,56.48,4.157,50.72,4.173,46.03
2.409,640.1,3.476,269.1,3.789,173.6,3.939,128.3,4.027,101.8,4.085,84.31,4.126,71.96,4.157,62.75,4.181,55.63,4.200,49.96,4.216,45.33
2.432,634.1,3.514,265.6,3.830,171.1,3.981,126.4,4.070,100.3,4.128,83.05,4.170,70.87,4.201,61.80,4.225,54.78,4.244,49.20,4.260,44.64
2.456,628.1,3.553,262.0,3.873,168.7,4.025,124.6,4.114,98.75,4.173,81.78,4.214,69.78,4.245,60.85,4.269,53.94,4.289,48.43,4.305,43.95
2.481,622.0,3.593,258.4,3.916,166.2,4.069,122.7,4.159,97.23,4.218,80.52,4.260,68.70,4.291,59.90,4.315,53.09,4.335,47.67,4.351,43.26
2.506,615.9,3.634,254.8,3.960,163.7,4.115,120.8,4.205,95.72,4.264,79.25,4.307,67.61,4.338,58.95,4.362,52.25,4.382,46.91,4.398,42.56
2.531,609.8,3.676,251.2,4.005,161.2,4.161,118.9,4.252,94.21,4.312,77.99,4.354,66.53,4.386,58.00,4.410,51.40,4.430,46.15,4.446,41.87
2.557,603.6,3.719,247.6,4.052,158.7,4.209,117.0,4.301,92.70,4.361,76.73,4.403,65.45,4.435,57.05,4.460,50.56,4.479,45.39,4.495,41.18
2.584,597.4,3.762,244.0,4.099,156.3,4.258,115.2,4.350,91.19,4.411,75.47,4.453,64.36,4.485,56.10,4.510,49.72,4.530,44.63,4.546,40.49
