bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 6.75e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 9e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 1.125e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 1.575e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 2.025e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 2.475e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 2.7e-07 
26.69,12.16E6,26.76,1.337E6,26.77,632.5E3,26.77,389.7E3,26.77,269.3E3,26.77,198.9E3,26.77,153.6E3,26.77,122.5E3,26.77,100.2E3,26.77,83.51E3,26.77,70.74E3
26.68,13.84E6,26.76,1.524E6,26.76,721.9E3,26.77,445.0E3,26.77,307.7E3,26.77,227.3E3,26.77,175.6E3,26.77,140.1E3,26.77,114.6E3,26.77,95.54E3,26.77,80.95E3
26.67,15.76E6,26.75,1.738E6,26.76,824.0E3,26.76,508.2E3,26.76,351.5E3,26.76,259.8E3,26.76,200.8E3,26.76,160.2E3,26.76,131.1E3,26.76,109.3E3,26.76,92.62E3
26.66,17.94E6,26.74,1.982E6,26.75,940.3E3,26.75,580.3E3,26.75,401.6E3,26.76,296.9E3,26.76,229.5E3,26.76,183.2E3,26.76,149.9E3,26.76,125.0E3,26.76,106.0E3
26.65,20.42E6,26.74,2.260E6,26.74,1.073E6,26.75,662.7E3,26.75,458.7E3,26.75,339.3E3,26.75,262.4E3,26.75,209.5E3,26.75,171.4E3,26.75,143.0E3,26.75,121.2E3
26.63,23.24E6,26.73,2.577E6,26.74,1.225E6,26.74,756.6E3,26.74,524.0E3,26.74,387.8E3,26.74,299.9E3,26.74,239.5E3,26.74,196.0E3,26.74,163.6E3,26.74,138.7E3
26.62,26.46E6,26.72,2.938E6,26.73,1.397E6,26.73,863.9E3,26.73,598.6E3,26.73,443.1E3,26.73,342.8E3,26.74,273.8E3,26.74,224.2E3,26.74,187.1E3,26.74,158.6E3
26.60,30.11E6,26.71,3.350E6,26.72,1.594E6,26.72,986.3E3,26.73,683.7E3,26.73,506.3E3,26.73,391.8E3,26.73,313.0E3,26.73,256.3E3,26.73,214.0E3,26.73,181.4E3
26.59,34.27E6,26.70,3.819E6,26.71,1.819E6,26.72,1.126E6,26.72,780.8E3,26.72,578.4E3,26.72,447.8E3,26.72,357.8E3,26.72,293.0E3,26.72,244.7E3,26.72,207.5E3
26.57,38.99E6,26.69,4.354E6,26.70,2.076E6,26.71,1.285E6,26.71,891.7E3,26.71,660.8E3,26.71,511.7E3,26.71,409.0E3,26.71,335.0E3,26.71,279.8E3,26.71,237.3E3
