bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 6.75e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 9e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 1.125e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 1.575e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 2.025e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 2.475e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 2.7e-07 
26.69,7.195,26.76,34.61,26.77,75.09,26.77,120.3,26.77,164.2,26.77,203.7,26.77,237.9,26.77,266.6,26.77,290.6,26.77,310.5,26.77,327.0
26.68,7.195,26.76,34.61,26.76,75.09,26.77,120.3,26.77,164.2,26.77,203.7,26.77,237.8,26.77,266.6,26.77,290.6,26.77,310.5,26.77,326.9
26.67,7.195,26.75,34.61,26.76,75.08,26.76,120.2,26.76,164.1,26.76,203.7,26.76,237.8,26.76,266.6,26.76,290.5,26.76,310.4,26.76,326.9
26.66,7.195,26.74,34.61,26.75,75.08,26.75,120.2,26.75,164.1,26.76,203.6,26.76,237.8,26.76,266.5,26.76,290.5,26.76,310.3,26.76,326.8
26.65,7.194,26.74,34.61,26.74,75.07,26.75,120.2,26.75,164.1,26.75,203.6,26.75,237.7,26.75,266.5,26.75,290.4,26.75,310.3,26.75,326.8
26.63,7.194,26.73,34.61,26.74,75.07,26.74,120.2,26.74,164.1,26.74,203.6,26.74,237.7,26.74,266.4,26.74,290.4,26.74,310.2,26.74,326.7
26.62,7.194,26.72,34.60,26.73,75.06,26.73,120.2,26.73,164.1,26.73,203.6,26.73,237.6,26.74,266.4,26.74,290.3,26.74,310.1,26.74,326.6
26.60,7.193,26.71,34.60,26.72,75.05,26.72,120.2,26.73,164.0,26.73,203.5,26.73,237.6,26.73,266.3,26.73,290.2,26.73,310.1,26.73,326.5
26.59,7.193,26.70,34.60,26.71,75.05,26.72,120.2,26.72,164.0,26.72,203.5,26.72,237.5,26.72,266.2,26.72,290.2,26.72,310.0,26.72,326.4
26.57,7.192,26.69,34.60,26.70,75.04,26.71,120.2,26.71,164.0,26.71,203.4,26.71,237.5,26.71,266.2,26.71,290.1,26.71,309.9,26.71,326.3
