bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/nmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/nmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 6.75e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/nmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 9e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/nmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 1.125e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/nmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/nmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 1.575e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/nmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/nmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 2.025e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/nmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/nmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 2.475e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/vlsiuser22/simulation/nmos_plotshp/spectre/schematic" ?result "designParamVals"))) l 2.7e-07 
26.69,2.329E-3,26.76,300.7E-6,26.77,163.6E-6,26.77,114.0E-6,26.77,87.86E-6,26.77,71.62E-6,26.77,60.50E-6,26.77,52.40E-6,26.77,46.23E-6,26.77,41.36E-6,26.77,37.43E-6
26.68,2.660E-3,26.76,343.6E-6,26.76,187.0E-6,26.77,130.3E-6,26.77,100.4E-6,26.77,81.86E-6,26.77,69.16E-6,26.77,59.90E-6,26.77,52.84E-6,26.77,47.28E-6,26.77,42.78E-6
26.67,3.038E-3,26.75,392.6E-6,26.76,213.7E-6,26.76,148.9E-6,26.76,114.8E-6,26.76,93.57E-6,26.76,79.05E-6,26.76,68.47E-6,26.76,60.40E-6,26.76,54.04E-6,26.76,48.91E-6
26.66,3.470E-3,26.74,448.7E-6,26.75,244.3E-6,26.75,170.2E-6,26.75,131.2E-6,26.76,107.0E-6,26.76,90.36E-6,26.76,78.26E-6,26.76,69.04E-6,26.76,61.78E-6,26.76,55.90E-6
26.65,3.963E-3,26.74,512.7E-6,26.74,279.2E-6,26.75,194.5E-6,26.75,149.9E-6,26.75,122.2E-6,26.75,103.3E-6,26.75,89.45E-6,26.75,78.92E-6,26.75,70.61E-6,26.75,63.90E-6
26.63,4.525E-3,26.73,585.8E-6,26.74,319.0E-6,26.74,222.3E-6,26.74,171.4E-6,26.74,139.7E-6,26.74,118.0E-6,26.74,102.2E-6,26.74,90.20E-6,26.74,80.71E-6,26.74,73.03E-6
26.62,5.168E-3,26.72,669.4E-6,26.73,364.6E-6,26.73,254.0E-6,26.73,195.9E-6,26.73,159.7E-6,26.73,134.9E-6,26.74,116.9E-6,26.74,103.1E-6,26.74,92.25E-6,26.74,83.48E-6
26.60,5.900E-3,26.71,764.8E-6,26.72,416.6E-6,26.72,290.3E-6,26.73,223.8E-6,26.73,182.5E-6,26.73,154.2E-6,26.73,133.6E-6,26.73,117.8E-6,26.73,105.4E-6,26.73,95.41E-6
26.59,6.737E-3,26.70,873.8E-6,26.71,476.0E-6,26.72,331.7E-6,26.72,255.8E-6,26.72,208.6E-6,26.72,176.2E-6,26.72,152.6E-6,26.72,134.7E-6,26.72,120.5E-6,26.72,109.0E-6
26.57,7.691E-3,26.69,998.4E-6,26.70,543.9E-6,26.71,379.1E-6,26.71,292.3E-6,26.71,238.3E-6,26.71,201.4E-6,26.71,174.4E-6,26.71,153.9E-6,26.71,137.7E-6,26.71,124.6E-6
26.55,8.780E-3,26.68,1.141E-3,26.69,621.5E-6,26.70,433.1E-6,26.70,334.0E-6,26.70,272.3E-6,26.70,230.1E-6,26.70,199.3E-6,26.70,175.9E-6,26.70,157.4E-6,26.70,142.4E-6
