bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 6.75e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 9e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 1.125e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 1.575e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 2.025e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 2.475e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 2.7e-07 
2.217,169.2E9,3.167,76.45E9,3.455,42.83E9,3.595,27.39E9,3.679,19.05E9,3.734,14.03E9,3.774,10.77E9,3.804,8.530E9,3.827,6.928E9,3.845,5.741E9,3.861,4.837E9
2.236,169.4E9,3.198,76.36E9,3.489,42.75E9,3.630,27.33E9,3.714,19.00E9,3.770,13.99E9,3.810,10.73E9,3.840,8.504E9,3.863,6.907E9,3.882,5.723E9,3.897,4.822E9
2.256,169.5E9,3.230,76.27E9,3.524,42.66E9,3.666,27.26E9,3.750,18.95E9,3.806,13.95E9,3.846,10.70E9,3.876,8.478E9,3.900,6.885E9,3.918,5.705E9,3.934,4.806E9
2.277,169.7E9,3.263,76.18E9,3.559,42.58E9,3.702,27.20E9,3.787,18.90E9,3.844,13.91E9,3.884,10.67E9,3.914,8.452E9,3.937,6.863E9,3.956,5.687E9,3.971,4.790E9
2.298,169.9E9,3.297,76.08E9,3.595,42.49E9,3.740,27.13E9,3.825,18.84E9,3.882,13.86E9,3.922,10.64E9,3.952,8.425E9,3.976,6.841E9,3.995,5.668E9,4.010,4.774E9
2.319,170.0E9,3.331,75.98E9,3.632,42.39E9,3.778,27.05E9,3.864,18.79E9,3.921,13.82E9,3.961,10.60E9,3.991,8.397E9,4.015,6.818E9,4.034,5.648E9,4.049,4.758E9
2.341,170.2E9,3.366,75.88E9,3.670,42.30E9,3.817,26.98E9,3.903,18.73E9,3.960,13.78E9,4.001,10.57E9,4.031,8.369E9,4.055,6.795E9,4.074,5.629E9,4.090,4.741E9
2.363,170.4E9,3.402,75.77E9,3.709,42.20E9,3.856,26.91E9,3.943,18.68E9,4.001,13.73E9,4.042,10.53E9,4.072,8.340E9,4.096,6.771E9,4.115,5.609E9,4.131,4.724E9
2.386,170.5E9,3.438,75.66E9,3.748,42.10E9,3.897,26.83E9,3.985,18.62E9,4.042,13.69E9,4.083,10.50E9,4.114,8.311E9,4.138,6.747E9,4.157,5.589E9,4.173,4.706E9
2.409,170.7E9,3.476,75.54E9,3.789,41.99E9,3.939,26.75E9,4.027,18.56E9,4.085,13.64E9,4.126,10.46E9,4.157,8.282E9,4.181,6.722E9,4.200,5.568E9,4.216,4.689E9
2.432,170.8E9,3.514,75.42E9,3.830,41.89E9,3.981,26.67E9,4.070,18.50E9,4.128,13.60E9,4.170,10.42E9,4.201,8.251E9,4.225,6.697E9,4.244,5.547E9,4.260,4.671E9
2.456,171.0E9,3.553,75.29E9,3.873,41.78E9,4.025,26.59E9,4.114,18.44E9,4.173,13.55E9,4.214,10.39E9,4.245,8.220E9,4.269,6.672E9,4.289,5.525E9,4.305,4.653E9
2.481,171.1E9,3.593,75.16E9,3.916,41.67E9,4.069,26.51E9,4.159,18.37E9,4.218,13.50E9,4.260,10.35E9,4.291,8.189E9,4.315,6.646E9,4.335,5.503E9,4.351,4.634E9
2.506,171.2E9,3.634,75.03E9,3.960,41.55E9,4.115,26.42E9,4.205,18.31E9,4.264,13.45E9,4.307,10.31E9,4.338,8.157E9,4.362,6.619E9,4.382,5.481E9,4.398,4.615E9
2.531,171.4E9,3.676,74.89E9,4.005,41.43E9,4.161,26.33E9,4.252,18.24E9,4.312,13.40E9,4.354,10.27E9,4.386,8.124E9,4.410,6.592E9,4.430,5.459E9,4.446,4.596E9
2.557,171.5E9,3.719,74.74E9,4.052,41.31E9,4.209,26.24E9,4.301,18.18E9,4.361,13.35E9,4.403,10.23E9,4.435,8.091E9,4.460,6.565E9,4.479,5.436E9,4.495,4.576E9
2.584,171.6E9,3.762,74.59E9,4.099,41.19E9,4.258,26.15E9,4.350,18.11E9,4.411,13.29E9,4.453,10.18E9,4.485,8.057E9,4.510,6.537E9,4.530,5.412E9,4.546,4.556E9
2.611,171.7E9,3.807,74.44E9,4.148,41.06E9,4.308,26.06E9,4.401,18.04E9,4.462,13.24E9,4.505,10.14E9,4.537,8.023E9,4.561,6.509E9,4.581,5.388E9,4.597,4.536E9
2.639,171.9E9,3.853,74.28E9,4.198,40.93E9,4.359,25.96E9,4.453,17.97E9,4.514,13.19E9,4.557,10.10E9,4.589,7.988E9,4.614,6.480E9,4.634,5.364E9,4.650,4.515E9
2.667,172.0E9,3.900,74.12E9,4.249,40.80E9,4.412,25.87E9,4.506,17.89E9,4.568,13.13E9,4.611,10.05E9,4.643,7.952E9,4.668,6.450E9,4.688,5.339E9,4.705,4.494E9
2.696,172.1E9,3.949,73.95E9,4.301,40.66E9,4.466,25.77E9,4.561,17.82E9,4.623,13.07E9,4.666,10.01E9,4.699,7.916E9,4.724,6.420E9,4.744,5.314E9,4.760,4.473E9
2.726,172.2E9,3.998,73.77E9,4.355,40.52E9,4.521,25.67E9,4.617,17.74E9,4.679,13.01E9,4.723,9.964E9,4.756,7.879E9,4.781,6.390E9,4.801,5.288E9,4.817,4.451E9
2.756,172.3E9,4.049,73.59E9,4.410,40.38E9,4.577,25.56E9,4.674,17.67E9,4.737,12.96E9,4.781,9.917E9,4.814,7.841E9,4.839,6.358E9,4.859,5.262E9,4.876,4.429E9
2.787,172.4E9,4.101,73.40E9,4.467,40.23E9,4.636,25.45E9,4.733,17.59E9,4.796,12.89E9,4.841,9.869E9,4.874,7.802E9,4.899,6.327E9,4.919,5.236E9,4.936,4.406E9
2.819,172.5E9,4.154,73.21E9,4.525,40.08E9,4.695,25.35E9,4.793,17.51E9,4.857,12.83E9,4.902,9.821E9,4.935,7.763E9,4.960,6.295E9,4.981,5.209E9,4.997,4.383E9
2.851,172.6E9,4.209,73.01E9,4.584,39.93E9,4.756,25.23E9,4.855,17.42E9,4.919,12.77E9,4.964,9.771E9,4.998,7.723E9,5.023,6.262E9,5.044,5.181E9,5.061,4.360E9
2.884,172.7E9,4.265,72.81E9,4.645,39.77E9,4.819,25.12E9,4.919,17.34E9,4.983,12.71E9,5.029,9.721E9,5.062,7.683E9,5.088,6.228E9,5.109,5.153E9,5.125,4.336E9
2.918,172.8E9,4.323,72.59E9,4.708,39.61E9,4.883,25.00E9,4.984,17.25E9,5.049,12.64E9,5.095,9.670E9,5.128,7.641E9,5.154,6.194E9,5.175,5.125E9,5.192,4.312E9
2.953,172.8E9,4.382,72.38E9,4.772,39.44E9,4.950,24.89E9,5.051,17.17E9,5.116,12.57E9,5.162,9.617E9,5.196,7.599E9,5.223,6.160E9,5.243,5.096E9,5.260,4.287E9
