bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 6.75e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 9e-08 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 1.125e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 1.575e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 2.025e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 2.475e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 2.7e-07 
2.217,3.460,3.167,12.17,3.455,20.60,3.595,27.88,3.679,34.05,3.734,39.32,3.774,43.89,3.804,47.89,3.827,51.43,3.845,54.61,3.861,57.49
2.236,3.482,3.198,12.30,3.489,20.90,3.630,28.32,3.714,34.63,3.770,40.02,3.810,44.68,3.840,48.77,3.863,52.39,3.882,55.64,3.897,58.58
2.256,3.504,3.230,12.44,3.524,21.19,3.666,28.77,3.750,35.21,3.806,40.72,3.846,45.49,3.876,49.66,3.900,53.37,3.918,56.69,3.934,59.69
2.277,3.527,3.263,12.58,3.559,21.50,3.702,29.23,3.787,35.81,3.844,41.44,3.884,46.31,3.914,50.57,3.937,54.36,3.956,57.75,3.971,60.82
2.298,3.549,3.297,12.73,3.595,21.80,3.740,29.69,3.825,36.41,3.882,42.16,3.922,47.14,3.952,51.50,3.976,55.36,3.995,58.83,4.010,61.97
2.319,3.571,3.331,12.87,3.632,22.11,3.778,30.16,3.864,37.02,3.921,42.89,3.961,47.98,3.991,52.43,4.015,56.38,4.034,59.93,4.049,63.13
2.341,3.593,3.366,13.01,3.670,22.42,3.817,30.63,3.903,37.64,3.960,43.64,4.001,48.83,4.031,53.38,4.055,57.42,4.074,61.04,4.090,64.31
2.363,3.616,3.402,13.16,3.709,22.73,3.856,31.11,3.943,38.26,4.001,44.39,4.042,49.70,4.072,54.35,4.096,58.47,4.115,62.17,4.131,65.51
2.386,3.638,3.438,13.30,3.748,23.04,3.897,31.59,3.985,38.90,4.042,45.16,4.083,50.58,4.114,55.33,4.138,59.54,4.157,63.31,4.173,66.73
2.409,3.660,3.476,13.45,3.789,23.36,3.939,32.08,4.027,39.54,4.085,45.94,4.126,51.47,4.157,56.32,4.181,60.62,4.200,64.48,4.216,67.96
