bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 1.3e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 1.95e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 2.6e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 3.25e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 3.9e-07 
27.72,17.16E6,27.83,3.215E6,27.85,1.583E6,27.85,975.5E3,27.85,669.4E3
27.69,19.65E6,27.81,3.688E6,27.83,1.818E6,27.83,1.121E6,27.83,769.2E3
27.65,22.50E6,27.79,4.230E6,27.80,2.087E6,27.81,1.287E6,27.81,883.7E3
27.62,25.75E6,27.76,4.852E6,27.78,2.395E6,27.78,1.478E6,27.79,1.015E6
27.58,29.47E6,27.74,5.563E6,27.75,2.748E6,27.76,1.697E6,27.76,1.166E6
27.54,33.71E6,27.71,6.377E6,27.72,3.153E6,27.73,1.947E6,27.73,1.339E6
27.50,38.56E6,27.68,7.309E6,27.69,3.616E6,27.70,2.235E6,27.70,1.537E6
27.46,44.09E6,27.64,8.376E6,27.66,4.147E6,27.67,2.564E6,27.67,1.764E6
27.41,50.39E6,27.61,9.595E6,27.63,4.754E6,27.64,2.941E6,27.64,2.024E6
27.36,57.58E6,27.57,10.99E6,27.59,5.449E6,27.60,3.372E6,27.60,2.322E6
27.31,65.77E6,27.53,12.58E6,27.56,6.243E6,27.56,3.866E6,27.57,2.662E6
27.26,75.09E6,27.49,14.40E6,27.52,7.152E6,27.52,4.431E6,27.53,3.052E6
27.20,85.71E6,27.44,16.48E6,27.47,8.190E6,27.48,5.076E6,27.48,3.499E6
27.13,97.78E6,27.40,18.85E6,27.43,9.376E6,27.44,5.814E6,27.44,4.009E6
27.07,111.5E6,27.35,21.56E6,27.38,10.73E6,27.39,6.657E6,27.39,4.591E6
27.00,127.1E6,27.29,24.64E6,27.33,12.28E6,27.34,7.620E6,27.34,5.257E6
26.92,144.8E6,27.24,28.16E6,27.27,14.04E6,27.28,8.718E6,27.29,6.017E6
26.85,164.9E6,27.18,32.16E6,27.22,16.05E6,27.23,9.971E6,27.23,6.884E6
26.76,187.6E6,27.11,36.71E6,27.15,18.34E6,27.17,11.40E6,27.17,7.872E6
26.68,213.4E6,27.05,41.90E6,27.09,20.94E6,27.10,13.02E6,27.11,8.999E6
26.59,242.5E6,26.98,47.79E6,27.02,23.91E6,27.04,14.88E6,27.04,10.28E6
26.49,275.5E6,26.90,54.48E6,26.95,27.28E6,26.97,16.98E6,26.97,11.74E6
26.39,312.7E6,26.82,62.07E6,26.87,31.11E6,26.89,19.38E6,26.90,13.40E6
26.29,354.7E6,26.74,70.68E6,26.80,35.45E6,26.81,22.10E6,26.82,15.29E6
26.18,402.1E6,26.65,80.44E6,26.71,40.39E6,26.73,25.18E6,26.74,17.43E6
26.06,455.4E6,26.56,91.49E6,26.62,45.98E6,26.64,28.69E6,26.65,19.86E6
25.94,515.4E6,26.47,104.0E6,26.53,52.31E6,26.55,32.65E6,26.56,22.62E6
25.82,582.8E6,26.37,118.1E6,26.44,59.48E6,26.46,37.15E6,26.47,25.74E6
25.68,658.4E6,26.26,134.1E6,26.33,67.58E6,26.36,42.23E6,26.37,29.27E6
25.55,743.3E6,26.16,152.1E6,26.23,76.73E6,26.25,47.97E6,26.26,33.26E6
25.41,838.2E6,26.04,172.4E6,26.12,87.06E6,26.14,54.46E6,26.16,37.77E6
25.26,944.5E6,25.92,195.2E6,26.01,98.69E6,26.03,61.77E6,26.04,42.86E6
25.11,1.063E9,25.80,220.9E6,25.89,111.8E6,25.91,70.01E6,25.93,48.60E6
24.96,1.196E9,25.67,249.8E6,25.76,126.5E6,25.79,79.29E6,25.80,55.06E6
24.80,1.343E9,25.54,282.2E6,25.64,143.1E6,25.67,89.72E6,25.68,62.33E6
24.64,1.507E9,25.41,318.5E6,25.50,161.7E6,25.54,101.4E6,25.55,70.49E6
24.47,1.689E9,25.27,359.1E6,25.37,182.6E6,25.40,114.6E6,25.42,79.66E6
24.30,1.892E9,25.12,404.6E6,25.23,205.9E6,25.26,129.3E6,25.28,89.94E6
24.12,2.116E9,24.97,455.4E6,25.08,232.1E6,25.12,145.8E6,25.14,101.5E6
23.94,2.364E9,24.82,512.0E6,24.94,261.3E6,24.97,164.3E6,24.99,114.3E6
23.76,2.639E9,24.66,575.2E6,24.79,293.9E6,24.83,184.9E6,24.85,128.7E6
23.57,2.942E9,24.51,645.5E6,24.63,330.2E6,24.67,207.9E6,24.69,144.8E6
23.38,3.276E9,24.35,723.7E6,24.48,370.7E6,24.52,233.5E6,24.54,162.7E6
23.19,3.643E9,24.18,810.6E6,24.32,415.7E6,24.36,262.0E6,24.39,182.7E6
23.00,4.047E9,24.02,906.9E6,24.16,465.8E6,24.21,293.8E6,24.23,204.9E6
22.80,4.490E9,23.85,1.014E9,23.99,521.3E6,24.05,329.0E6,24.07,229.5E6
22.60,4.976E9,23.68,1.132E9,23.83,582.9E6,23.88,368.1E6,23.91,256.9E6
22.40,5.507E9,23.51,1.262E9,23.67,651.1E6,23.72,411.5E6,23.75,287.3E6
22.20,6.087E9,23.34,1.407E9,23.50,726.5E6,23.56,459.4E6,23.59,320.9E6
22.00,6.719E9,23.16,1.566E9,23.34,809.8E6,23.40,512.4E6,23.43,358.1E6
21.79,7.407E9,22.99,1.741E9,23.17,901.7E6,23.23,571.0E6,23.27,399.1E6
21.58,8.153E9,22.82,1.933E9,23.00,1.003E9,23.07,635.5E6,23.11,444.4E6
