bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 1.3e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 1.95e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 2.6e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 3.25e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 3.9e-07 
27.72,13.13,27.83,61.94,27.85,127.4,27.85,193.0,27.85,250.5
27.69,13.13,27.81,61.93,27.83,127.3,27.83,192.9,27.83,250.3
27.65,13.13,27.79,61.92,27.80,127.3,27.81,192.8,27.81,250.2
27.62,13.13,27.76,61.90,27.78,127.2,27.78,192.7,27.79,250.0
27.58,13.13,27.74,61.89,27.75,127.2,27.76,192.6,27.76,249.9
27.54,13.13,27.71,61.87,27.72,127.1,27.73,192.5,27.73,249.7
27.50,13.12,27.68,61.86,27.69,127.1,27.70,192.4,27.70,249.5
27.46,13.12,27.64,61.84,27.66,127.0,27.67,192.3,27.67,249.3
27.41,13.12,27.61,61.82,27.63,126.9,27.64,192.1,27.64,249.1
27.36,13.12,27.57,61.80,27.59,126.9,27.60,192.0,27.60,248.9
27.31,13.12,27.53,61.78,27.56,126.8,27.56,191.8,27.57,248.6
27.26,13.11,27.49,61.76,27.52,126.7,27.52,191.7,27.53,248.4
27.20,13.11,27.44,61.73,27.47,126.6,27.48,191.5,27.48,248.1
27.13,13.11,27.40,61.71,27.43,126.6,27.44,191.3,27.44,247.9
27.07,13.11,27.35,61.68,27.38,126.5,27.39,191.1,27.39,247.6
27.00,13.10,27.29,61.65,27.33,126.4,27.34,190.9,27.34,247.2
26.92,13.10,27.24,61.62,27.27,126.3,27.28,190.7,27.29,246.9
26.85,13.10,27.18,61.59,27.22,126.2,27.23,190.5,27.23,246.5
26.76,13.09,27.11,61.55,27.15,126.0,27.17,190.3,27.17,246.2
26.68,13.09,27.05,61.52,27.09,125.9,27.10,190.0,27.11,245.8
26.59,13.08,26.98,61.48,27.02,125.8,27.04,189.7,27.04,245.4
26.49,13.08,26.90,61.44,26.95,125.6,26.97,189.5,26.97,244.9
26.39,13.08,26.82,61.39,26.87,125.5,26.89,189.2,26.90,244.5
26.29,13.07,26.74,61.35,26.80,125.3,26.81,188.9,26.82,244.0
26.18,13.07,26.65,61.30,26.71,125.2,26.73,188.5,26.74,243.5
26.06,13.06,26.56,61.25,26.62,125.0,26.64,188.2,26.65,242.9
25.94,13.06,26.47,61.20,26.53,124.8,26.55,187.8,26.56,242.4
25.82,13.05,26.37,61.14,26.44,124.7,26.46,187.5,26.47,241.8
25.68,13.05,26.26,61.08,26.33,124.5,26.36,187.1,26.37,241.2
25.55,13.04,26.16,61.02,26.23,124.3,26.25,186.7,26.26,240.6
25.41,13.03,26.04,60.96,26.12,124.0,26.14,186.2,26.16,239.9
25.26,13.03,25.92,60.89,26.01,123.8,26.03,185.8,26.04,239.2
25.11,13.02,25.80,60.82,25.89,123.6,25.91,185.3,25.93,238.5
24.96,13.01,25.67,60.75,25.76,123.4,25.79,184.9,25.80,237.8
24.80,13.01,25.54,60.68,25.64,123.1,25.67,184.4,25.68,237.1
24.64,13.00,25.41,60.60,25.50,122.9,25.54,183.9,25.55,236.3
24.47,12.99,25.27,60.52,25.37,122.6,25.40,183.4,25.42,235.5
24.30,12.98,25.12,60.44,25.23,122.3,25.26,182.8,25.28,234.7
