bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/yashkothari/simulation/nmos_130nmltspice/spectre/schematic" ?result "designParamVals"))) l 1.3e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/yashkothari/simulation/nmos_130nmltspice/spectre/schematic" ?result "designParamVals"))) l 1.95e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/yashkothari/simulation/nmos_130nmltspice/spectre/schematic" ?result "designParamVals"))) l 2.6e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/yashkothari/simulation/nmos_130nmltspice/spectre/schematic" ?result "designParamVals"))) l 3.25e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "ids") / pv("top-level" "w" ?resultsDir "/home/yashkothari/simulation/nmos_130nmltspice/spectre/schematic" ?result "designParamVals"))) l 3.9e-07 
27.72,4.389E-3,27.83,1.004E-3,27.85,585.1E-6,27.85,416.6E-6,27.85,324.3E-6
27.69,5.041E-3,27.81,1.153E-3,27.83,672.5E-6,27.83,478.8E-6,27.83,372.7E-6
27.65,5.788E-3,27.79,1.325E-3,27.80,772.8E-6,27.81,550.2E-6,27.81,428.4E-6
27.62,6.645E-3,27.76,1.523E-3,27.78,888.0E-6,27.78,632.2E-6,27.79,492.2E-6
27.58,7.628E-3,27.74,1.749E-3,27.75,1.020E-3,27.76,726.4E-6,27.76,565.6E-6
27.54,8.755E-3,27.71,2.009E-3,27.72,1.172E-3,27.73,834.5E-6,27.73,649.7E-6
27.50,10.05E-3,27.68,2.308E-3,27.69,1.346E-3,27.70,958.5E-6,27.70,746.3E-6
27.46,11.53E-3,27.64,2.650E-3,27.66,1.546E-3,27.67,1.101E-3,27.67,857.1E-6
27.41,13.22E-3,27.61,3.042E-3,27.63,1.775E-3,27.64,1.264E-3,27.64,984.1E-6
27.36,15.16E-3,27.57,3.492E-3,27.59,2.038E-3,27.60,1.451E-3,27.60,1.130E-3
27.31,17.38E-3,27.53,4.008E-3,27.56,2.339E-3,27.56,1.666E-3,27.57,1.297E-3
27.26,19.92E-3,27.49,4.599E-3,27.52,2.684E-3,27.52,1.912E-3,27.53,1.488E-3
27.20,22.82E-3,27.44,5.276E-3,27.47,3.079E-3,27.48,2.193E-3,27.48,1.708E-3
27.13,26.14E-3,27.40,6.051E-3,27.43,3.532E-3,27.44,2.516E-3,27.44,1.959E-3
27.07,29.93E-3,27.35,6.938E-3,27.38,4.051E-3,27.39,2.886E-3,27.39,2.247E-3
27.00,34.26E-3,27.29,7.953E-3,27.33,4.645E-3,27.34,3.309E-3,27.34,2.577E-3
