bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 1.3e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 1.95e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 2.6e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 3.25e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) l 3.9e-07 
1.720,32.96E9,2.040,12.00E9,2.127,6.200E9,2.168,3.792E9,2.193,2.562E9
1.738,33.03E9,2.063,12.02E9,2.151,6.207E9,2.193,3.796E9,2.218,2.565E9
1.756,33.10E9,2.086,12.03E9,2.175,6.213E9,2.218,3.800E9,2.243,2.567E9
1.775,33.17E9,2.109,12.05E9,2.200,6.219E9,2.243,3.803E9,2.269,2.569E9
1.793,33.23E9,2.133,12.06E9,2.225,6.224E9,2.268,3.805E9,2.294,2.570E9
1.812,33.29E9,2.157,12.07E9,2.250,6.227E9,2.294,3.807E9,2.320,2.571E9
1.831,33.35E9,2.181,12.08E9,2.275,6.230E9,2.320,3.808E9,2.346,2.572E9
1.850,33.40E9,2.205,12.09E9,2.300,6.232E9,2.346,3.809E9,2.372,2.572E9
1.869,33.45E9,2.229,12.09E9,2.326,6.233E9,2.372,3.809E9,2.399,2.572E9
1.889,33.50E9,2.254,12.10E9,2.352,6.234E9,2.398,3.808E9,2.426,2.571E9
1.908,33.55E9,2.279,12.10E9,2.378,6.233E9,2.425,3.807E9,2.453,2.570E9
1.929,33.59E9,2.304,12.10E9,2.404,6.232E9,2.452,3.806E9,2.480,2.569E9
1.949,33.64E9,2.329,12.10E9,2.431,6.229E9,2.479,3.803E9,2.507,2.567E9
