bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 1.3e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 1.95e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 2.6e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 3.25e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) l 3.9e-07 
1.720,3.169,2.040,5.979,2.127,7.203,2.168,7.898,2.193,8.355
1.738,3.225,2.063,6.164,2.151,7.472,2.193,8.221,2.218,8.716
1.756,3.280,2.086,6.354,2.175,7.750,2.218,8.558,2.243,9.094
1.775,3.336,2.109,6.550,2.200,8.039,2.243,8.910,2.269,9.491
1.793,3.393,2.133,6.750,2.225,8.339,2.268,9.276,2.294,9.906
1.812,3.449,2.157,6.956,2.250,8.649,2.294,9.658,2.320,10.34
1.831,3.507,2.181,7.167,2.275,8.970,2.320,10.06,2.346,10.79
1.850,3.564,2.205,7.382,2.300,9.302,2.346,10.47,2.372,11.27
1.869,3.622,2.229,7.603,2.326,9.644,2.372,10.90,2.399,11.76
1.889,3.680,2.254,7.828,2.352,9.998,2.398,11.34,2.426,12.27
1.908,3.738,2.279,8.059,2.378,10.36,2.425,11.80,2.453,12.81
1.929,3.796,2.304,8.293,2.404,10.74,2.452,12.28,2.480,13.36
1.949,3.855,2.329,8.533,2.431,11.12,2.479,12.77,2.507,13.94
1.969,3.914,2.355,8.776,2.458,11.52,2.507,13.28,2.535,14.53
1.990,3.972,2.381,9.024,2.485,11.92,2.534,13.81,2.563,15.15
2.011,4.031,2.408,9.276,2.513,12.34,2.562,14.35,2.591,15.79
2.032,4.090,2.434,9.533,2.541,12.76,2.591,14.90,2.620,16.45
2.054,4.150,2.461,9.793,2.569,13.20,2.619,15.48,2.649,17.13
2.076,4.209,2.489,10.06,2.597,13.65,2.648,16.06,2.678,17.83
2.098,4.268,2.516,10.32,2.626,14.10,2.678,16.67,2.707,18.55
2.120,4.327,2.544,10.59,2.655,14.56,2.707,17.29,2.737,19.29
2.143,4.387,2.573,10.87,2.685,15.04,2.737,17.92,2.768,20.05
2.166,4.446,2.602,11.15,2.715,15.52,2.767,18.57,2.798,20.84
2.190,4.505,2.631,11.43,2.745,16.01,2.798,19.23,2.829,21.64
2.213,4.564,2.660,11.71,2.776,16.51,2.829,19.90,2.860,22.46
2.237,4.624,2.690,12.00,2.807,17.01,2.861,20.59,2.892,23.29
2.262,4.683,2.721,12.29,2.839,17.53,2.893,21.29,2.924,24.15
2.287,4.742,2.752,12.58,2.871,18.05,2.925,22.01,2.957,25.02
2.312,4.801,2.783,12.87,2.903,18.58,2.958,22.73,2.990,25.92
2.337,4.860,2.815,13.17,2.936,19.12,2.992,23.47,3.024,26.82
2.363,4.918,2.847,13.47,2.970,19.66,3.026,24.22,3.058,27.75
2.390,4.977,2.880,13.77,3.004,20.21,3.060,24.99,3.092,28.69
2.417,5.036,2.914,14.07,3.038,20.77,3.095,25.76,3.128,29.65
2.444,5.094,2.948,14.38,3.074,21.33,3.131,26.55,3.163,30.62
2.472,5.152,2.982,14.68,3.109,21.90,3.167,27.34,3.200,31.61
2.500,5.211,3.017,14.99,3.146,22.48,3.204,28.15,3.237,32.62
2.528,5.269,3.053,15.30,3.183,23.06,3.241,28.97,3.275,33.63
2.558,5.327,3.090,15.61,3.221,23.65,3.279,29.79,3.313,34.67
2.587,5.384,3.127,15.93,3.259,24.24,3.318,30.63,3.352,35.71
2.617,5.442,3.165,16.25,3.298,24.84,3.358,31.48,3.392,36.78
2.648,5.500,3.203,16.56,3.338,25.44,3.398,32.34,3.432,37.85
2.680,5.557,3.242,16.88,3.378,26.05,3.439,33.21,3.473,38.94
2.711,5.614,3.282,17.20,3.420,26.67,3.481,34.08,3.515,40.04
2.744,5.671,3.323,17.52,3.462,27.29,3.523,34.97,3.558,41.16
2.777,5.728,3.365,17.85,3.505,27.92,3.567,35.87,3.602,42.29
2.811,5.785,3.407,18.17,3.549,28.55,3.611,36.78,3.647,43.44
2.845,5.842,3.450,18.50,3.594,29.19,3.657,37.69,3.692,44.59
2.880,5.898,3.495,18.83,3.639,29.83,3.703,38.62,3.739,45.77
2.916,5.955,3.540,19.16,3.686,30.48,3.750,39.55,3.786,46.95
2.953,6.011,3.586,19.49,3.734,31.13,3.798,40.50,3.835,48.15
2.990,6.067,3.633,19.82,3.783,31.79,3.848,41.46,3.884,49.37
3.028,6.123,3.681,20.16,3.833,32.46,3.898,42.42,3.935,50.59
3.067,6.179,3.730,20.49,3.884,33.13,3.950,43.40,3.987,51.84
3.107,6.235,3.781,20.83,3.936,33.80,4.002,44.39,4.040,53.10
3.147,6.290,3.832,21.17,3.989,34.49,4.056,45.39,4.094,54.37
3.189,6.346,3.885,21.51,4.043,35.18,4.112,46.40,4.149,55.66
3.231,6.401,3.939,21.85,4.099,35.87,4.168,47.42,4.206,56.96
3.274,6.456,3.994,22.19,4.157,36.57,4.226,48.45,4.264,58.29
3.318,6.511,4.051,22.54,4.215,37.28,4.285,49.50,4.324,59.62
3.364,6.566,4.108,22.88,4.275,37.99,4.346,50.55,4.385,60.98
3.410,6.621,4.168,23.23,4.337,38.71,4.408,51.62,4.447,62.35
3.457,6.676,4.229,23.58,4.400,39.44,4.472,52.70,4.511,63.75
3.506,6.730,4.291,23.93,4.464,40.17,4.537,53.80,4.577,65.16
3.556,6.785,4.355,24.28,4.531,40.91,4.604,54.91,4.644,66.59
3.607,6.839,4.420,24.64,4.599,41.66,4.673,56.03,4.714,68.04
3.659,6.894,4.488,24.99,4.668,42.42,4.744,57.16,4.785,69.50
3.712,6.948,4.557,25.35,4.740,43.18,4.816,58.31,4.858,71.00
3.767,7.002,4.628,25.71,4.814,43.95,4.891,59.48,4.932,72.51
3.823,7.056,4.701,26.07,4.889,44.73,4.967,60.66,5.009,74.04
3.881,7.111,4.775,26.44,4.967,45.52,5.046,61.85,5.088,75.60
3.940,7.164,4.852,26.80,5.047,46.31,5.127,63.06,5.170,77.18
4.000,7.218,4.931,27.17,5.129,47.11,5.210,64.29,5.253,78.79
4.063,7.272,5.013,27.54,5.213,47.92,5.295,65.54,5.339,80.42
4.127,7.326,5.096,27.91,5.300,48.74,5.383,66.80,5.428,82.07
4.192,7.380,5.182,28.29,5.389,49.57,5.474,68.08,5.518,83.76
4.260,7.433,5.271,28.66,5.481,50.41,5.567,69.37,5.612,85.47
4.329,7.487,5.362,29.04,5.576,51.25,5.663,70.69,5.708,87.20
4.400,7.540,5.456,29.42,5.674,52.11,5.761,72.03,5.808,88.97
4.474,7.594,5.552,29.80,5.774,52.97,5.863,73.38,5.910,90.76
4.549,7.647,5.652,30.18,5.878,53.85,5.968,74.75,6.015,92.59
4.627,7.701,5.755,30.57,5.984,54.73,6.076,76.15,6.124,94.45
4.707,7.754,5.860,30.95,6.094,55.62,6.187,77.56,6.236,96.33
4.789,7.807,5.969,31.34,6.208,56.53,6.302,79.00,6.351,98.25
4.874,7.861,6.082,31.73,6.324,57.44,6.420,80.45,6.470,100.2
4.961,7.914,6.198,32.13,6.445,58.36,6.542,81.93,6.593,102.2
5.051,7.967,6.317,32.52,6.569,59.29,6.668,83.43,6.719,104.2
5.144,8.020,6.441,32.92,6.698,60.23,6.798,84.95,6.850,106.3
5.239,8.073,6.568,33.31,6.830,61.18,6.932,86.49,6.985,108.4
5.338,8.126,6.700,33.71,6.967,62.14,7.071,88.05,7.124,110.5
5.439,8.178,6.836,34.11,7.108,63.11,7.214,89.64,7.268,112.6
5.544,8.231,6.976,34.51,7.254,64.09,7.361,91.25,7.416,114.8
5.652,8.284,7.121,34.92,7.404,65.08,7.513,92.88,7.569,117.1
5.764,8.336,7.270,35.32,7.560,66.07,7.671,94.53,7.727,119.3
5.879,8.389,7.425,35.73,7.720,67.08,7.833,96.20,7.890,121.6
5.999,8.441,7.584,36.13,7.886,68.09,8.001,97.89,8.059,124.0
6.122,8.493,7.749,36.54,8.057,69.11,8.174,99.60,8.233,126.4
6.249,8.545,7.919,36.95,8.234,70.14,8.352,101.3,8.412,128.8
6.380,8.597,8.095,37.35,8.416,71.17,8.537,103.1,8.598,131.2
6.516,8.649,8.276,37.76,8.604,72.21,8.727,104.9,8.789,133.7
6.656,8.701,8.464,38.17,8.799,73.26,8.924,106.6,8.986,136.2
6.801,8.752,8.657,38.57,8.999,74.30,9.126,108.5,9.190,138.7
