bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/yashkothari/simulation/pmos_130nmltspice/spectre/schematic" ?result "designParamVals"))) l 1.3e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/yashkothari/simulation/pmos_130nmltspice/spectre/schematic" ?result "designParamVals"))) l 1.95e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/yashkothari/simulation/pmos_130nmltspice/spectre/schematic" ?result "designParamVals"))) l 2.6e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/yashkothari/simulation/pmos_130nmltspice/spectre/schematic" ?result "designParamVals"))) l 3.25e-07 ,bsim4 ,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y ((- OP("/M0" "ids")) / pv("top-level" "w" ?resultsDir "/home/yashkothari/simulation/pmos_130nmltspice/spectre/schematic" ?result "designParamVals"))) l 3.9e-07 
1.720,245.1,2.040,112.4,2.127,73.67,2.168,54.86,2.193,43.70
1.738,243.0,2.063,111.2,2.151,72.89,2.193,54.26,2.218,43.23
1.756,240.9,2.086,110.1,2.175,72.10,2.218,53.67,2.243,42.75
1.775,238.8,2.109,108.9,2.200,71.32,2.243,53.07,2.269,42.27
1.793,236.7,2.133,107.8,2.225,70.53,2.268,52.48,2.294,41.79
1.812,234.6,2.157,106.6,2.250,69.75,2.294,51.88,2.320,41.31
1.831,232.4,2.181,105.5,2.275,68.96,2.320,51.29,2.346,40.83
1.850,230.3,2.205,104.3,2.300,68.18,2.346,50.69,2.372,40.35
1.869,228.2,2.229,103.2,2.326,67.40,2.372,50.10,2.399,39.87
1.889,226.0,2.254,102.0,2.352,66.61,2.398,49.50,2.426,39.39
1.908,223.9,2.279,100.9,2.378,65.83,2.425,48.91,2.453,38.92
1.929,221.8,2.304,99.72,2.404,65.05,2.452,48.32,2.480,38.44
1.949,219.6,2.329,98.57,2.431,64.26,2.479,47.73,2.507,37.96
1.969,217.5,2.355,97.42,2.458,63.48,2.507,47.13,2.535,37.49
1.990,215.3,2.381,96.28,2.485,62.70,2.534,46.54,2.563,37.01
2.011,213.2,2.408,95.13,2.513,61.93,2.562,45.95,2.591,36.54
2.032,211.1,2.434,93.98,2.541,61.15,2.591,45.37,2.620,36.07
2.054,208.9,2.461,92.84,2.569,60.37,2.619,44.78,2.649,35.59
2.076,206.8,2.489,91.70,2.597,59.60,2.648,44.19,2.678,35.12
2.098,204.6,2.516,90.56,2.626,58.82,2.678,43.61,2.707,34.65
2.120,202.5,2.544,89.42,2.655,58.05,2.707,43.03,2.737,34.18
2.143,200.3,2.573,88.28,2.685,57.28,2.737,42.44,2.768,33.72
2.166,198.2,2.602,87.15,2.715,56.51,2.767,41.86,2.798,33.25
2.190,196.0,2.631,86.02,2.745,55.75,2.798,41.29,2.829,32.79
2.213,193.9,2.660,84.89,2.776,54.98,2.829,40.71,2.860,32.32
2.237,191.7,2.690,83.76,2.807,54.22,2.861,40.13,2.892,31.86
2.262,189.6,2.721,82.63,2.839,53.46,2.893,39.56,2.924,31.40
2.287,187.5,2.752,81.51,2.871,52.70,2.925,38.99,2.957,30.94
2.312,185.3,2.783,80.39,2.903,51.95,2.958,38.42,2.990,30.49
2.337,183.2,2.815,79.27,2.936,51.20,2.992,37.85,3.024,30.03
2.363,181.0,2.847,78.16,2.970,50.45,3.026,37.29,3.058,29.58
2.390,178.9,2.880,77.05,3.004,49.70,3.060,36.72,3.092,29.13
2.417,176.8,2.914,75.94,3.038,48.95,3.095,36.16,3.128,28.68
2.444,174.6,2.948,74.84,3.074,48.21,3.131,35.61,3.163,28.23
2.472,172.5,2.982,73.73,3.109,47.47,3.167,35.05,3.200,27.79
2.500,170.4,3.017,72.64,3.146,46.74,3.204,34.50,3.237,27.34
2.528,168.2,3.053,71.54,3.183,46.00,3.241,33.94,3.275,26.90
2.558,166.1,3.090,70.45,3.221,45.27,3.279,33.40,3.313,26.46
2.587,164.0,3.127,69.37,3.259,44.54,3.318,32.85,3.352,26.02
2.617,161.9,3.165,68.28,3.298,43.82,3.358,32.31,3.392,25.59
2.648,159.7,3.203,67.21,3.338,43.10,3.398,31.76,3.432,25.16
2.680,157.6,3.242,66.13,3.378,42.38,3.439,31.23,3.473,24.73
2.711,155.5,3.282,65.06,3.420,41.67,3.481,30.69,3.515,24.30
2.744,153.4,3.323,64.00,3.462,40.96,3.523,30.16,3.558,23.87
2.777,151.3,3.365,62.93,3.505,40.25,3.567,29.63,3.602,23.45
2.811,149.2,3.407,61.88,3.549,39.55,3.611,29.10,3.647,23.03
2.845,147.1,3.450,60.83,3.594,38.85,3.657,28.58,3.692,22.61
2.880,145.0,3.495,59.78,3.639,38.15,3.703,28.06,3.739,22.19
2.916,142.9,3.540,58.74,3.686,37.46,3.750,27.54,3.786,21.78
2.953,140.9,3.586,57.70,3.734,36.77,3.798,27.02,3.835,21.37
2.990,138.8,3.633,56.67,3.783,36.08,3.848,26.51,3.884,20.96
3.028,136.7,3.681,55.64,3.833,35.40,3.898,26.00,3.935,20.55
3.067,134.6,3.730,54.62,3.884,34.73,3.950,25.50,3.987,20.15
3.107,132.6,3.781,53.60,3.936,34.06,4.002,25.00,4.040,19.75
3.147,130.5,3.832,52.59,3.989,33.39,4.056,24.50,4.094,19.35
3.189,128.5,3.885,51.59,4.043,32.72,4.112,24.00,4.149,18.96
3.231,126.4,3.939,50.59,4.099,32.06,4.168,23.51,4.206,18.57
3.274,124.4,3.994,49.60,4.157,31.41,4.226,23.02,4.264,18.18
3.318,122.4,4.051,48.61,4.215,30.76,4.285,22.54,4.324,17.79
3.364,120.3,4.108,47.63,4.275,30.11,4.346,22.06,4.385,17.41
3.410,118.3,4.168,46.65,4.337,29.47,4.408,21.58,4.447,17.03
3.457,116.3,4.229,45.68,4.400,28.83,4.472,21.11,4.511,16.65
3.506,114.3,4.291,44.72,4.464,28.20,4.537,20.64,4.577,16.28
3.556,112.3,4.355,43.76,4.531,27.58,4.604,20.17,4.644,15.91
3.607,110.3,4.420,42.81,4.599,26.95,4.673,19.71,4.714,15.54
3.659,108.3,4.488,41.87,4.668,26.34,4.744,19.25,4.785,15.17
3.712,106.3,4.557,40.94,4.740,25.72,4.816,18.79,4.858,14.81
3.767,104.4,4.628,40.01,4.814,25.12,4.891,18.34,4.932,14.45
3.823,102.4,4.701,39.08,4.889,24.52,4.967,17.90,5.009,14.10
3.881,100.4,4.775,38.17,4.967,23.92,5.046,17.45,5.088,13.75
3.940,98.50,4.852,37.26,5.047,23.33,5.127,17.02,5.170,13.40
4.000,96.57,4.931,36.36,5.129,22.74,5.210,16.58,5.253,13.06
4.063,94.64,5.013,35.47,5.213,22.16,5.295,16.15,5.339,12.71
4.127,92.72,5.096,34.58,5.300,21.59,5.383,15.73,5.428,12.38
4.192,90.81,5.182,33.71,5.389,21.02,5.474,15.31,5.518,12.04
4.260,88.92,5.271,32.84,5.481,20.45,5.567,14.89,5.612,11.71
4.329,87.03,5.362,31.98,5.576,19.90,5.663,14.48,5.708,11.38
4.400,85.15,5.456,31.12,5.674,19.34,5.761,14.07,5.808,11.06
4.474,83.28,5.552,30.28,5.774,18.80,5.863,13.67,5.910,10.74
4.549,81.42,5.652,29.44,5.878,18.26,5.968,13.27,6.015,10.43
4.627,79.58,5.755,28.61,5.984,17.73,6.076,12.87,6.124,10.12
4.707,77.74,5.860,27.79,6.094,17.20,6.187,12.49,6.236,9.808
4.789,75.92,5.969,26.98,6.208,16.68,6.302,12.10,6.351,9.504
4.874,74.11,6.082,26.18,6.324,16.16,6.420,11.72,6.470,9.204
